cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001418,C0043210,OCCURS_IN,Adenocarcinoma,Woman,neop,humn,1,OCCURS_IN_NEOPoccnHUMN
C0006826,C0025266,OCCURS_IN,Malignant Neoplasms,Male population group,neop,humn,1,OCCURS_IN_NEOPoccnHUMN
C0006826,C0026093,OCCURS_IN,Malignant Neoplasms,Migrants,neop,humn,1,OCCURS_IN_NEOPoccnHUMN
C0006826,C0086282,OCCURS_IN,Malignant Neoplasms,Family member,neop,humn,1,OCCURS_IN_NEOPoccnHUMN
C0006826,C0680063,OCCURS_IN,Malignant Neoplasms,Offspring,neop,humn,1,OCCURS_IN_NEOPoccnHUMN
C0006826,C1999167,OCCURS_IN,Malignant Neoplasms,Old age,neop,humn,1,OCCURS_IN_NEOPoccnHUMN
C0007097,C0086418,OCCURS_IN,Carcinoma,Homo sapiens,neop,humn,1,OCCURS_IN_NEOPoccnHUMN
C0009402,C0025266,OCCURS_IN,Colorectal Carcinoma,Male population group,neop,humn,1,OCCURS_IN_NEOPoccnHUMN
C0023449,C0008059,OCCURS_IN,Acute lymphocytic leukemia,Child,neop,humn,1,OCCURS_IN_NEOPoccnHUMN
C0023449,C0205653,OCCURS_IN,Acute lymphocytic leukemia,Adolescent (age group),neop,humn,1,OCCURS_IN_NEOPoccnHUMN
C0025202,C0007457,OCCURS_IN,melanoma,Caucasoid Race,neop,humn,1,OCCURS_IN_NEOPoccnHUMN
C0027651,C0001675,OCCURS_IN,Neoplasms,Adult,neop,humn,1,OCCURS_IN_NEOPoccnHUMN
C0153633,C0008059,OCCURS_IN,Malignant neoplasm of brain,Child,neop,humn,1,OCCURS_IN_NEOPoccnHUMN
C0205874,C0008059,OCCURS_IN,"Papilloma, Squamous Cell",Child,neop,humn,1,OCCURS_IN_NEOPoccnHUMN
C0206695,C0021289,OCCURS_IN,"Carcinoma, Neuroendocrine","Infant, Newborn",neop,humn,1,OCCURS_IN_NEOPoccnHUMN
C0278704,C0008059,OCCURS_IN,Malignant Childhood Neoplasm,Child,neop,humn,1,OCCURS_IN_NEOPoccnHUMN
C0280100,C0008059,OCCURS_IN,Solid Neoplasm,Child,neop,humn,1,OCCURS_IN_NEOPoccnHUMN
C0346429,C0238607,OCCURS_IN,Multiple malignancy,AIDS patient,neop,humn,1,OCCURS_IN_NEOPoccnHUMN
