cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001271,C0015161,PART_OF,Actins,Eukaryotic Cells,aapp,cell,1,PART_OF_AAPPprtfCELL
C0001271,C0042542,PART_OF,Actins,Vero Cells,aapp,cell,1,PART_OF_AAPPprtfCELL
C0001473,C1441322,PART_OF,Adenosine Triphosphatases,Viable cells,aapp,cell,1,PART_OF_AAPPprtfCELL
C0001476,C0225698,PART_OF,Ca(2+)-Transporting ATPase,Alveolar Epithelial Cells,aapp,cell,1,PART_OF_AAPPprtfCELL
C0001479,C3714800,PART_OF,Na(+)-K(+)-Exchanging ATPase,SCID-Repopulating Cell,aapp,cell,1,PART_OF_AAPPprtfCELL
C0001643,C0014792,PART_OF,beta-2 Adrenergic Receptors,Erythrocytes,aapp,cell,1,PART_OF_AAPPprtfCELL
C0001643,C0024264,PART_OF,beta-2 Adrenergic Receptors,Lymphocyte,aapp,cell,1,PART_OF_AAPPprtfCELL
C0001924,C0029974,PART_OF,Albumins,Ovum,aapp,cell,4,PART_OF_AAPPprtfCELL
C0002199,C0023516,PART_OF,Interferon-alpha,Leukocytes,aapp,cell,3,PART_OF_AAPPprtfCELL
C0002199,C0024432,PART_OF,Interferon-alpha,macrophage,aapp,cell,1,PART_OF_AAPPprtfCELL
C0002199,C0042542,PART_OF,Interferon-alpha,Vero Cells,aapp,cell,2,PART_OF_AAPPprtfCELL
C0002199,C0221284,PART_OF,Interferon-alpha,Leptocyte,aapp,cell,1,PART_OF_AAPPprtfCELL
C0002199,C1956385,PART_OF,Interferon-alpha,Plasmacytoid Dendritic Cells,aapp,cell,1,PART_OF_AAPPprtfCELL
C0002260,C0042542,PART_OF,Eflornithine,Vero Cells,aapp,cell,1,PART_OF_AAPPprtfCELL
C0002520,C1183428,PART_OF,Amino Acids,Solocyte,aapp,cell,2,PART_OF_AAPPprtfCELL
C0002529,C0015161,PART_OF,Amino Acyl-tRNA Synthetases,Eukaryotic Cells,aapp,cell,2,PART_OF_AAPPprtfCELL
C0003241,C0004112,PART_OF,Antibodies,Astrocytes,aapp,cell,1,PART_OF_AAPPprtfCELL
C0003241,C0004561,PART_OF,Antibodies,B-Lymphocytes,aapp,cell,1,PART_OF_AAPPprtfCELL
C0003241,C0005773,PART_OF,Antibodies,Blood Cells,aapp,cell,1,PART_OF_AAPPprtfCELL
C0003241,C0007600,PART_OF,Antibodies,Cultured Cell Line,aapp,cell,1,PART_OF_AAPPprtfCELL
C0003241,C0009013,PART_OF,Antibodies,Clone Cells,aapp,cell,4,PART_OF_AAPPprtfCELL
C0003241,C0017473,PART_OF,Antibodies,Germ Line,aapp,cell,47,PART_OF_AAPPprtfCELL
C0003241,C0018873,PART_OF,Antibodies,HeLa Cells,aapp,cell,3,PART_OF_AAPPprtfCELL
C0003241,C0022688,PART_OF,Antibodies,Natural Killer Cells,aapp,cell,1,PART_OF_AAPPprtfCELL
