cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0079189,C0009462,PART_OF,cytokine,Community,aapp,geoa,1,PART_OF_AAPPprtfGEOA
C0169911,C0009462,PART_OF,messenger protein,Community,aapp,geoa,1,PART_OF_AAPPprtfGEOA
C1412533,C0009462,PART_OF,ARIH1 gene,Community,aapp,geoa,1,PART_OF_AAPPprtfGEOA
C1413809,C0009462,PART_OF,CTRL gene,Community,aapp,geoa,1,PART_OF_AAPPprtfGEOA
C1421479,C0009462,PART_OF,WASF1 gene,Community,aapp,geoa,1,PART_OF_AAPPprtfGEOA
C1423524,C0009462,PART_OF,NCKIPSD gene,Community,aapp,geoa,1,PART_OF_AAPPprtfGEOA
C1428114,C0009462,PART_OF,TBATA gene,Community,aapp,geoa,1,PART_OF_AAPPprtfGEOA
C1825598,C0009462,PART_OF,IMPACT gene,Community,aapp,geoa,6,PART_OF_AAPPprtfGEOA
C2717745,C0009462,PART_OF,Metagenome,Community,aapp,geoa,3,PART_OF_AAPPprtfGEOA
C2744535,C0009462,PART_OF,"CD69 protein, human",Community,aapp,geoa,1,PART_OF_AAPPprtfGEOA
