cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001898,C0080089,PART_OF,Alanine,Reading Frames (Nucleotide Sequence),aapp,nusq,1,PART_OF_AAPPprtfNUSQ
C0002520,C0079160,PART_OF,Amino Acids,Consensus Sequence,aapp,nusq,1,PART_OF_AAPPprtfNUSQ
C0002520,C0162326,PART_OF,Amino Acids,DNA Sequence,aapp,nusq,9,PART_OF_AAPPprtfNUSQ
C0003995,C0079160,PART_OF,Asparagine,Consensus Sequence,aapp,nusq,1,PART_OF_AAPPprtfNUSQ
C0003995,C0162326,PART_OF,Asparagine,DNA Sequence,aapp,nusq,1,PART_OF_AAPPprtfNUSQ
C0009498,C0004793,PART_OF,Complement System Proteins,Base Sequence,aapp,nusq,1,PART_OF_AAPPprtfNUSQ
C0009498,C0162326,PART_OF,Complement System Proteins,DNA Sequence,aapp,nusq,9,PART_OF_AAPPprtfNUSQ
C0009498,C0600441,PART_OF,Complement System Proteins,SL1 Sequence,aapp,nusq,1,PART_OF_AAPPprtfNUSQ
C0009498,C1956149,PART_OF,Complement System Proteins,Ochre Stop Codon,aapp,nusq,1,PART_OF_AAPPprtfNUSQ
C0010654,C0162326,PART_OF,Cysteine,DNA Sequence,aapp,nusq,1,PART_OF_AAPPprtfNUSQ
C0011516,C1882940,PART_OF,Deoxyribonuclease EcoRI,Restriction Site,aapp,nusq,2,PART_OF_AAPPprtfNUSQ
C0012892,C0162326,PART_OF,DNA-Directed DNA Polymerase,DNA Sequence,aapp,nusq,1,PART_OF_AAPPprtfNUSQ
C0014230,C0162326,PART_OF,endonuclease,DNA Sequence,aapp,nusq,1,PART_OF_AAPPprtfNUSQ
C0017278,C3845251,PART_OF,"Gene Products, env",M180,aapp,nusq,2,PART_OF_AAPPprtfNUSQ
C0017343,C3845251,PART_OF,"Genes, env",M180,aapp,nusq,3,PART_OF_AAPPprtfNUSQ
C0017360,C0080089,PART_OF,pol genes,Reading Frames (Nucleotide Sequence),aapp,nusq,1,PART_OF_AAPPprtfNUSQ
C0017645,C0080089,PART_OF,Globin,Reading Frames (Nucleotide Sequence),aapp,nusq,1,PART_OF_AAPPprtfNUSQ
C0017797,C0162326,PART_OF,Glutamine,DNA Sequence,aapp,nusq,1,PART_OF_AAPPprtfNUSQ
C0017837,C0080089,PART_OF,Glutathione S-Transferase,Reading Frames (Nucleotide Sequence),aapp,nusq,1,PART_OF_AAPPprtfNUSQ
C0017890,C0080089,PART_OF,Glycine,Reading Frames (Nucleotide Sequence),aapp,nusq,1,PART_OF_AAPPprtfNUSQ
C0017968,C0162326,PART_OF,Glycoproteins,DNA Sequence,aapp,nusq,1,PART_OF_AAPPprtfNUSQ
C0020960,C1512886,PART_OF,Immune Sera,Internal Ribosome Entry Sites,aapp,nusq,1,PART_OF_AAPPprtfNUSQ
C0024075,C0080089,PART_OF,Luciferases,Reading Frames (Nucleotide Sequence),aapp,nusq,1,PART_OF_AAPPprtfNUSQ
C0024337,C0080089,PART_OF,Lysine,Reading Frames (Nucleotide Sequence),aapp,nusq,1,PART_OF_AAPPprtfNUSQ
C0024337,C0162326,PART_OF,Lysine,DNA Sequence,aapp,nusq,1,PART_OF_AAPPprtfNUSQ
C0031453,C0080089,PART_OF,Phenylalanine,Reading Frames (Nucleotide Sequence),aapp,nusq,1,PART_OF_AAPPprtfNUSQ
C0035714,C0080089,PART_OF,"RNA, Transfer, Amino Acyl",Reading Frames (Nucleotide Sequence),aapp,nusq,3,PART_OF_AAPPprtfNUSQ
C0037875,C1520175,PART_OF,Spermine Synthase,Xp22,aapp,nusq,1,PART_OF_AAPPprtfNUSQ
C0040627,C1512886,PART_OF,Trans-Activators,Internal Ribosome Entry Sites,aapp,nusq,19,PART_OF_AAPPprtfNUSQ
