cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003250,C0018724,PART_OF,Monoclonal Antibodies,Health Personnel,aapp,prog,1,PART_OF_AAPPprtfPROG
C0009498,C0018724,PART_OF,Complement System Proteins,Health Personnel,aapp,prog,1,PART_OF_AAPPprtfPROG
C0019630,C0017319,PART_OF,Histocompatibility Antigens Class II,General Practitioners,aapp,prog,1,PART_OF_AAPPprtfPROG
C1412533,C0018724,PART_OF,ARIH1 gene,Health Personnel,aapp,prog,1,PART_OF_AAPPprtfPROG
C1425988,C0085546,PART_OF,ALYREF gene,Ethics Committees,aapp,prog,1,PART_OF_AAPPprtfPROG
C1425988,C0086911,PART_OF,ALYREF gene,"Ethics Committees, Research",aapp,prog,1,PART_OF_AAPPprtfPROG
C1705827,C0334975,PART_OF,SAT1 wt Allele,Auditor,aapp,prog,1,PART_OF_AAPPprtfPROG
C1710701,C0018724,PART_OF,YES1 wt Allele,Health Personnel,aapp,prog,1,PART_OF_AAPPprtfPROG
C1825598,C0018724,PART_OF,IMPACT gene,Health Personnel,aapp,prog,1,PART_OF_AAPPprtfPROG
C1825598,C0401999,PART_OF,IMPACT gene,Practice nurse,aapp,prog,2,PART_OF_AAPPprtfPROG
C1825598,C0586873,PART_OF,IMPACT gene,Infectious disease specialist,aapp,prog,2,PART_OF_AAPPprtfPROG
