cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000184,C0026969,PART_OF,"2',3'-Cyclic-Nucleotide Phosphodiesterases",Myelin,aapp,tisu,1,PART_OF_AAPPprtfTISU
C0001271,C0014609,PART_OF,Actins,Epithelium,aapp,tisu,1,PART_OF_AAPPprtfTISU
C0001271,C1517914,PART_OF,Actins,Mouse Liver,aapp,tisu,1,PART_OF_AAPPprtfTISU
C0001271,C1522258,PART_OF,Actins,Muscle - Smooth (MMHCC),aapp,tisu,2,PART_OF_AAPPprtfTISU
C0001898,C1522642,PART_OF,Alanine,Clone,aapp,tisu,1,PART_OF_AAPPprtfTISU
C0002059,C1955394,PART_OF,Alkaline Phosphatase,Tissue specific,aapp,tisu,1,PART_OF_AAPPprtfTISU
C0002520,C0026724,PART_OF,Amino Acids,Mucous Membrane,aapp,tisu,1,PART_OF_AAPPprtfTISU
C0002716,C0015350,PART_OF,Amyloid,Extracellular Matrix,aapp,tisu,1,PART_OF_AAPPprtfTISU
C0003018,C0001527,PART_OF,Angiotensins,Adipose tissue,aapp,tisu,1,PART_OF_AAPPprtfTISU
C0003241,C0021839,PART_OF,Antibodies,Intestinal Mucosa,aapp,tisu,1,PART_OF_AAPPprtfTISU
C0003241,C0025255,PART_OF,Antibodies,Tissue membrane,aapp,tisu,5,PART_OF_AAPPprtfTISU
C0003241,C0026724,PART_OF,Antibodies,Mucous Membrane,aapp,tisu,40,PART_OF_AAPPprtfTISU
C0003241,C1514845,PART_OF,Antibodies,Renal Tissue,aapp,tisu,1,PART_OF_AAPPprtfTISU
C0003241,C1518039,PART_OF,Antibodies,Mouse Lung,aapp,tisu,1,PART_OF_AAPPprtfTISU
C0003241,C1519524,PART_OF,Antibodies,Paraffin Embedded Tissue,aapp,tisu,4,PART_OF_AAPPprtfTISU
C0003241,C1522642,PART_OF,Antibodies,Clone,aapp,tisu,1,PART_OF_AAPPprtfTISU
C0003241,C3548526,PART_OF,Antibodies,biofilm matrix,aapp,tisu,2,PART_OF_AAPPprtfTISU
C0003242,C0025255,PART_OF,"Antibodies, Anti-Idiotypic",Tissue membrane,aapp,tisu,1,PART_OF_AAPPprtfTISU
C0003242,C0028937,PART_OF,"Antibodies, Anti-Idiotypic",Olfactory Mucosa,aapp,tisu,1,PART_OF_AAPPprtfTISU
C0003242,C0040300,PART_OF,"Antibodies, Anti-Idiotypic",Body tissue,aapp,tisu,1,PART_OF_AAPPprtfTISU
C0003242,C1518039,PART_OF,"Antibodies, Anti-Idiotypic",Mouse Lung,aapp,tisu,1,PART_OF_AAPPprtfTISU
C0003242,C1519524,PART_OF,"Antibodies, Anti-Idiotypic",Paraffin Embedded Tissue,aapp,tisu,2,PART_OF_AAPPprtfTISU
C0003242,C2316368,PART_OF,"Antibodies, Anti-Idiotypic",Tissue section,aapp,tisu,1,PART_OF_AAPPprtfTISU
C0003250,C0025255,PART_OF,Monoclonal Antibodies,Tissue membrane,aapp,tisu,1,PART_OF_AAPPprtfTISU
C0003250,C1518039,PART_OF,Monoclonal Antibodies,Mouse Lung,aapp,tisu,1,PART_OF_AAPPprtfTISU
C0003250,C1519524,PART_OF,Monoclonal Antibodies,Paraffin Embedded Tissue,aapp,tisu,2,PART_OF_AAPPprtfTISU
C0003250,C1955394,PART_OF,Monoclonal Antibodies,Tissue specific,aapp,tisu,1,PART_OF_AAPPprtfTISU
C0003313,C0026724,PART_OF,Immune complex,Mucous Membrane,aapp,tisu,1,PART_OF_AAPPprtfTISU
C0005221,C1522642,PART_OF,beta-Globins,Clone,aapp,tisu,1,PART_OF_AAPPprtfTISU
C0006732,C0015350,PART_OF,Calcium-Binding Proteins,Extracellular Matrix,aapp,tisu,1,PART_OF_AAPPprtfTISU
C0006784,C0026845,PART_OF,Calpain,Muscle,aapp,tisu,1,PART_OF_AAPPprtfTISU
C0007578,C0015350,PART_OF,Cell Adhesion Molecules,Extracellular Matrix,aapp,tisu,1,PART_OF_AAPPprtfTISU
C0007578,C0026724,PART_OF,Cell Adhesion Molecules,Mucous Membrane,aapp,tisu,1,PART_OF_AAPPprtfTISU
C0008455,C0015350,PART_OF,Chondroitin ABC Lyase,Extracellular Matrix,aapp,tisu,2,PART_OF_AAPPprtfTISU
C0008546,C1522642,PART_OF,Chromatin,Clone,aapp,tisu,1,PART_OF_AAPPprtfTISU
C0009325,C0004799,PART_OF,Collagen,Basement membrane,aapp,tisu,1,PART_OF_AAPPprtfTISU
C0009325,C0015350,PART_OF,Collagen,Extracellular Matrix,aapp,tisu,2,PART_OF_AAPPprtfTISU
C0009325,C0025255,PART_OF,Collagen,Tissue membrane,aapp,tisu,1,PART_OF_AAPPprtfTISU
C0009325,C1706784,PART_OF,Collagen,Alveolar Septum,aapp,tisu,1,PART_OF_AAPPprtfTISU
C0009333,C0004799,PART_OF,Collagen Type IV,Basement membrane,aapp,tisu,2,PART_OF_AAPPprtfTISU
C0009333,C4524575,PART_OF,Collagen Type IV,Placenta Tissue without Amniotic Elements,aapp,tisu,2,PART_OF_AAPPprtfTISU
C0010590,C0014520,PART_OF,Cycloserine,Epidermis,aapp,tisu,1,PART_OF_AAPPprtfTISU
C0010590,C0026724,PART_OF,Cycloserine,Mucous Membrane,aapp,tisu,8,PART_OF_AAPPprtfTISU
C0010590,C0040300,PART_OF,Cycloserine,Body tissue,aapp,tisu,1,PART_OF_AAPPprtfTISU
C0010590,C1179187,PART_OF,Cycloserine,Lamina Propria,aapp,tisu,4,PART_OF_AAPPprtfTISU
C0010590,C1518039,PART_OF,Cycloserine,Mouse Lung,aapp,tisu,2,PART_OF_AAPPprtfTISU
C0010590,C1519474,PART_OF,Cycloserine,Mouse Spleen,aapp,tisu,2,PART_OF_AAPPprtfTISU
C0010590,C4298990,PART_OF,Cycloserine,Oral tissue,aapp,tisu,1,PART_OF_AAPPprtfTISU
C0010803,C0014520,PART_OF,Cytokeratin,Epidermis,aapp,tisu,1,PART_OF_AAPPprtfTISU
C0010803,C0014609,PART_OF,Cytokeratin,Epithelium,aapp,tisu,1,PART_OF_AAPPprtfTISU
C0010803,C0026724,PART_OF,Cytokeratin,Mucous Membrane,aapp,tisu,1,PART_OF_AAPPprtfTISU
C0010803,C0682575,PART_OF,Cytokeratin,Multilaminar epithelium,aapp,tisu,1,PART_OF_AAPPprtfTISU
C0011519,C0040300,PART_OF,Deoxyribonuclease I,Body tissue,aapp,tisu,1,PART_OF_AAPPprtfTISU
C0011519,C1518039,PART_OF,Deoxyribonuclease I,Mouse Lung,aapp,tisu,1,PART_OF_AAPPprtfTISU
C0012610,C0026724,PART_OF,Disaccharidases,Mucous Membrane,aapp,tisu,1,PART_OF_AAPPprtfTISU
C0015502,C1522642,PART_OF,factor VII,Clone,aapp,tisu,1,PART_OF_AAPPprtfTISU
C0015980,C1516828,PART_OF,Interferon-beta,Mouse Embryonic Fibroblast,aapp,tisu,1,PART_OF_AAPPprtfTISU
C0015982,C0007301,PART_OF,Fibrin,Cartilage,aapp,tisu,1,PART_OF_AAPPprtfTISU
C0015982,C1706784,PART_OF,Fibrin,Alveolar Septum,aapp,tisu,1,PART_OF_AAPPprtfTISU
C0016026,C0026969,PART_OF,Fibroblast Growth Factor,Myelin,aapp,tisu,1,PART_OF_AAPPprtfTISU
C0016055,C0014257,PART_OF,Fibronectins,Endothelium,aapp,tisu,1,PART_OF_AAPPprtfTISU
