cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0006629,C0086418,PART_OF,Cadaver,Homo sapiens,anst,humn,3,PART_OF_ANSTprtfHUMN
C0006933,C0015576,PART_OF,Capsid,Family,anst,humn,1,PART_OF_ANSTprtfHUMN
C0006933,C0680063,PART_OF,Capsid,Offspring,anst,humn,1,PART_OF_ANSTprtfHUMN
C0006933,C0878517,PART_OF,Capsid,Engineer,anst,humn,1,PART_OF_ANSTprtfHUMN
C0444584,C2700280,PART_OF,Whole body,World,anst,humn,1,PART_OF_ANSTprtfHUMN
C0700276,C0001675,PART_OF,Anatomic structures,Adult,anst,humn,2,PART_OF_ANSTprtfHUMN
C0700276,C0150775,PART_OF,Anatomic structures,Social Networks,anst,humn,1,PART_OF_ANSTprtfHUMN
C0700276,C1455726,PART_OF,Anatomic structures,Older child,anst,humn,1,PART_OF_ANSTprtfHUMN
C1305737,C0043210,PART_OF,Entire fetus,Woman,anst,humn,2,PART_OF_ANSTprtfHUMN
C3714653,C0009932,PART_OF,Vasculature,Control Groups,anst,humn,1,PART_OF_ANSTprtfHUMN
