cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0006933,C0001483,PART_OF,Capsid,Adenoviruses,anst,virs,14,PART_OF_ANSTprtfVIRS
C0006933,C0001490,PART_OF,Capsid,"Adenoviruses, Human",anst,virs,1,PART_OF_ANSTprtfVIRS
C0006933,C0002331,PART_OF,Capsid,Alphavirus,anst,virs,1,PART_OF_ANSTprtfVIRS
C0006933,C0004120,PART_OF,Capsid,Astrovirus,anst,virs,1,PART_OF_ANSTprtfVIRS
C0006933,C0004651,PART_OF,Capsid,Bacteriophages,anst,virs,4,PART_OF_ANSTprtfVIRS
C0006933,C0011315,PART_OF,Capsid,Dengue Virus,anst,virs,1,PART_OF_ANSTprtfVIRS
C0006933,C0012923,PART_OF,Capsid,DNA Viruses,anst,virs,3,PART_OF_ANSTprtfVIRS
C0006933,C0014049,PART_OF,Capsid,Venezuelan equine encephalitis virus,anst,virs,1,PART_OF_ANSTprtfVIRS
C0006933,C0014052,PART_OF,Capsid,Tick-Borne Encephalitis Viruses,anst,virs,3,PART_OF_ANSTprtfVIRS
C0006933,C0014383,PART_OF,Capsid,Enterovirus,anst,virs,2,PART_OF_ANSTprtfVIRS
C0006933,C0015763,PART_OF,Capsid,"Calicivirus, Feline",anst,virs,1,PART_OF_ANSTprtfVIRS
C0006933,C0016215,PART_OF,Capsid,Flavivirus,anst,virs,1,PART_OF_ANSTprtfVIRS
C0006933,C0019160,PART_OF,Capsid,Hepatovirus,anst,virs,1,PART_OF_ANSTprtfVIRS
C0006933,C0019169,PART_OF,Capsid,Hepatitis B Virus,anst,virs,5,PART_OF_ANSTprtfVIRS
C0006933,C0019351,PART_OF,Capsid,Human Herpesvirus 2,anst,virs,1,PART_OF_ANSTprtfVIRS
C0006933,C0019369,PART_OF,Capsid,Herpesviridae,anst,virs,3,PART_OF_ANSTprtfVIRS
C0006933,C0019682,PART_OF,Capsid,HIV,anst,virs,7,PART_OF_ANSTprtfVIRS
C0006933,C0019704,PART_OF,Capsid,HIV-1,anst,virs,39,PART_OF_ANSTprtfVIRS
C0006933,C0019707,PART_OF,Capsid,Human immunodeficiency virus 2 (HIV-2),anst,virs,3,PART_OF_ANSTprtfVIRS
C0006933,C0021344,PART_OF,Capsid,Human Papillomavirus,anst,virs,15,PART_OF_ANSTprtfVIRS
C0006933,C0025011,PART_OF,Capsid,Measles virus,anst,virs,1,PART_OF_ANSTprtfVIRS
C0006933,C0025279,PART_OF,Capsid,Mengovirus,anst,virs,1,PART_OF_ANSTprtfVIRS
C0006933,C0029341,PART_OF,Capsid,Orthomyxoviridae,anst,virs,2,PART_OF_ANSTprtfVIRS
C0006933,C0031303,PART_OF,Capsid,Bacteriophage phi X 174,anst,virs,1,PART_OF_ANSTprtfVIRS
