cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003284,C0035715,PART_OF,Anticodon,Arginine Specific tRNA,bacs,bacs,1,PART_OF_BACSprtfBACS
C0003320,C0600466,PART_OF,Antigens,Endogenous Retroviruses,bacs,bacs,1,PART_OF_BACSprtfBACS
C0009221,C0887946,PART_OF,Codon (nucleotide sequence),Sense Codon,bacs,bacs,1,PART_OF_BACSprtfBACS
C0012854,C0600466,PART_OF,DNA,Endogenous Retroviruses,bacs,bacs,2,PART_OF_BACSprtfBACS
C0040549,C0004920,PART_OF,Toxin,Bee Venoms,bacs,bacs,1,PART_OF_BACSprtfBACS
C0040549,C0042479,PART_OF,Toxin,Venoms,bacs,bacs,17,PART_OF_BACSprtfBACS
C0040549,C0210666,PART_OF,Toxin,Panton-Valentine leukocidin,bacs,bacs,1,PART_OF_BACSprtfBACS
C0067762,C0017950,PART_OF,N-Acetylneuraminic Acid,Glycolipids,bacs,bacs,1,PART_OF_BACSprtfBACS
C0075301,C0004630,PART_OF,streptolysin O,Bacterial Toxins,bacs,bacs,2,PART_OF_BACSprtfBACS
C0242611,C0009221,PART_OF,"Codon, Terminator",Codon (nucleotide sequence),bacs,bacs,1,PART_OF_BACSprtfBACS
C0600493,C0600472,PART_OF,5' Untranslated Regions,Long Interspersed Nucleotide Element-1,bacs,bacs,1,PART_OF_BACSprtfBACS
C0600600,C0242611,PART_OF,3' Untranslated Regions,"Codon, Terminator",bacs,bacs,1,PART_OF_BACSprtfBACS
C0600600,C0242612,PART_OF,3' Untranslated Regions,"Codon, Nonsense",bacs,bacs,2,PART_OF_BACSprtfBACS
C0887946,C0242611,PART_OF,Sense Codon,"Codon, Terminator",bacs,bacs,1,PART_OF_BACSprtfBACS
C0949648,C0600466,PART_OF,3' Flanking Region,Endogenous Retroviruses,bacs,bacs,1,PART_OF_BACSprtfBACS
