cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000702,C0022646,PART_OF,"DNA, A-Form",Kidney,bacs,bpoc,1,PART_OF_BACSprtfBPOC
C0003320,C0006104,PART_OF,Antigens,Brain,bacs,bpoc,2,PART_OF_BACSprtfBPOC
C0003320,C0015392,PART_OF,Antigens,Eye,bacs,bpoc,1,PART_OF_BACSprtfBPOC
C0003320,C0018494,PART_OF,Antigens,Hair,bacs,bpoc,1,PART_OF_BACSprtfBPOC
C0003320,C0018787,PART_OF,Antigens,Heart,bacs,bpoc,1,PART_OF_BACSprtfBPOC
C0003320,C0020885,PART_OF,Antigens,ileum,bacs,bpoc,2,PART_OF_BACSprtfBPOC
C0003320,C0021852,PART_OF,Antigens,"Intestines, Small",bacs,bpoc,2,PART_OF_BACSprtfBPOC
C0003320,C0021853,PART_OF,Antigens,Intestines,bacs,bpoc,2,PART_OF_BACSprtfBPOC
C0003320,C0022378,PART_OF,Antigens,Jejunum,bacs,bpoc,2,PART_OF_BACSprtfBPOC
C0003320,C0024109,PART_OF,Antigens,Lung,bacs,bpoc,11,PART_OF_BACSprtfBPOC
C0003320,C0024204,PART_OF,Antigens,lymph nodes,bacs,bpoc,2,PART_OF_BACSprtfBPOC
C0003320,C0027442,PART_OF,Antigens,Nasopharynx,bacs,bpoc,1,PART_OF_BACSprtfBPOC
C0003320,C0028936,PART_OF,Antigens,Structure of olfactory bulb,bacs,bpoc,1,PART_OF_BACSprtfBPOC
C0003320,C0035298,PART_OF,Antigens,Retina,bacs,bpoc,1,PART_OF_BACSprtfBPOC
C0003320,C0035322,PART_OF,Antigens,Structure of retinal pigment epithelium,bacs,bpoc,3,PART_OF_BACSprtfBPOC
C0003320,C0036098,PART_OF,Antigens,Salivary Glands,bacs,bpoc,5,PART_OF_BACSprtfBPOC
C0003320,C0040132,PART_OF,Antigens,Thyroid Gland,bacs,bpoc,1,PART_OF_BACSprtfBPOC
