cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0009221,C0080089,PART_OF,Codon (nucleotide sequence),Reading Frames (Nucleotide Sequence),bacs,nusq,22,PART_OF_BACSprtfNUSQ
C0009221,C0162326,PART_OF,Codon (nucleotide sequence),DNA Sequence,bacs,nusq,2,PART_OF_BACSprtfNUSQ
C0035693,C1327810,PART_OF,"RNA, Double-Stranded",Chromosome 1 Short Arm,bacs,nusq,1,PART_OF_BACSprtfNUSQ
C0242610,C0080089,PART_OF,"Codon, Initiator",Reading Frames (Nucleotide Sequence),bacs,nusq,10,PART_OF_BACSprtfNUSQ
C0242610,C1882940,PART_OF,"Codon, Initiator",Restriction Site,bacs,nusq,1,PART_OF_BACSprtfNUSQ
C0242611,C0080089,PART_OF,"Codon, Terminator",Reading Frames (Nucleotide Sequence),bacs,nusq,61,PART_OF_BACSprtfNUSQ
C0242611,C0162326,PART_OF,"Codon, Terminator",DNA Sequence,bacs,nusq,7,PART_OF_BACSprtfNUSQ
C0242611,C1882940,PART_OF,"Codon, Terminator",Restriction Site,bacs,nusq,1,PART_OF_BACSprtfNUSQ
C0242612,C0080089,PART_OF,"Codon, Nonsense",Reading Frames (Nucleotide Sequence),bacs,nusq,5,PART_OF_BACSprtfNUSQ
C0242612,C0162326,PART_OF,"Codon, Nonsense",DNA Sequence,bacs,nusq,3,PART_OF_BACSprtfNUSQ
C0600600,C0079160,PART_OF,3' Untranslated Regions,Consensus Sequence,bacs,nusq,1,PART_OF_BACSprtfNUSQ
C0600600,C0162326,PART_OF,3' Untranslated Regions,DNA Sequence,bacs,nusq,2,PART_OF_BACSprtfNUSQ
