cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0005835,C1532372,PART_OF,Blood Stains,Respiratory secretion,bdsu,bdsu,2,PART_OF_BDSUprtfBDSU
C0005889,C0015733,PART_OF,Body Fluids,Feces,bdsu,bdsu,1,PART_OF_BDSUprtfBDSU
C0005889,C0032105,PART_OF,Body Fluids,Plasma,bdsu,bdsu,1,PART_OF_BDSUprtfBDSU
C0005889,C0034161,PART_OF,Body Fluids,Pus,bdsu,bdsu,1,PART_OF_BDSUprtfBDSU
C0005889,C1292504,PART_OF,Body Fluids,White blood cell sample,bdsu,bdsu,1,PART_OF_BDSUprtfBDSU
C0005889,C1550101,PART_OF,Body Fluids,Supernatant,bdsu,bdsu,27,PART_OF_BDSUprtfBDSU
C0005889,C2753459,PART_OF,Body Fluids,mucus layer,bdsu,bdsu,1,PART_OF_BDSUprtfBDSU
C0005889,C2919642,PART_OF,Body Fluids,Specimen from trachea obtained by aspiration (specimen),bdsu,bdsu,2,PART_OF_BDSUprtfBDSU
C0006736,C0042036,PART_OF,Calculi,Urine,bdsu,bdsu,1,PART_OF_BDSUprtfBDSU
C0012621,C0003662,PART_OF,Body Fluid Discharge,Aqueous Humor,bdsu,bdsu,3,PART_OF_BDSUprtfBDSU
C0012621,C0005889,PART_OF,Body Fluid Discharge,Body Fluids,bdsu,bdsu,1,PART_OF_BDSUprtfBDSU
C0012621,C0034161,PART_OF,Body Fluid Discharge,Pus,bdsu,bdsu,2,PART_OF_BDSUprtfBDSU
C0012621,C0038056,PART_OF,Body Fluid Discharge,Sputum,bdsu,bdsu,2,PART_OF_BDSUprtfBDSU
C0012621,C1179480,PART_OF,Body Fluid Discharge,Peripheral lymph,bdsu,bdsu,1,PART_OF_BDSUprtfBDSU
C0012621,C1511332,PART_OF,Body Fluid Discharge,Bronchial Secretion,bdsu,bdsu,1,PART_OF_BDSUprtfBDSU
C0015388,C0005889,PART_OF,Exudate,Body Fluids,bdsu,bdsu,3,PART_OF_BDSUprtfBDSU
C0015388,C0026727,PART_OF,Exudate,Mucous body substance,bdsu,bdsu,3,PART_OF_BDSUprtfBDSU
C0015388,C0032105,PART_OF,Exudate,Plasma,bdsu,bdsu,1,PART_OF_BDSUprtfBDSU
C0015733,C0005889,PART_OF,Feces,Body Fluids,bdsu,bdsu,5,PART_OF_BDSUprtfBDSU
C0015733,C0042036,PART_OF,Feces,Urine,bdsu,bdsu,1,PART_OF_BDSUprtfBDSU
C0015733,C2926602,PART_OF,Feces,"Discharge, body substance",bdsu,bdsu,4,PART_OF_BDSUprtfBDSU
C0019051,C0036087,PART_OF,Hemolymph,saliva,bdsu,bdsu,1,PART_OF_BDSUprtfBDSU
