cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001575,C0013444,PART_OF,Uterine adnexae structure,External auditory canal structure,bpoc,bpoc,1,PART_OF_BPOCprtfBPOC
C0001613,C0022646,PART_OF,Adrenal Cortex,Kidney,bpoc,bpoc,1,PART_OF_BPOCprtfBPOC
C0001613,C0037658,PART_OF,Adrenal Cortex,Somatosensory Cortex,bpoc,bpoc,1,PART_OF_BPOCprtfBPOC
C0001878,C0178784,PART_OF,Air Sacs,Organ,bpoc,bpoc,1,PART_OF_BPOCprtfBPOC
C0002708,C0006104,PART_OF,Amygdaloid structure,Brain,bpoc,bpoc,1,PART_OF_BPOCprtfBPOC
C0003483,C0225870,PART_OF,Aorta,Ventricular septum,bpoc,bpoc,1,PART_OF_BPOCprtfBPOC
C0003483,C0741968,PART_OF,Aorta,carotid,bpoc,bpoc,1,PART_OF_BPOCprtfBPOC
C0003842,C0006104,PART_OF,Arteries,Brain,bpoc,bpoc,1,PART_OF_BPOCprtfBPOC
C0003842,C0007765,PART_OF,Arteries,Cerebellum,bpoc,bpoc,5,PART_OF_BPOCprtfBPOC
C0003842,C0013303,PART_OF,Arteries,Duodenum,bpoc,bpoc,1,PART_OF_BPOCprtfBPOC
C0003842,C0015385,PART_OF,Arteries,Limb structure,bpoc,bpoc,1,PART_OF_BPOCprtfBPOC
C0003842,C0015392,PART_OF,Arteries,Eye,bpoc,bpoc,3,PART_OF_BPOCprtfBPOC
C0003842,C0015422,PART_OF,Arteries,Eyelash,bpoc,bpoc,1,PART_OF_BPOCprtfBPOC
C0003842,C0021852,PART_OF,Arteries,"Intestines, Small",bpoc,bpoc,1,PART_OF_BPOCprtfBPOC
C0003842,C0022646,PART_OF,Arteries,Kidney,bpoc,bpoc,6,PART_OF_BPOCprtfBPOC
C0003842,C0024947,PART_OF,Arteries,Maxilla,bpoc,bpoc,1,PART_OF_BPOCprtfBPOC
C0003842,C0030274,PART_OF,Arteries,Pancreas,bpoc,bpoc,1,PART_OF_BPOCprtfBPOC
C0003842,C0037303,PART_OF,Arteries,Bone structure of cranium,bpoc,bpoc,1,PART_OF_BPOCprtfBPOC
C0003842,C0039259,PART_OF,Arteries,Tail,bpoc,bpoc,1,PART_OF_BPOCprtfBPOC
C0003842,C0178784,PART_OF,Arteries,Organ,bpoc,bpoc,1,PART_OF_BPOCprtfBPOC
C0003842,C0227614,PART_OF,Arteries,Left kidney,bpoc,bpoc,5,PART_OF_BPOCprtfBPOC
C0003842,C0228126,PART_OF,Arteries,Leptomeninges,bpoc,bpoc,1,PART_OF_BPOCprtfBPOC
C0003842,C0228465,PART_OF,Arteries,Cerebellar hemisphere structure,bpoc,bpoc,1,PART_OF_BPOCprtfBPOC
C0003842,C0229688,PART_OF,Arteries,Trabecula of spleen,bpoc,bpoc,1,PART_OF_BPOCprtfBPOC
C0003842,C0545728,PART_OF,Arteries,ilio-femoral,bpoc,bpoc,1,PART_OF_BPOCprtfBPOC
C0003842,C0545747,PART_OF,Arteries,pulmonary artery and pulmonary artery,bpoc,bpoc,1,PART_OF_BPOCprtfBPOC
C0003842,C0582802,PART_OF,Arteries,Digit structure,bpoc,bpoc,1,PART_OF_BPOCprtfBPOC
