cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003452,C0037382,PART_OF,Antlers,Snakes,bpoc,rept,1,PART_OF_BPOCprtfREPT
C0008919,C0023916,PART_OF,Claw,Lizards,bpoc,rept,1,PART_OF_BPOCprtfREPT
C0015392,C0037382,PART_OF,Eye,Snakes,bpoc,rept,1,PART_OF_BPOCprtfREPT
C0019939,C0037382,PART_OF,Horns,Snakes,bpoc,rept,1,PART_OF_BPOCprtfREPT
C0023317,C0035161,PART_OF,"Lens, Crystalline",Reptiles,bpoc,rept,1,PART_OF_BPOCprtfREPT
C0023884,C0999074,PART_OF,Liver,Chinemys,bpoc,rept,1,PART_OF_BPOCprtfREPT
C0024109,C0037382,PART_OF,Lung,Snakes,bpoc,rept,2,PART_OF_BPOCprtfREPT
C0024109,C0999074,PART_OF,Lung,Chinemys,bpoc,rept,1,PART_OF_BPOCprtfREPT
C0030851,C0037382,PART_OF,penis,Snakes,bpoc,rept,1,PART_OF_BPOCprtfREPT
C0039597,C0037382,PART_OF,Testis,Snakes,bpoc,rept,1,PART_OF_BPOCprtfREPT
C0040578,C0037382,PART_OF,Trachea,Snakes,bpoc,rept,1,PART_OF_BPOCprtfREPT
C0222014,C0035161,PART_OF,Animal skin,Reptiles,bpoc,rept,1,PART_OF_BPOCprtfREPT
C0819757,C0327302,PART_OF,Structure of parenchyma of lung,Python molurus,bpoc,rept,1,PART_OF_BPOCprtfREPT
C1302689,C0037382,PART_OF,Foveola,Snakes,bpoc,rept,1,PART_OF_BPOCprtfREPT
C3178905,C0041412,PART_OF,Animal Shells,Turtle,bpoc,rept,1,PART_OF_BPOCprtfREPT
