cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0015352,C0006104,PART_OF,Extracellular Space,Brain,bsoj,bpoc,1,PART_OF_BSOJprtfBPOC
C0015352,C0008520,PART_OF,Extracellular Space,Choroid,bsoj,bpoc,1,PART_OF_BSOJprtfBPOC
C0021721,C0227318,PART_OF,Intercellular Junctions,Ileal epithelium,bsoj,bpoc,1,PART_OF_BSOJprtfBPOC
C0022417,C0003617,PART_OF,Joints,Appendix,bsoj,bpoc,1,PART_OF_BSOJprtfBPOC
C0022417,C0015385,PART_OF,Joints,Limb structure,bsoj,bpoc,4,PART_OF_BSOJprtfBPOC
C0022417,C0015811,PART_OF,Joints,Femur,bsoj,bpoc,3,PART_OF_BSOJprtfBPOC
C0022417,C0016504,PART_OF,Joints,Foot,bsoj,bpoc,1,PART_OF_BSOJprtfBPOC
C0022417,C0018563,PART_OF,Joints,Hand,bsoj,bpoc,2,PART_OF_BSOJprtfBPOC
C0022417,C0223792,PART_OF,Joints,Phalanx of hand,bsoj,bpoc,1,PART_OF_BSOJprtfBPOC
C0022417,C0549207,PART_OF,Joints,Bone structure of spine,bsoj,bpoc,1,PART_OF_BSOJprtfBPOC
C0022417,C0687080,PART_OF,Joints,Paw,bsoj,bpoc,4,PART_OF_BSOJprtfBPOC
C0027423,C0027437,PART_OF,Nasal cavity,Nasolacrimal duct structure,bsoj,bpoc,1,PART_OF_BSOJprtfBPOC
C0037009,C0039508,PART_OF,Joint structure of shoulder region,Tendon structure,bsoj,bpoc,1,PART_OF_BSOJprtfBPOC
C0039062,C0006104,PART_OF,Synapses,Brain,bsoj,bpoc,1,PART_OF_BSOJprtfBPOC
C0042606,C0009195,PART_OF,Vestibule,Cochlear structure,bsoj,bpoc,1,PART_OF_BSOJprtfBPOC
C0042606,C0022889,PART_OF,Vestibule,Labyrinth,bsoj,bpoc,1,PART_OF_BSOJprtfBPOC
C0042606,C0025285,PART_OF,Vestibule,Meninges,bsoj,bpoc,1,PART_OF_BSOJprtfBPOC
C0042606,C0028429,PART_OF,Vestibule,Nose,bsoj,bpoc,1,PART_OF_BSOJprtfBPOC
C0042606,C0029894,PART_OF,Vestibule,Structure of otoconia,bsoj,bpoc,1,PART_OF_BSOJprtfBPOC
C0222607,C0018597,PART_OF,Breast collecting duct,Harderian Gland,bsoj,bpoc,1,PART_OF_BSOJprtfBPOC
C0222607,C0022646,PART_OF,Breast collecting duct,Kidney,bsoj,bpoc,1,PART_OF_BSOJprtfBPOC
C0222662,C0040184,PART_OF,Medullary cavity of bone,Bone structure of tibia,bsoj,bpoc,1,PART_OF_BSOJprtfBPOC
C0222666,C0015811,PART_OF,Structure of epiphyseal line,Femur,bsoj,bpoc,1,PART_OF_BSOJprtfBPOC
C0224517,C1440080,PART_OF,Dento-alveolar joint,Alveolar,bsoj,bpoc,1,PART_OF_BSOJprtfBPOC
C0225319,C0006104,PART_OF,Interstitial space,Brain,bsoj,bpoc,1,PART_OF_BSOJprtfBPOC
C0225319,C0024109,PART_OF,Interstitial space,Lung,bsoj,bpoc,2,PART_OF_BSOJprtfBPOC
C0225319,C0933845,PART_OF,Interstitial space,Parenchyma,bsoj,bpoc,1,PART_OF_BSOJprtfBPOC
C0225983,C0005847,PART_OF,Structure of perivascular space,Blood Vessel,bsoj,bpoc,2,PART_OF_BSOJprtfBPOC
C0225983,C0037925,PART_OF,Structure of perivascular space,Spinal Cord,bsoj,bpoc,1,PART_OF_BSOJprtfBPOC
C0225983,C0042520,PART_OF,Structure of perivascular space,Structure of venule,bsoj,bpoc,1,PART_OF_BSOJprtfBPOC
C0225983,C0581620,PART_OF,Structure of perivascular space,Thoracic spinal cord structure,bsoj,bpoc,1,PART_OF_BSOJprtfBPOC
C0225983,C1508661,PART_OF,Structure of perivascular space,Pulmonary vessels,bsoj,bpoc,1,PART_OF_BSOJprtfBPOC
C0226896,C0018563,PART_OF,Oral cavity,Hand,bsoj,bpoc,1,PART_OF_BSOJprtfBPOC
C0226896,C0040578,PART_OF,Oral cavity,Trachea,bsoj,bpoc,1,PART_OF_BSOJprtfBPOC
C0228110,C0042520,PART_OF,Structure of virchow-Robin space,Structure of venule,bsoj,bpoc,1,PART_OF_BSOJprtfBPOC
C0228110,C0459963,PART_OF,Structure of virchow-Robin space,Structure of pulmonary blood vessel,bsoj,bpoc,1,PART_OF_BSOJprtfBPOC
C0229289,C0015392,PART_OF,Lacrimal sac,Eye,bsoj,bpoc,1,PART_OF_BSOJprtfBPOC
C0242255,C0521421,PART_OF,Tympanic cavity,Entire ear,bsoj,bpoc,1,PART_OF_BSOJprtfBPOC
C0242358,C0005854,PART_OF,Tight Junctions,Blood - brain barrier anatomy,bsoj,bpoc,5,PART_OF_BSOJprtfBPOC
C0242358,C0221971,PART_OF,Tight Junctions,Hair follicle structure,bsoj,bpoc,1,PART_OF_BSOJprtfBPOC
C0242358,C2350570,PART_OF,Tight Junctions,Microvessels,bsoj,bpoc,1,PART_OF_BSOJprtfBPOC
C0444567,C0015183,PART_OF,Ostium,Eustachian Tube,bsoj,bpoc,1,PART_OF_BSOJprtfBPOC
C0444567,C0024109,PART_OF,Ostium,Lung,bsoj,bpoc,2,PART_OF_BSOJprtfBPOC
C0444567,C0027442,PART_OF,Ostium,Nasopharynx,bsoj,bpoc,1,PART_OF_BSOJprtfBPOC
C0459561,C0015392,PART_OF,Orbital space,Eye,bsoj,bpoc,1,PART_OF_BSOJprtfBPOC
C0524461,C0005847,PART_OF,Structure of lumen of body system,Blood Vessel,bsoj,bpoc,2,PART_OF_BSOJprtfBPOC
C0524461,C0006270,PART_OF,Structure of lumen of body system,Bronchioles,bsoj,bpoc,2,PART_OF_BSOJprtfBPOC
C0524461,C0014533,PART_OF,Structure of lumen of body system,Epididymis,bsoj,bpoc,5,PART_OF_BSOJprtfBPOC
