cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004461,C0006104,PART_OF,Axon,Brain,celc,bpoc,2,PART_OF_CELCprtfBPOC
C0004461,C0017067,PART_OF,Axon,Ganglia,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0004461,C0029130,PART_OF,Axon,Optic Nerve,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0004461,C0031119,PART_OF,Axon,Peripheral Nerves,celc,bpoc,2,PART_OF_CELCprtfBPOC
C0004461,C0037925,PART_OF,Axon,Spinal Cord,celc,bpoc,3,PART_OF_CELCprtfBPOC
C0007592,C0423866,PART_OF,Cell Extracts,Lanugo,celc,bpoc,8,PART_OF_CELCprtfBPOC
C0007603,C0021853,PART_OF,Plasma membrane,Intestines,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0007603,C1882726,PART_OF,Plasma membrane,Rat Liver,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0007610,C0017067,PART_OF,Cell Nucleus,Ganglia,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0007623,C0934502,PART_OF,Cell Wall,anatomical layer,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0008778,C0006104,PART_OF,Cilia,Brain,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0008778,C0006255,PART_OF,Cilia,Bronchi,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0008778,C0006270,PART_OF,Cilia,Bronchioles,celc,bpoc,2,PART_OF_CELCprtfBPOC
C0008778,C0015422,PART_OF,Cilia,Eyelash,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0008778,C0040578,PART_OF,Cilia,Trachea,celc,bpoc,15,PART_OF_CELCprtfBPOC
C0010834,C0001613,PART_OF,Cytoplasm,Adrenal Cortex,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0010834,C0017067,PART_OF,Cytoplasm,Ganglia,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0010834,C0018067,PART_OF,Cytoplasm,Gonadal structure,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0010834,C0020885,PART_OF,Cytoplasm,ileum,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0010834,C0022131,PART_OF,Cytoplasm,Islets of Langerhans,celc,bpoc,8,PART_OF_CELCprtfBPOC
C0010834,C0022378,PART_OF,Cytoplasm,Jejunum,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0010834,C0035322,PART_OF,Cytoplasm,Structure of retinal pigment epithelium,celc,bpoc,2,PART_OF_CELCprtfBPOC
C0010834,C0242692,PART_OF,Cytoplasm,Skeletal muscle structure,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0010834,C0423866,PART_OF,Cytoplasm,Lanugo,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0010834,C0459627,PART_OF,Cytoplasm,Epithelium of lens,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0010834,C1880192,PART_OF,Cytoplasm,Crypt,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0010834,C1882726,PART_OF,Cytoplasm,Rat Liver,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0010836,C0021852,PART_OF,Cytoplasmic granulation,"Intestines, Small",celc,bpoc,1,PART_OF_CELCprtfBPOC
C0010851,C0006104,PART_OF,Cytoskeletal Filaments,Brain,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0010851,C1285092,PART_OF,Cytoskeletal Filaments,Gland,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0014239,C1882726,PART_OF,Endoplasmic Reticulum,Rat Liver,celc,bpoc,2,PART_OF_CELCprtfBPOC
C0024369,C0699819,PART_OF,Lysosomes,Gut,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0025979,C0018787,PART_OF,Microfilaments,Heart,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0025979,C1552118,PART_OF,Microfilaments,Supernumerary maxillary right second premolar,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0026029,C0030274,PART_OF,Microsomes,Pancreas,celc,bpoc,7,PART_OF_CELCprtfBPOC
C0026029,C1882726,PART_OF,Microsomes,Rat Liver,celc,bpoc,10,PART_OF_CELCprtfBPOC
C0026049,C0020885,PART_OF,Microvilli,ileum,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0026049,C0021852,PART_OF,Microvilli,"Intestines, Small",celc,bpoc,1,PART_OF_CELCprtfBPOC
C0026049,C0021853,PART_OF,Microvilli,Intestines,celc,bpoc,2,PART_OF_CELCprtfBPOC
C0026049,C0022378,PART_OF,Microvilli,Jejunum,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0026049,C0022677,PART_OF,Microvilli,"Kidney Tubules, Proximal",celc,bpoc,1,PART_OF_CELCprtfBPOC
C0026237,C0023884,PART_OF,Mitochondria,Liver,celc,bpoc,12,PART_OF_CELCprtfBPOC
C0026237,C0024109,PART_OF,Mitochondria,Lung,celc,bpoc,4,PART_OF_CELCprtfBPOC
C0026237,C0229465,PART_OF,Mitochondria,Crista ampullaris,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0026237,C1278908,PART_OF,Mitochondria,Entire lung,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0026237,C1882687,PART_OF,Mitochondria,Rat Heart,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0027075,C0008779,PART_OF,Myofibrils,Ciliary Body,celc,bpoc,2,PART_OF_CELCprtfBPOC
C0027747,C0007776,PART_OF,Nerve Endings,Cerebral cortex,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0027749,C0001162,PART_OF,Nerve Fibers,Acoustic Nerve,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0028584,C1882726,PART_OF,Nuclear Envelope,Rat Liver,celc,bpoc,2,PART_OF_CELCprtfBPOC
C0031921,C0015560,PART_OF,Bacterial Fimbria,Fallopian Tubes,celc,bpoc,2,PART_OF_CELCprtfBPOC
C0035553,C0227073,PART_OF,Ribosomes,Mandibular right first molar,celc,bpoc,6,PART_OF_CELCprtfBPOC
C0035553,C1184743,PART_OF,Ribosomes,bony process,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0035553,C1552132,PART_OF,Ribosomes,Supernumerary mandibular left second molar,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0035553,C1552137,PART_OF,Ribosomes,23s,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0035553,C1552142,PART_OF,Ribosomes,28s,celc,bpoc,2,PART_OF_CELCprtfBPOC
C0036208,C0018827,PART_OF,Sarcolemma,Heart Ventricle,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0036226,C0018787,PART_OF,Sarcoplasmic Reticulum,Heart,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0037851,C0015560,PART_OF,Sperm Tail,Fallopian Tubes,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0038528,C0440791,PART_OF,Subcellular Fractions,Whole liver,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0039063,C0022677,PART_OF,Synaptic Membranes,"Kidney Tubules, Proximal",celc,bpoc,1,PART_OF_CELCprtfBPOC
C0039067,C0006104,PART_OF,Synaptosomes,Brain,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0039067,C0019564,PART_OF,Synaptosomes,Hippocampus (Brain),celc,bpoc,1,PART_OF_CELCprtfBPOC
C0042219,C0006104,PART_OF,Vacuole,Brain,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0042219,C1882726,PART_OF,Vacuole,Rat Liver,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0042219,C2328510,PART_OF,Vacuole,Interstitium,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0042760,C0015560,PART_OF,Virion,Fallopian Tubes,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0042760,C0023884,PART_OF,Virion,Liver,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0042760,C0036410,PART_OF,Virion,Sclera,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0042760,C0178784,PART_OF,Virion,Organ,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0042760,C0262304,PART_OF,Virion,pars postrema of the ventral lateral nucleus,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0042760,C0458578,PART_OF,Virion,Upper respiratory tract,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0042760,C0934502,PART_OF,Virion,anatomical layer,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0042760,C2338991,PART_OF,Virion,Simple lobule of cerebellum,celc,bpoc,4,PART_OF_CELCprtfBPOC
C0061622,C0005847,PART_OF,Glycocalyx,Blood Vessel,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0061622,C0022378,PART_OF,Glycocalyx,Jejunum,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0085103,C0017070,PART_OF,Neurites,"Ganglia, Spinal",celc,bpoc,1,PART_OF_CELCprtfBPOC
C0085872,C0005847,PART_OF,Basal lamina,Blood Vessel,celc,bpoc,7,PART_OF_CELCprtfBPOC
C0085872,C0005854,PART_OF,Basal lamina,Blood - brain barrier anatomy,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0085872,C0014876,PART_OF,Basal lamina,Esophagus,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0085872,C0040408,PART_OF,Basal lamina,Tongue,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0085872,C0042520,PART_OF,Basal lamina,Structure of venule,celc,bpoc,2,PART_OF_CELCprtfBPOC
C0085872,C0933845,PART_OF,Basal lamina,Parenchyma,celc,bpoc,3,PART_OF_CELCprtfBPOC
C0178523,C0021852,PART_OF,brush border membrane,"Intestines, Small",celc,bpoc,1,PART_OF_CELCprtfBPOC
C0178523,C0021853,PART_OF,brush border membrane,Intestines,celc,bpoc,8,PART_OF_CELCprtfBPOC
C0178523,C0022646,PART_OF,brush border membrane,Kidney,celc,bpoc,5,PART_OF_CELCprtfBPOC
C0178523,C0022674,PART_OF,brush border membrane,Renal tubule structure,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0205708,C0024204,PART_OF,Cytoplasmic inclusion (cell structure),lymph nodes,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0205708,C0040578,PART_OF,Cytoplasmic inclusion (cell structure),Trachea,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0228081,C0007765,PART_OF,Neuropil,Cerebellum,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0228081,C0007776,PART_OF,Neuropil,Cerebral cortex,celc,bpoc,2,PART_OF_CELCprtfBPOC
C0228081,C0025462,PART_OF,Neuropil,Midbrain structure,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0228081,C0029130,PART_OF,Neuropil,Optic Nerve,celc,bpoc,2,PART_OF_CELCprtfBPOC
C0228081,C0035298,PART_OF,Neuropil,Retina,celc,bpoc,1,PART_OF_CELCprtfBPOC
C0230626,C0022889,PART_OF,Stereocilia,Labyrinth,celc,bpoc,1,PART_OF_CELCprtfBPOC
