cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0025958,C0318793,PART_OF,Microcephaly,Zika Virus,cgab,virs,7,PART_OF_CGABprtfVIRS
C0027794,C0004419,PART_OF,Neural Tube Defects,Infectious bronchitis virus,cgab,virs,1,PART_OF_CGABprtfVIRS
C0027794,C0019185,PART_OF,Neural Tube Defects,Murine hepatitis virus,cgab,virs,3,PART_OF_CGABprtfVIRS
C0027794,C0019682,PART_OF,Neural Tube Defects,HIV,cgab,virs,1,PART_OF_CGABprtfVIRS
C0027794,C0031254,PART_OF,Neural Tube Defects,Pestivirus,cgab,virs,4,PART_OF_CGABprtfVIRS
C0027794,C0206419,PART_OF,Neural Tube Defects,Genus: Coronavirus,cgab,virs,1,PART_OF_CGABprtfVIRS
C0027794,C0949880,PART_OF,Neural Tube Defects,Human coronavirus 229E,cgab,virs,2,PART_OF_CGABprtfVIRS
C0027794,C0949881,PART_OF,Neural Tube Defects,"Coronavirus OC43, Human",cgab,virs,26,PART_OF_CGABprtfVIRS
C0027794,C1175743,PART_OF,Neural Tube Defects,SARS coronavirus,cgab,virs,2,PART_OF_CGABprtfVIRS
C0027794,C2806453,PART_OF,Neural Tube Defects,Betacoronavirus,cgab,virs,1,PART_OF_CGABprtfVIRS
C0027794,C3698360,PART_OF,Neural Tube Defects,Middle East Respiratory Syndrome Coronavirus,cgab,virs,16,PART_OF_CGABprtfVIRS
C0038475,C0042776,PART_OF,Double structure,Virus,cgab,virs,1,PART_OF_CGABprtfVIRS
C0151490,C1258014,PART_OF,Congenital anomaly of central nervous system,Human Metapneumovirus,cgab,virs,1,PART_OF_CGABprtfVIRS
C0220668,C0012917,PART_OF,Congenital contractural arachnodactyly,DNA Tumor Viruses,cgab,virs,1,PART_OF_CGABprtfVIRS
C0220668,C0032556,PART_OF,Congenital contractural arachnodactyly,Polyomavirus,cgab,virs,1,PART_OF_CGABprtfVIRS
C0344543,C0042776,PART_OF,Aniridia type 2,Virus,cgab,virs,2,PART_OF_CGABprtfVIRS
C0344543,C0597363,PART_OF,Aniridia type 2,recombinant virus,cgab,virs,1,PART_OF_CGABprtfVIRS
C0344688,C0021344,PART_OF,Patent Ductus Venosus,Human Papillomavirus,cgab,virs,5,PART_OF_CGABprtfVIRS
C0344688,C0999806,PART_OF,Patent Ductus Venosus,Human papillomavirus 16,cgab,virs,19,PART_OF_CGABprtfVIRS
C0406775,C0206545,PART_OF,Symmetrical dyschromatosis of extremities,Human respiratory syncytial virus,cgab,virs,2,PART_OF_CGABprtfVIRS
