cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003075,C0175996,PART_OF,Anions,Protoplasm,elii,celc,1,PART_OF_ELIIprtfCELC
C0003075,C1622204,PART_OF,Anions,envelope,elii,celc,1,PART_OF_ELIIprtfCELC
C0007009,C0521119,PART_OF,Carbon,Extracellular,elii,celc,1,PART_OF_ELIIprtfCELC
C0022023,C0018042,PART_OF,Ions,Golgi Apparatus,elii,celc,1,PART_OF_ELIIprtfCELC
C0022023,C0034850,PART_OF,Ions,Endosomes,elii,celc,1,PART_OF_ELIIprtfCELC
C0022023,C0175996,PART_OF,Ions,Protoplasm,elii,celc,10,PART_OF_ELIIprtfCELC
C0022023,C0521119,PART_OF,Ions,Extracellular,elii,celc,1,PART_OF_ELIIprtfCELC
C0022023,C0596901,PART_OF,Ions,Membrane,elii,celc,1,PART_OF_ELIIprtfCELC
C0022023,C1167322,PART_OF,Ions,integral to membrane,elii,celc,4,PART_OF_ELIIprtfCELC
C0022023,C1325742,PART_OF,Ions,Pore,elii,celc,2,PART_OF_ELIIprtfCELC
C0022023,C1383501,PART_OF,Ions,Cytoplasmic matrix,elii,celc,1,PART_OF_ELIIprtfCELC
C0022023,C1622204,PART_OF,Ions,envelope,elii,celc,1,PART_OF_ELIIprtfCELC
C0022023,C1819995,PART_OF,Ions,Host Cell,elii,celc,1,PART_OF_ELIIprtfCELC
C0030054,C0175996,PART_OF,Oxygen,Protoplasm,elii,celc,1,PART_OF_ELIIprtfCELC
C0030054,C1178969,PART_OF,Oxygen,Cardinal cell part,elii,celc,1,PART_OF_ELIIprtfCELC
C0033727,C0175996,PART_OF,Protons,Protoplasm,elii,celc,3,PART_OF_ELIIprtfCELC
C0033727,C0242915,PART_OF,Protons,Coated vesicle,elii,celc,1,PART_OF_ELIIprtfCELC
C0033727,C0521119,PART_OF,Protons,Extracellular,elii,celc,1,PART_OF_ELIIprtfCELC
C0033727,C1749467,PART_OF,Protons,soluble,elii,celc,1,PART_OF_ELIIprtfCELC
C0038836,C0026237,PART_OF,Superoxides,Mitochondria,elii,celc,1,PART_OF_ELIIprtfCELC
C0038836,C0175996,PART_OF,Superoxides,Protoplasm,elii,celc,1,PART_OF_ELIIprtfCELC
C0567415,C1325796,PART_OF,Atom (substance),AP-1 adaptor complex location,elii,celc,2,PART_OF_ELIIprtfCELC
C0567415,C1622615,PART_OF,Atom (substance),cullin-RING ubiquitin ligase complex,elii,celc,1,PART_OF_ELIIprtfCELC
C0596019,C0031309,PART_OF,Chloride Ion,Phagolysosomes,elii,celc,1,PART_OF_ELIIprtfCELC
C0596235,C0010834,PART_OF,Calcium ion,Cytoplasm,elii,celc,6,PART_OF_ELIIprtfCELC
C0596235,C0014239,PART_OF,Calcium ion,Endoplasmic Reticulum,elii,celc,5,PART_OF_ELIIprtfCELC
C0596235,C0018042,PART_OF,Calcium ion,Golgi Apparatus,elii,celc,1,PART_OF_ELIIprtfCELC
C0596235,C0026237,PART_OF,Calcium ion,Mitochondria,elii,celc,16,PART_OF_ELIIprtfCELC
C0596235,C0175996,PART_OF,Calcium ion,Protoplasm,elii,celc,32,PART_OF_ELIIprtfCELC
C0596235,C0521119,PART_OF,Calcium ion,Extracellular,elii,celc,5,PART_OF_ELIIprtfCELC
C0596235,C0887838,PART_OF,Calcium ion,trans-Golgi Network,elii,celc,1,PART_OF_ELIIprtfCELC
C0596235,C0887883,PART_OF,Calcium ion,Early endosome,elii,celc,2,PART_OF_ELIIprtfCELC
C0596235,C1383501,PART_OF,Calcium ion,Cytoplasmic matrix,elii,celc,10,PART_OF_ELIIprtfCELC
C0596235,C1523846,PART_OF,Calcium ion,lysosomal lumen,elii,celc,2,PART_OF_ELIIprtfCELC
C0596235,C3271504,PART_OF,Calcium ion,endolysosome,elii,celc,4,PART_OF_ELIIprtfCELC
C0682906,C0230765,PART_OF,Transition Elements,Golgi cisternae,elii,celc,1,PART_OF_ELIIprtfCELC
C0682906,C0230779,PART_OF,Transition Elements,Rough endoplasmic reticulum,elii,celc,3,PART_OF_ELIIprtfCELC
C2346927,C0175996,PART_OF,Magnesium Cation,Protoplasm,elii,celc,4,PART_OF_ELIIprtfCELC
