cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0007009,C0024432,PART_OF,Carbon,macrophage,elii,cell,1,PART_OF_ELIIprtfCELL
C0007009,C0598829,PART_OF,Carbon,Madin Darby Canine Kidney Cells,elii,cell,1,PART_OF_ELIIprtfCELL
C0022023,C0229579,PART_OF,Ions,Structure of thyroid parafollicular cell,elii,cell,1,PART_OF_ELIIprtfCELL
C0038836,C0026473,PART_OF,Superoxides,Monocytes,elii,cell,1,PART_OF_ELIIprtfCELL
C0038836,C0027950,PART_OF,Superoxides,neutrophil,elii,cell,1,PART_OF_ELIIprtfCELL
C0596235,C0225336,PART_OF,Calcium ion,Endothelial Cells,elii,cell,1,PART_OF_ELIIprtfCELL
C0596235,C0682610,PART_OF,Calcium ion,Enterocytes,elii,cell,1,PART_OF_ELIIprtfCELL
C2347816,C1257858,PART_OF,cobaltous cation,COS-7 Cells,elii,cell,1,PART_OF_ELIIprtfCELL
C2347816,C2936239,PART_OF,cobaltous cation,HEK293 Cells,elii,cell,1,PART_OF_ELIIprtfCELL
C2349105,C0018873,PART_OF,Vanadium 5+,HeLa Cells,elii,cell,1,PART_OF_ELIIprtfCELL
C2349105,C0042542,PART_OF,Vanadium 5+,Vero Cells,elii,cell,1,PART_OF_ELIIprtfCELL
C2349105,C2936239,PART_OF,Vanadium 5+,HEK293 Cells,elii,cell,1,PART_OF_ELIIprtfCELL
