cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0229961,C0006801,PART_OF,Carcass,Camels,ffas,mamm,2,PART_OF_FFASprtfMAMM
C0229961,C0007452,PART_OF,Carcass,Cattle,ffas,mamm,2,PART_OF_FFASprtfMAMM
C0229961,C0008111,PART_OF,Carcass,Pan troglodytes,ffas,mamm,4,PART_OF_FFASprtfMAMM
C0229961,C0008139,PART_OF,Carcass,Chiroptera,ffas,mamm,20,PART_OF_FFASprtfMAMM
C0229961,C0012984,PART_OF,Carcass,Canis familiaris,ffas,mamm,3,PART_OF_FFASprtfMAMM
C0229961,C0013127,PART_OF,Carcass,Camelus dromedarius,ffas,mamm,1,PART_OF_FFASprtfMAMM
C0229961,C0018866,PART_OF,Carcass,Erinaceidae,ffas,mamm,1,PART_OF_FFASprtfMAMM
C0229961,C0026447,PART_OF,Carcass,Monkeys,ffas,mamm,1,PART_OF_FFASprtfMAMM
C0229961,C0026809,PART_OF,Carcass,Mus,ffas,mamm,1,PART_OF_FFASprtfMAMM
C0229961,C0032636,PART_OF,Carcass,Pongidae,ffas,mamm,6,PART_OF_FFASprtfMAMM
C0229961,C0034693,PART_OF,Carcass,Rattus norvegicus,ffas,mamm,1,PART_OF_FFASprtfMAMM
C0229961,C0036945,PART_OF,Carcass,Sheep,ffas,mamm,1,PART_OF_FFASprtfMAMM
C0229961,C0039005,PART_OF,Carcass,Family suidae,ffas,mamm,4,PART_OF_FFASprtfMAMM
C0229961,C0325001,PART_OF,Carcass,Wolves,ffas,mamm,2,PART_OF_FFASprtfMAMM
C0229961,C0325113,PART_OF,Carcass,Snow Leopards,ffas,mamm,1,PART_OF_FFASprtfMAMM
C0229961,C0325162,PART_OF,Carcass,UNGULATES - HOOFED MAMMALS,ffas,mamm,1,PART_OF_FFASprtfMAMM
C0229961,C0325260,PART_OF,Carcass,Subfamily Cephalophinae (organism),ffas,mamm,3,PART_OF_FFASprtfMAMM
C0229961,C0869010,PART_OF,Carcass,Young dog,ffas,mamm,1,PART_OF_FFASprtfMAMM
C0229961,C0999490,PART_OF,Carcass,Miniopterus schreibersii,ffas,mamm,1,PART_OF_FFASprtfMAMM
C0229961,C1135183,PART_OF,Carcass,Sus scrofa,ffas,mamm,12,PART_OF_FFASprtfMAMM
