cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0010137,C0887939,PART_OF,Cortisone,"Herpesvirus 6B, Human",horm,virs,1,PART_OF_HORMprtfVIRS
C0012472,C0019704,PART_OF,Dinoprostone,HIV-1,horm,virs,1,PART_OF_HORMprtfVIRS
C0012472,C0042776,PART_OF,Dinoprostone,Virus,horm,virs,1,PART_OF_HORMprtfVIRS
C0032952,C0019704,PART_OF,Prednisone,HIV-1,horm,virs,1,PART_OF_HORMprtfVIRS
C0032952,C0032868,PART_OF,Prednisone,Poxviridae,horm,virs,1,PART_OF_HORMprtfVIRS
C0032952,C0042776,PART_OF,Prednisone,Virus,horm,virs,1,PART_OF_HORMprtfVIRS
C0032952,C0206348,PART_OF,Prednisone,Phycodnaviridae,horm,virs,1,PART_OF_HORMprtfVIRS
C0032952,C2648657,PART_OF,Prednisone,Mimiviridae,horm,virs,1,PART_OF_HORMprtfVIRS
C0032952,C4280016,PART_OF,Prednisone,Megavirales,horm,virs,1,PART_OF_HORMprtfVIRS
C0772289,C0016215,PART_OF,"corticotropin-releasing factor, human",Flavivirus,horm,virs,6,PART_OF_HORMprtfVIRS
C0772289,C0019704,PART_OF,"corticotropin-releasing factor, human",HIV-1,horm,virs,1,PART_OF_HORMprtfVIRS
C0772289,C0318793,PART_OF,"corticotropin-releasing factor, human",Zika Virus,horm,virs,1,PART_OF_HORMprtfVIRS
C4224854,C1175743,PART_OF,React,SARS coronavirus,horm,virs,1,PART_OF_HORMprtfVIRS
