cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003316,C0006933,PART_OF,Epitopes,Capsid,imft,anst,2,PART_OF_IMFTprtfANST
C0003342,C0006933,PART_OF,"Antigens, Viral",Capsid,imft,anst,7,PART_OF_IMFTprtfANST
C0003342,C1305737,PART_OF,"Antigens, Viral",Entire fetus,imft,anst,1,PART_OF_IMFTprtfANST
C0019166,C0006933,PART_OF,Hepatitis B Core Antigen,Capsid,imft,anst,1,PART_OF_IMFTprtfANST
C0042210,C0006933,PART_OF,Vaccines,Capsid,imft,anst,1,PART_OF_IMFTprtfANST
C0042742,C0006933,PART_OF,Viral Vaccines,Capsid,imft,anst,1,PART_OF_IMFTprtfANST
C0079600,C0006933,PART_OF,Immunodominant Epitopes,Capsid,imft,anst,1,PART_OF_IMFTprtfANST
C0368612,C0006933,PART_OF,Adenovirus Antigen,Capsid,imft,anst,1,PART_OF_IMFTprtfANST
C0946132,C0006933,PART_OF,Human papilloma virus (antigen),Capsid,imft,anst,1,PART_OF_IMFTprtfANST
C1291777,C0006933,PART_OF,Protein antigen,Capsid,imft,anst,2,PART_OF_IMFTprtfANST
C1440718,C0006933,PART_OF,HIV 1 p24,Capsid,imft,anst,1,PART_OF_IMFTprtfANST
C2701821,C0006629,PART_OF,hog skin extract,Cadaver,imft,anst,1,PART_OF_IMFTprtfANST
