cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001551,C0333785,PART_OF,Immunologic Adjuvants,Virus-like particles,imft,celc,1,PART_OF_IMFTprtfCELC
C0001551,C0521119,PART_OF,Immunologic Adjuvants,Extracellular,imft,celc,1,PART_OF_IMFTprtfCELC
C0001551,C1622204,PART_OF,Immunologic Adjuvants,envelope,imft,celc,1,PART_OF_IMFTprtfCELC
C0001551,C1749467,PART_OF,Immunologic Adjuvants,soluble,imft,celc,2,PART_OF_IMFTprtfCELC
C0003316,C0007623,PART_OF,Epitopes,Cell Wall,imft,celc,1,PART_OF_IMFTprtfCELC
C0003316,C0010834,PART_OF,Epitopes,Cytoplasm,imft,celc,3,PART_OF_IMFTprtfCELC
C0003316,C0010837,PART_OF,Epitopes,Cytoplasmic Granules,imft,celc,1,PART_OF_IMFTprtfCELC
C0003316,C0014780,PART_OF,Epitopes,Erythrocyte Membrane,imft,celc,1,PART_OF_IMFTprtfCELC
C0003316,C0042760,PART_OF,Epitopes,Virion,imft,celc,2,PART_OF_IMFTprtfCELC
C0003316,C0175996,PART_OF,Epitopes,Protoplasm,imft,celc,6,PART_OF_IMFTprtfCELC
C0003316,C0333785,PART_OF,Epitopes,Virus-like particles,imft,celc,1,PART_OF_IMFTprtfCELC
C0003316,C0521119,PART_OF,Epitopes,Extracellular,imft,celc,2,PART_OF_IMFTprtfCELC
C0003316,C0699040,PART_OF,Epitopes,Cell surface,imft,celc,4,PART_OF_IMFTprtfCELC
C0003316,C1167398,PART_OF,Epitopes,Viral envelope,imft,celc,2,PART_OF_IMFTprtfCELC
C0003316,C1167408,PART_OF,Epitopes,immunoglobulin complex,imft,celc,1,PART_OF_IMFTprtfCELC
C0003316,C1167519,PART_OF,Epitopes,viral capsid,imft,celc,1,PART_OF_IMFTprtfCELC
C0003316,C1325796,PART_OF,Epitopes,AP-1 adaptor complex location,imft,celc,2,PART_OF_IMFTprtfCELC
C0003316,C1511625,PART_OF,Epitopes,Cytoplasmic Domain,imft,celc,1,PART_OF_IMFTprtfCELC
C0003316,C1622204,PART_OF,Epitopes,envelope,imft,celc,10,PART_OF_IMFTprtfCELC
C0003316,C3821191,PART_OF,Epitopes,lateral crest,imft,celc,4,PART_OF_IMFTprtfCELC
C0003316,C3821310,PART_OF,Epitopes,membrane region,imft,celc,6,PART_OF_IMFTprtfCELC
C0003321,C0007623,PART_OF,"Antigens, Bacterial",Cell Wall,imft,celc,2,PART_OF_IMFTprtfCELC
C0003335,C0175996,PART_OF,"Antigens, Neoplasm",Protoplasm,imft,celc,1,PART_OF_IMFTprtfCELC
C0003339,C0026237,PART_OF,Surface Antigens,Mitochondria,imft,celc,1,PART_OF_IMFTprtfCELC
C0003339,C2350332,PART_OF,Surface Antigens,Exosomes,imft,celc,1,PART_OF_IMFTprtfCELC
C0003342,C0175996,PART_OF,"Antigens, Viral",Protoplasm,imft,celc,5,PART_OF_IMFTprtfCELC
C0003342,C1325796,PART_OF,"Antigens, Viral",AP-1 adaptor complex location,imft,celc,1,PART_OF_IMFTprtfCELC
C0003342,C1622204,PART_OF,"Antigens, Viral",envelope,imft,celc,1,PART_OF_IMFTprtfCELC
C0003342,C1749467,PART_OF,"Antigens, Viral",soluble,imft,celc,1,PART_OF_IMFTprtfCELC
C0003342,C2350332,PART_OF,"Antigens, Viral",Exosomes,imft,celc,1,PART_OF_IMFTprtfCELC
C0004359,C0007603,PART_OF,Autoantigens,Plasma membrane,imft,celc,1,PART_OF_IMFTprtfCELC
C0004359,C0007709,PART_OF,Autoantigens,Centromere,imft,celc,1,PART_OF_IMFTprtfCELC
C0004359,C0018042,PART_OF,Autoantigens,Golgi Apparatus,imft,celc,1,PART_OF_IMFTprtfCELC
C0004359,C0026237,PART_OF,Autoantigens,Mitochondria,imft,celc,2,PART_OF_IMFTprtfCELC
C0004359,C0175996,PART_OF,Autoantigens,Protoplasm,imft,celc,2,PART_OF_IMFTprtfCELC
C0004359,C0521119,PART_OF,Autoantigens,Extracellular,imft,celc,1,PART_OF_IMFTprtfCELC
C0004359,C0596901,PART_OF,Autoantigens,Membrane,imft,celc,4,PART_OF_IMFTprtfCELC
C0008897,C1749467,PART_OF,Human Class I Antigens,soluble,imft,celc,1,PART_OF_IMFTprtfCELC
C0018911,C0023768,PART_OF,"Hemagglutinins, Viral",Lipid Bilayers,imft,celc,3,PART_OF_IMFTprtfCELC
C0018911,C1622204,PART_OF,"Hemagglutinins, Viral",envelope,imft,celc,3,PART_OF_IMFTprtfCELC
C0019165,C1622204,PART_OF,Hepatitis B Antigens,envelope,imft,celc,3,PART_OF_IMFTprtfCELC
C0019166,C0007610,PART_OF,Hepatitis B Core Antigen,Cell Nucleus,imft,celc,1,PART_OF_IMFTprtfCELC
C0019166,C0175996,PART_OF,Hepatitis B Core Antigen,Protoplasm,imft,celc,1,PART_OF_IMFTprtfCELC
C0019166,C1167519,PART_OF,Hepatitis B Core Antigen,viral capsid,imft,celc,1,PART_OF_IMFTprtfCELC
C0019167,C1622204,PART_OF,Hepatitis B e Antigens,envelope,imft,celc,2,PART_OF_IMFTprtfCELC
C0019168,C0021868,PART_OF,Hepatitis B Surface Antigens,Intracellular Membranes,imft,celc,1,PART_OF_IMFTprtfCELC
C0019168,C0175996,PART_OF,Hepatitis B Surface Antigens,Protoplasm,imft,celc,6,PART_OF_IMFTprtfCELC
C0019168,C0333785,PART_OF,Hepatitis B Surface Antigens,Virus-like particles,imft,celc,1,PART_OF_IMFTprtfCELC
C0019168,C0596901,PART_OF,Hepatitis B Surface Antigens,Membrane,imft,celc,1,PART_OF_IMFTprtfCELC
C0021054,C1749467,PART_OF,Immunologic Factors,soluble,imft,celc,2,PART_OF_IMFTprtfCELC
C0021054,C1819995,PART_OF,Immunologic Factors,Host Cell,imft,celc,1,PART_OF_IMFTprtfCELC
C0023158,C0699040,PART_OF,Lymphocyte antigen,Cell surface,imft,celc,2,PART_OF_IMFTprtfCELC
C0042210,C0042760,PART_OF,Vaccines,Virion,imft,celc,9,PART_OF_IMFTprtfCELC
C0042210,C0333785,PART_OF,Vaccines,Virus-like particles,imft,celc,2,PART_OF_IMFTprtfCELC
C0042210,C0596901,PART_OF,Vaccines,Membrane,imft,celc,2,PART_OF_IMFTprtfCELC
C0042210,C1167331,PART_OF,Vaccines,outer membrane,imft,celc,1,PART_OF_IMFTprtfCELC
C0042210,C1167395,PART_OF,Vaccines,Host (organism),imft,celc,5,PART_OF_IMFTprtfCELC
C0042210,C1622204,PART_OF,Vaccines,envelope,imft,celc,3,PART_OF_IMFTprtfCELC
C0042210,C1749467,PART_OF,Vaccines,soluble,imft,celc,1,PART_OF_IMFTprtfCELC
C0042210,C3549194,PART_OF,Vaccines,viral membrane,imft,celc,1,PART_OF_IMFTprtfCELC
C0042212,C0042760,PART_OF,"Vaccines, Inactivated",Virion,imft,celc,2,PART_OF_IMFTprtfCELC
C0051967,C0699040,PART_OF,anti-c antibody,Cell surface,imft,celc,1,PART_OF_IMFTprtfCELC
C0051967,C2754960,PART_OF,anti-c antibody,surface IgG,imft,celc,1,PART_OF_IMFTprtfCELC
C0057317,C0175996,PART_OF,Hepatitis delta Antigens,Protoplasm,imft,celc,1,PART_OF_IMFTprtfCELC
C0069115,C1819995,PART_OF,"Antigens, Nuclear",Host Cell,imft,celc,1,PART_OF_IMFTprtfCELC
C0079600,C0042760,PART_OF,Immunodominant Epitopes,Virion,imft,celc,1,PART_OF_IMFTprtfCELC
