cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004793,C0012656,PART_OF,Base Sequence,Disease Vectors,nusq,anim,1,PART_OF_NUSQprtfANIM
C0009802,C0012656,PART_OF,Conserved Sequence,Disease Vectors,nusq,anim,1,PART_OF_NUSQprtfANIM
C0080089,C0012656,PART_OF,Reading Frames (Nucleotide Sequence),Disease Vectors,nusq,anim,1,PART_OF_NUSQprtfANIM
C0080089,C1554184,PART_OF,Reading Frames (Nucleotide Sequence),Dual,nusq,anim,1,PART_OF_NUSQprtfANIM
C0162326,C0012656,PART_OF,DNA Sequence,Disease Vectors,nusq,anim,13,PART_OF_NUSQprtfANIM
C0162326,C0562690,PART_OF,DNA Sequence,Carnivore,nusq,anim,2,PART_OF_NUSQprtfANIM
C0162326,C0920312,PART_OF,DNA Sequence,Chordata,nusq,anim,1,PART_OF_NUSQprtfANIM
C0162327,C1554184,PART_OF,RNA Sequence,Dual,nusq,anim,1,PART_OF_NUSQprtfANIM
C1512886,C0012656,PART_OF,Internal Ribosome Entry Sites,Disease Vectors,nusq,anim,1,PART_OF_NUSQprtfANIM
C1705686,C0012656,PART_OF,DNA Sequence - Cloning Site,Disease Vectors,nusq,anim,3,PART_OF_NUSQprtfANIM
C1882940,C0012656,PART_OF,Restriction Site,Disease Vectors,nusq,anim,11,PART_OF_NUSQprtfANIM
C3178810,C0012656,PART_OF,Transcriptome,Disease Vectors,nusq,anim,1,PART_OF_NUSQprtfANIM
