cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004793,C0009013,PART_OF,Base Sequence,Clone Cells,nusq,cell,4,PART_OF_NUSQprtfCELL
C0004793,C1883178,PART_OF,Base Sequence,Subclone,nusq,cell,1,PART_OF_NUSQprtfCELL
C0004793,C1953382,PART_OF,Base Sequence,Forward primer,nusq,cell,1,PART_OF_NUSQprtfCELL
C0079160,C0009013,PART_OF,Consensus Sequence,Clone Cells,nusq,cell,1,PART_OF_NUSQprtfCELL
C0079160,C1512977,PART_OF,Consensus Sequence,Mammalian Cell,nusq,cell,1,PART_OF_NUSQprtfCELL
C0080089,C1455888,PART_OF,Reading Frames (Nucleotide Sequence),Atypical Glandular Cell,nusq,cell,2,PART_OF_NUSQprtfCELL
C0162326,C0004561,PART_OF,DNA Sequence,B-Lymphocytes,nusq,cell,2,PART_OF_NUSQprtfCELL
C0162326,C0009013,PART_OF,DNA Sequence,Clone Cells,nusq,cell,44,PART_OF_NUSQprtfCELL
C0162326,C0015161,PART_OF,DNA Sequence,Eukaryotic Cells,nusq,cell,23,PART_OF_NUSQprtfCELL
C0162326,C0017473,PART_OF,DNA Sequence,Germ Line,nusq,cell,22,PART_OF_NUSQprtfCELL
C0162326,C0018873,PART_OF,DNA Sequence,HeLa Cells,nusq,cell,1,PART_OF_NUSQprtfCELL
C0162326,C0020204,PART_OF,DNA Sequence,Hybridomas,nusq,cell,2,PART_OF_NUSQprtfCELL
C0162326,C0026473,PART_OF,DNA Sequence,Monocytes,nusq,cell,1,PART_OF_NUSQprtfCELL
C0162326,C0039195,PART_OF,DNA Sequence,Cytotoxic T-Lymphocytes,nusq,cell,1,PART_OF_NUSQprtfCELL
C0162326,C0042542,PART_OF,DNA Sequence,Vero Cells,nusq,cell,2,PART_OF_NUSQprtfCELL
C0162326,C0085080,PART_OF,DNA Sequence,Chinese Hamster Ovary Cell,nusq,cell,1,PART_OF_NUSQprtfCELL
C0162326,C0879593,PART_OF,DNA Sequence,therapeutic autologous dendritic cells,nusq,cell,2,PART_OF_NUSQprtfCELL
C0162326,C1953382,PART_OF,DNA Sequence,Forward primer,nusq,cell,4,PART_OF_NUSQprtfCELL
C0162326,C3714800,PART_OF,DNA Sequence,SCID-Repopulating Cell,nusq,cell,1,PART_OF_NUSQprtfCELL
C0162326,C3891065,PART_OF,DNA Sequence,Mucosal-Associated Invariant T-Cell,nusq,cell,1,PART_OF_NUSQprtfCELL
C0162327,C0014597,PART_OF,RNA Sequence,Epithelial Cells,nusq,cell,1,PART_OF_NUSQprtfCELL
C0162327,C0039215,PART_OF,RNA Sequence,CD4 Positive T Lymphocytes,nusq,cell,1,PART_OF_NUSQprtfCELL
C0162327,C0206116,PART_OF,RNA Sequence,Microglia,nusq,cell,1,PART_OF_NUSQprtfCELL
C0162327,C0206190,PART_OF,RNA Sequence,"Macrophages, Peritoneal",nusq,cell,1,PART_OF_NUSQprtfCELL
C0162327,C0227525,PART_OF,RNA Sequence,Hepatocyte,nusq,cell,1,PART_OF_NUSQprtfCELL
C0162327,C0553257,PART_OF,RNA Sequence,Epithelial cell of renal tubule,nusq,cell,1,PART_OF_NUSQprtfCELL
C0752046,C0227525,PART_OF,Single Nucleotide Polymorphism,Hepatocyte,nusq,cell,1,PART_OF_NUSQprtfCELL
C1511518,C0228071,PART_OF,Copy Number Polymorphism,Ganglion cell,nusq,cell,1,PART_OF_NUSQprtfCELL
C1512886,C0007600,PART_OF,Internal Ribosome Entry Sites,Cultured Cell Line,nusq,cell,2,PART_OF_NUSQprtfCELL
C1512886,C3714800,PART_OF,Internal Ribosome Entry Sites,SCID-Repopulating Cell,nusq,cell,1,PART_OF_NUSQprtfCELL
C1517938,C0225336,PART_OF,Long Interspersed Elements,Endothelial Cells,nusq,cell,1,PART_OF_NUSQprtfCELL
C1882940,C0009013,PART_OF,Restriction Site,Clone Cells,nusq,cell,2,PART_OF_NUSQprtfCELL
C1882940,C1953382,PART_OF,Restriction Site,Forward primer,nusq,cell,3,PART_OF_NUSQprtfCELL
C1956150,C0009013,PART_OF,Opal Stop Codon,Clone Cells,nusq,cell,1,PART_OF_NUSQprtfCELL
C3178810,C0004112,PART_OF,Transcriptome,Astrocytes,nusq,cell,7,PART_OF_NUSQprtfCELL
C3178810,C0014597,PART_OF,Transcriptome,Epithelial Cells,nusq,cell,4,PART_OF_NUSQprtfCELL
C3178810,C0015161,PART_OF,Transcriptome,Eukaryotic Cells,nusq,cell,4,PART_OF_NUSQprtfCELL
C3178810,C0016030,PART_OF,Transcriptome,Fibroblasts,nusq,cell,1,PART_OF_NUSQprtfCELL
C3178810,C0024432,PART_OF,Transcriptome,macrophage,nusq,cell,1,PART_OF_NUSQprtfCELL
C3178810,C0027882,PART_OF,Transcriptome,Neurons,nusq,cell,1,PART_OF_NUSQprtfCELL
C3178810,C0039194,PART_OF,Transcriptome,T-Lymphocyte,nusq,cell,3,PART_OF_NUSQprtfCELL
C3178810,C0039215,PART_OF,Transcriptome,CD4 Positive T Lymphocytes,nusq,cell,1,PART_OF_NUSQprtfCELL
C3178810,C0085080,PART_OF,Transcriptome,Chinese Hamster Ovary Cell,nusq,cell,8,PART_OF_NUSQprtfCELL
C3178810,C0085133,PART_OF,Transcriptome,Reed-Sternberg Cells,nusq,cell,1,PART_OF_NUSQprtfCELL
C3178810,C0085236,PART_OF,Transcriptome,"Macrophages, Alveolar",nusq,cell,2,PART_OF_NUSQprtfCELL
C3178810,C0178708,PART_OF,Transcriptome,immortalized cell,nusq,cell,1,PART_OF_NUSQprtfCELL
C3178810,C0206116,PART_OF,Transcriptome,Microglia,nusq,cell,6,PART_OF_NUSQprtfCELL
C3178810,C0227525,PART_OF,Transcriptome,Hepatocyte,nusq,cell,2,PART_OF_NUSQprtfCELL
C3178810,C0242629,PART_OF,Transcriptome,CD8-Positive T-Lymphocytes,nusq,cell,1,PART_OF_NUSQprtfCELL
C3178810,C0334227,PART_OF,Transcriptome,"Tumor cells, malignant",nusq,cell,3,PART_OF_NUSQprtfCELL
C3178810,C0553257,PART_OF,Transcriptome,Epithelial cell of renal tubule,nusq,cell,1,PART_OF_NUSQprtfCELL
C3178810,C0598088,PART_OF,Transcriptome,continuous cell line,nusq,cell,1,PART_OF_NUSQprtfCELL
C3178810,C0599757,PART_OF,Transcriptome,Microfold cell,nusq,cell,1,PART_OF_NUSQprtfCELL
C3178810,C4277577,PART_OF,Transcriptome,A549 Cells,nusq,cell,1,PART_OF_NUSQprtfCELL
C3178810,C4330475,PART_OF,Transcriptome,Immune Cell,nusq,cell,2,PART_OF_NUSQprtfCELL
