cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0014609,C0012656,PART_OF,Epithelium,Disease Vectors,tisu,anim,1,PART_OF_TISUprtfANIM
C0026845,C0162318,PART_OF,Muscle,Farm Animals,tisu,anim,1,PART_OF_TISUprtfANIM
C0026969,C0599779,PART_OF,Myelin,Animal Model,tisu,anim,1,PART_OF_TISUprtfANIM
C0027061,C0598744,PART_OF,Myocardium,juvenile animal,tisu,anim,1,PART_OF_TISUprtfANIM
C0040300,C0003064,PART_OF,Body tissue,"Animals, Laboratory",tisu,anim,1,PART_OF_TISUprtfANIM
C0040300,C0003070,PART_OF,Body tissue,"Animals, Wild",tisu,anim,2,PART_OF_TISUprtfANIM
C0040300,C0012656,PART_OF,Body tissue,Disease Vectors,tisu,anim,2,PART_OF_TISUprtfANIM
C0040300,C0562690,PART_OF,Body tissue,Carnivore,tisu,anim,1,PART_OF_TISUprtfANIM
C0040300,C0599779,PART_OF,Body tissue,Animal Model,tisu,anim,1,PART_OF_TISUprtfANIM
C0040300,C2936506,PART_OF,Body tissue,Livestock,tisu,anim,1,PART_OF_TISUprtfANIM
C0440744,C0599779,PART_OF,Human tissue,Animal Model,tisu,anim,1,PART_OF_TISUprtfANIM
C1519547,C1511501,PART_OF,Tonsillar Tissue,Control Animal,tisu,anim,1,PART_OF_TISUprtfANIM
C1522642,C0012656,PART_OF,Clone,Disease Vectors,tisu,anim,1,PART_OF_TISUprtfANIM
