cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0026845,C0036108,PART_OF,Muscle,Oncorhynchus mykiss,tisu,fish,1,PART_OF_TISUprtfFISH
C0026845,C0329120,PART_OF,Muscle,Sea Bream,tisu,fish,1,PART_OF_TISUprtfFISH
C0040300,C0007284,PART_OF,Body tissue,"Carp, fish",tisu,fish,4,PART_OF_TISUprtfFISH
C0040300,C0036108,PART_OF,Body tissue,Oncorhynchus mykiss,tisu,fish,1,PART_OF_TISUprtfFISH
C0040300,C0036110,PART_OF,Body tissue,Salmon,tisu,fish,1,PART_OF_TISUprtfFISH
C0040300,C0041200,PART_OF,Body tissue,Salmo trutta,tisu,fish,1,PART_OF_TISUprtfFISH
C0040300,C0043457,PART_OF,Body tissue,Zebrafish,tisu,fish,4,PART_OF_TISUprtfFISH
C0040300,C0162642,PART_OF,Body tissue,Tilapia,tisu,fish,1,PART_OF_TISUprtfFISH
C0040300,C0327949,PART_OF,Body tissue,Salmo salar,tisu,fish,5,PART_OF_TISUprtfFISH
C0040300,C0328433,PART_OF,Body tissue,Gadus morhua,tisu,fish,3,PART_OF_TISUprtfFISH
C0040300,C0936076,PART_OF,Body tissue,Pufferfish,tisu,fish,2,PART_OF_TISUprtfFISH
C0040300,C0998972,PART_OF,Body tissue,Paralichthys olivaceus,tisu,fish,1,PART_OF_TISUprtfFISH
C1179187,C0036941,PART_OF,Lamina Propria,Shark - fish,tisu,fish,1,PART_OF_TISUprtfFISH
C1179187,C0327606,PART_OF,Lamina Propria,fish <Chondrichthyes>,tisu,fish,1,PART_OF_TISUprtfFISH
C1284837,C0328229,PART_OF,Entire body tissue,Pimephales promelas,tisu,fish,1,PART_OF_TISUprtfFISH
