cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001527,C0086418,PART_OF,Adipose tissue,Homo sapiens,tisu,humn,4,PART_OF_TISUprtfHUMN
C0005767,C0001675,PART_OF,Blood,Adult,tisu,humn,10,PART_OF_TISUprtfHUMN
C0005767,C0005795,PART_OF,Blood,Blood donor,tisu,humn,2,PART_OF_TISUprtfHUMN
C0005767,C0007457,PART_OF,Blood,Caucasoid Race,tisu,humn,4,PART_OF_TISUprtfHUMN
C0005767,C0008059,PART_OF,Blood,Child,tisu,humn,13,PART_OF_TISUprtfHUMN
C0005767,C0009932,PART_OF,Blood,Control Groups,tisu,humn,1,PART_OF_TISUprtfHUMN
C0005767,C0013018,PART_OF,Blood,Donor person,tisu,humn,5,PART_OF_TISUprtfHUMN
C0005767,C0021270,PART_OF,Blood,Infant,tisu,humn,4,PART_OF_TISUprtfHUMN
C0005767,C0021289,PART_OF,Blood,"Infant, Newborn",tisu,humn,1,PART_OF_TISUprtfHUMN
C0005767,C0033011,PART_OF,Blood,Pregnant Women,tisu,humn,1,PART_OF_TISUprtfHUMN
C0005767,C0037047,PART_OF,Blood,Sibling,tisu,humn,1,PART_OF_TISUprtfHUMN
C0005767,C0042960,PART_OF,Blood,Voluntary Workers,tisu,humn,8,PART_OF_TISUprtfHUMN
C0005767,C0043210,PART_OF,Blood,Woman,tisu,humn,4,PART_OF_TISUprtfHUMN
C0005767,C0086418,PART_OF,Blood,Homo sapiens,tisu,humn,154,PART_OF_TISUprtfHUMN
C0005767,C0206194,PART_OF,Blood,Survivors,tisu,humn,1,PART_OF_TISUprtfHUMN
C0005767,C0221460,PART_OF,Blood,Farmers,tisu,humn,1,PART_OF_TISUprtfHUMN
C0005767,C0238607,PART_OF,Blood,AIDS patient,tisu,humn,1,PART_OF_TISUprtfHUMN
C0005767,C0337948,PART_OF,Blood,Australian aborigine,tisu,humn,1,PART_OF_TISUprtfHUMN
C0005767,C0402112,PART_OF,Blood,Scientist,tisu,humn,1,PART_OF_TISUprtfHUMN
C0005767,C0680063,PART_OF,Blood,Offspring,tisu,humn,1,PART_OF_TISUprtfHUMN
C0005767,C0680398,PART_OF,Blood,secondary group,tisu,humn,1,PART_OF_TISUprtfHUMN
C0005767,C0687759,PART_OF,Blood,traveler,tisu,humn,1,PART_OF_TISUprtfHUMN
C0005767,C1516213,PART_OF,Blood,Cancer Patient,tisu,humn,2,PART_OF_TISUprtfHUMN
C0005767,C1522486,PART_OF,Blood,Professional Organization or Group,tisu,humn,1,PART_OF_TISUprtfHUMN
C0005767,C1708335,PART_OF,Blood,Healthy Volunteers,tisu,humn,8,PART_OF_TISUprtfHUMN
C0005767,C1709854,PART_OF,Blood,Recipient,tisu,humn,1,PART_OF_TISUprtfHUMN
C0005767,C1999167,PART_OF,Blood,Old age,tisu,humn,2,PART_OF_TISUprtfHUMN
C0005767,C3494262,PART_OF,Blood,"Infant, Extremely Premature",tisu,humn,1,PART_OF_TISUprtfHUMN
C0014257,C0086418,PART_OF,Endothelium,Homo sapiens,tisu,humn,3,PART_OF_TISUprtfHUMN
