cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0033799,C0021368,PREDISPOSES,Pseudogenes,Inflammation,gngm,patf,1,PREDISPOSES_GNGMpredPATF
C0206256,C0024348,PREDISPOSES,"Genes, Immediate-Early",Lysis,gngm,patf,1,PREDISPOSES_GNGMpredPATF
C0919427,C0021368,PREDISPOSES,MTHFR gene,Inflammation,gngm,patf,1,PREDISPOSES_GNGMpredPATF
C1414040,C0151526,PREDISPOSES,DHCR7 gene,Premature Birth,gngm,patf,1,PREDISPOSES_GNGMpredPATF
C1414407,C0151526,PREDISPOSES,ENPP1 gene,Premature Birth,gngm,patf,1,PREDISPOSES_GNGMpredPATF
C1415627,C0020507,PREDISPOSES,FOXA2 gene,Hyperplasia,gngm,patf,1,PREDISPOSES_GNGMpredPATF
C1418187,C0151763,PREDISPOSES,ORM2 gene,Liver damage,gngm,patf,1,PREDISPOSES_GNGMpredPATF
C1423517,C2717792,PREDISPOSES,ADAM33 gene,Airway Remodeling,gngm,patf,1,PREDISPOSES_GNGMpredPATF
C1425826,C0020517,PREDISPOSES,CREB3L3 gene,Hypersensitivity,gngm,patf,1,PREDISPOSES_GNGMpredPATF
C1427577,C1510411,PREDISPOSES,CENPW gene,metaplastic cell transformation,gngm,patf,1,PREDISPOSES_GNGMpredPATF
C1537479,C2699153,PREDISPOSES,CCAR2 gene,Cell Invasion,gngm,patf,1,PREDISPOSES_GNGMpredPATF
C1538681,C0036679,PREDISPOSES,PLOD1 gene,Diastasis,gngm,patf,1,PREDISPOSES_GNGMpredPATF
C2745878,C2699153,PREDISPOSES,Endothelin-Converting Enzymes,Cell Invasion,gngm,patf,1,PREDISPOSES_GNGMpredPATF
