cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001551,C0003864,PREDISPOSES,Immunologic Adjuvants,Arthritis,imft,dsyn,2,PREDISPOSES_IMFTpredDSYN
C0001551,C0035455,PREDISPOSES,Immunologic Adjuvants,Rhinitis,imft,dsyn,1,PREDISPOSES_IMFTpredDSYN
C0002092,C0004096,PREDISPOSES,Allergens,Asthma,imft,dsyn,1,PREDISPOSES_IMFTpredDSYN
C0003316,C0001175,PREDISPOSES,Epitopes,Acquired Immunodeficiency Syndrome,imft,dsyn,1,PREDISPOSES_IMFTpredDSYN
C0003316,C0009450,PREDISPOSES,Epitopes,Communicable Diseases,imft,dsyn,1,PREDISPOSES_IMFTpredDSYN
C0003316,C0014518,PREDISPOSES,Epitopes,Toxic Epidermal Necrolysis,imft,dsyn,2,PREDISPOSES_IMFTpredDSYN
C0003316,C0270724,PREDISPOSES,Epitopes,Infantile Neuroaxonal Dystrophy,imft,dsyn,1,PREDISPOSES_IMFTpredDSYN
C0003342,C0011311,PREDISPOSES,"Antigens, Viral",Dengue Fever,imft,dsyn,1,PREDISPOSES_IMFTpredDSYN
C0004632,C0275544,PREDISPOSES,Bacterial Vaccines,Congenital infectious disease,imft,dsyn,1,PREDISPOSES_IMFTpredDSYN
C0008897,C0019100,PREDISPOSES,Human Class I Antigens,Severe Dengue,imft,dsyn,1,PREDISPOSES_IMFTpredDSYN
C0032375,C1405308,PREDISPOSES,Oral Poliovirus Vaccine,Vaccine-Associated Paralytic Poliomyelitis,imft,dsyn,1,PREDISPOSES_IMFTpredDSYN
C0042210,C0009450,PREDISPOSES,Vaccines,Communicable Diseases,imft,dsyn,2,PREDISPOSES_IMFTpredDSYN
C0042210,C0019693,PREDISPOSES,Vaccines,HIV Infections,imft,dsyn,1,PREDISPOSES_IMFTpredDSYN
C0042210,C0021334,PREDISPOSES,Vaccines,Infectious Bovine Rhinotracheitis,imft,dsyn,1,PREDISPOSES_IMFTpredDSYN
C0042210,C0021400,PREDISPOSES,Vaccines,Influenza,imft,dsyn,1,PREDISPOSES_IMFTpredDSYN
C0042210,C0022882,PREDISPOSES,Vaccines,Laboratory Infection,imft,dsyn,1,PREDISPOSES_IMFTpredDSYN
C0042210,C0032285,PREDISPOSES,Vaccines,Pneumonia,imft,dsyn,1,PREDISPOSES_IMFTpredDSYN
C0042210,C0035235,PREDISPOSES,Vaccines,Respiratory Syncytial Virus Infections,imft,dsyn,1,PREDISPOSES_IMFTpredDSYN
C0042210,C0276500,PREDISPOSES,Vaccines,Human immunodeficiency virus I infection,imft,dsyn,1,PREDISPOSES_IMFTpredDSYN
C0042210,C3277428,PREDISPOSES,Vaccines,Severe viral infections,imft,dsyn,1,PREDISPOSES_IMFTpredDSYN
C0042210,C3534575,PREDISPOSES,Vaccines,Animal Health,imft,dsyn,1,PREDISPOSES_IMFTpredDSYN
C0086413,C0019693,PREDISPOSES,HIV Vaccine,HIV Infections,imft,dsyn,1,PREDISPOSES_IMFTpredDSYN
C0282580,C0206750,PREDISPOSES,"Epitopes, T-Lymphocyte",Coronavirus Infections,imft,dsyn,1,PREDISPOSES_IMFTpredDSYN
C0282580,C0270724,PREDISPOSES,"Epitopes, T-Lymphocyte",Infantile Neuroaxonal Dystrophy,imft,dsyn,1,PREDISPOSES_IMFTpredDSYN
C0282681,C0019100,PREDISPOSES,Enhancing Antibodies,Severe Dengue,imft,dsyn,1,PREDISPOSES_IMFTpredDSYN
C0383429,C0276253,PREDISPOSES,alemtuzumab,Cytomegaloviral pneumonia,imft,dsyn,1,PREDISPOSES_IMFTpredDSYN
C0383429,C1535939,PREDISPOSES,alemtuzumab,Pneumocystis jiroveci pneumonia,imft,dsyn,1,PREDISPOSES_IMFTpredDSYN
C0723145,C0021933,PREDISPOSES,RotaShield,Intussusception,imft,dsyn,3,PREDISPOSES_IMFTpredDSYN
C0887894,C0014457,PREDISPOSES,Respiratory Syncytial Virus Vaccines,Eosinophilia,imft,dsyn,1,PREDISPOSES_IMFTpredDSYN
C1259157,C0032285,PREDISPOSES,Inflexal V,Pneumonia,imft,dsyn,1,PREDISPOSES_IMFTpredDSYN
C1277100,C0009952,PREDISPOSES,Diphtheria-Tetanus-(whole-cell) Pertussis Vaccine,Febrile Convulsions,imft,dsyn,1,PREDISPOSES_IMFTpredDSYN
C1291802,C0276500,PREDISPOSES,"Human immunodeficiency virus, type I glycoprotein antigen 120",Human immunodeficiency virus I infection,imft,dsyn,1,PREDISPOSES_IMFTpredDSYN
C1440710,C0011175,PREDISPOSES,HIV 1 gp41,Dehydration,imft,dsyn,1,PREDISPOSES_IMFTpredDSYN
C1545500,C0042769,PREDISPOSES,Influenza virus A hemagglutinin,Virus Diseases,imft,dsyn,1,PREDISPOSES_IMFTpredDSYN
C1548477,C0019100,PREDISPOSES,Dengue fever vaccine,Severe Dengue,imft,dsyn,1,PREDISPOSES_IMFTpredDSYN
C2825347,C0007682,PREDISPOSES,"Immunoglobulin A, Human",CNS disorder,imft,dsyn,2,PREDISPOSES_IMFTpredDSYN
C2825347,C0276500,PREDISPOSES,"Immunoglobulin A, Human",Human immunodeficiency virus I infection,imft,dsyn,2,PREDISPOSES_IMFTpredDSYN
C3161957,C0021400,PREDISPOSES,INFLUENZA strains,Influenza,imft,dsyn,1,PREDISPOSES_IMFTpredDSYN
C3273243,C0032269,PREDISPOSES,Polysaccharide Vaccine,Pneumococcal Infections,imft,dsyn,1,PREDISPOSES_IMFTpredDSYN
