cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001347,C0021368,PREVENTS,Acute-Phase Proteins,Inflammation,aapp,patf,2,PREVENTS_AAPPprevPATF
C0003009,C0016059,PREVENTS,angiotensin II,Fibrosis,aapp,patf,1,PREVENTS_AAPPprevPATF
C0003241,C0333467,PREVENTS,Antibodies,Cytopathic effect,aapp,patf,1,PREVENTS_AAPPprevPATF
C0003241,C3714514,PREVENTS,Antibodies,Infection,aapp,patf,7,PREVENTS_AAPPprevPATF
C0003242,C0015376,PREVENTS,"Antibodies, Anti-Idiotypic",Extravasation,aapp,patf,1,PREVENTS_AAPPprevPATF
C0003242,C0332448,PREVENTS,"Antibodies, Anti-Idiotypic",Infiltration,aapp,patf,1,PREVENTS_AAPPprevPATF
C0003250,C0815080,PREVENTS,Monoclonal Antibodies,organ rejection,aapp,patf,1,PREVENTS_AAPPprevPATF
C0003250,C3714514,PREVENTS,Monoclonal Antibodies,Infection,aapp,patf,2,PREVENTS_AAPPprevPATF
C0003595,C0021368,PREVENTS,Apolipoprotein E,Inflammation,aapp,patf,2,PREVENTS_AAPPprevPATF
C0003641,C3714514,PREVENTS,Aprotinin,Infection,aapp,patf,1,PREVENTS_AAPPprevPATF
C0005740,C0020517,PREVENTS,Bleomycin,Hypersensitivity,aapp,patf,1,PREVENTS_AAPPprevPATF
C0006992,C0020564,PREVENTS,Carbocysteine,Hypertrophy,aapp,patf,2,PREVENTS_AAPPprevPATF
C0007428,C0021368,PREVENTS,Cathepsins,Inflammation,aapp,patf,1,PREVENTS_AAPPprevPATF
C0009325,C0021368,PREVENTS,Collagen,Inflammation,aapp,patf,1,PREVENTS_AAPPprevPATF
C0009498,C3714514,PREVENTS,Complement System Proteins,Infection,aapp,patf,1,PREVENTS_AAPPprevPATF
C0009629,C0021368,PREVENTS,Conalbumin,Inflammation,aapp,patf,1,PREVENTS_AAPPprevPATF
C0010592,C0002170,PREVENTS,Cyclosporine,Alopecia,aapp,patf,1,PREVENTS_AAPPprevPATF
C0010592,C0333606,PREVENTS,Cyclosporine,Dystrophy,aapp,patf,1,PREVENTS_AAPPprevPATF
C0011519,C0020517,PREVENTS,Deoxyribonuclease I,Hypersensitivity,aapp,patf,1,PREVENTS_AAPPprevPATF
C0014025,C0149721,PREVENTS,Enalapril,Left Ventricular Hypertrophy,aapp,patf,1,PREVENTS_AAPPprevPATF
C0016194,C0162633,PREVENTS,Flagellin,Viral Shedding,aapp,patf,1,PREVENTS_AAPPprevPATF
C0016194,C3714514,PREVENTS,Flagellin,Infection,aapp,patf,1,PREVENTS_AAPPprevPATF
C0017645,C0020517,PREVENTS,Globin,Hypersensitivity,aapp,patf,1,PREVENTS_AAPPprevPATF
C0017968,C0162633,PREVENTS,Glycoproteins,Viral Shedding,aapp,patf,1,PREVENTS_AAPPprevPATF
C0018847,C0021368,PREVENTS,Heat Shock Protein 27,Inflammation,aapp,patf,1,PREVENTS_AAPPprevPATF
C0020838,C3714514,PREVENTS,Secretory Immunoglobulin A,Infection,aapp,patf,1,PREVENTS_AAPPprevPATF
C0021027,C3714514,PREVENTS,Immunoglobulins,Infection,aapp,patf,1,PREVENTS_AAPPprevPATF
C0021641,C0021655,PREVENTS,Insulin,Insulin Resistance,aapp,patf,1,PREVENTS_AAPPprevPATF
C0021665,C1155266,PREVENTS,Insulin-Like Growth Factor I,inflammatory response,aapp,patf,1,PREVENTS_AAPPprevPATF
