cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001551,C0002438,PREVENTS,Immunologic Adjuvants,Amebiasis,imft,dsyn,1,PREVENTS_IMFTprevDSYN
C0001551,C0009450,PREVENTS,Immunologic Adjuvants,Communicable Diseases,imft,dsyn,2,PREVENTS_IMFTprevDSYN
C0001551,C0016627,PREVENTS,Immunologic Adjuvants,Influenza in Birds,imft,dsyn,1,PREVENTS_IMFTprevDSYN
C0001551,C0042769,PREVENTS,Immunologic Adjuvants,Virus Diseases,imft,dsyn,2,PREVENTS_IMFTprevDSYN
C0001551,C0339901,PREVENTS,Immunologic Adjuvants,Acute respiratory infections,imft,dsyn,3,PREVENTS_IMFTprevDSYN
C0001551,C0376538,PREVENTS,Immunologic Adjuvants,Porcine Reproductive and Respiratory Syndrome,imft,dsyn,1,PREVENTS_IMFTprevDSYN
C0001551,C0404521,PREVENTS,Immunologic Adjuvants,Infective vaginitis,imft,dsyn,1,PREVENTS_IMFTprevDSYN
C0002092,C0155877,PREVENTS,Allergens,Allergic asthma,imft,dsyn,1,PREVENTS_IMFTprevDSYN
C0003316,C0009450,PREVENTS,Epitopes,Communicable Diseases,imft,dsyn,1,PREVENTS_IMFTprevDSYN
C0003316,C0042749,PREVENTS,Epitopes,Viremia,imft,dsyn,2,PREVENTS_IMFTprevDSYN
C0003316,C0042769,PREVENTS,Epitopes,Virus Diseases,imft,dsyn,1,PREVENTS_IMFTprevDSYN
C0003316,C0155877,PREVENTS,Epitopes,Allergic asthma,imft,dsyn,1,PREVENTS_IMFTprevDSYN
C0003316,C0276289,PREVENTS,Epitopes,Zika Virus Infection,imft,dsyn,1,PREVENTS_IMFTprevDSYN
C0003316,C0276500,PREVENTS,Epitopes,Human immunodeficiency virus I infection,imft,dsyn,1,PREVENTS_IMFTprevDSYN
C0003316,C0442886,PREVENTS,Epitopes,Secondary Infections,imft,dsyn,1,PREVENTS_IMFTprevDSYN
C0003316,C0866123,PREVENTS,Epitopes,Nephrotic nephritis NOS,imft,dsyn,1,PREVENTS_IMFTprevDSYN
C0003321,C0009450,PREVENTS,"Antigens, Bacterial",Communicable Diseases,imft,dsyn,1,PREVENTS_IMFTprevDSYN
C0003342,C0042769,PREVENTS,"Antigens, Viral",Virus Diseases,imft,dsyn,2,PREVENTS_IMFTprevDSYN
C0003342,C0242301,PREVENTS,"Antigens, Viral",furuncle,imft,dsyn,1,PREVENTS_IMFTprevDSYN
C0003445,C0029118,PREVENTS,Antitoxins,Opportunistic Infections,imft,dsyn,1,PREVENTS_IMFTprevDSYN
C0004359,C0004364,PREVENTS,Autoantigens,Autoimmune Diseases,imft,dsyn,2,PREVENTS_IMFTprevDSYN
C0004886,C0041318,PREVENTS,BCG Vaccine,"Tuberculosis, Meningeal",imft,dsyn,1,PREVENTS_IMFTprevDSYN
C0004886,C0041327,PREVENTS,BCG Vaccine,"Tuberculosis, Pulmonary",imft,dsyn,1,PREVENTS_IMFTprevDSYN
C0008359,C0008354,PREVENTS,Cholera Vaccine,Cholera,imft,dsyn,2,PREVENTS_IMFTprevDSYN
C0008359,C0009450,PREVENTS,Cholera Vaccine,Communicable Diseases,imft,dsyn,1,PREVENTS_IMFTprevDSYN
C0019737,C0240066,PREVENTS,HLA-B Antigens,Iron deficiency,imft,dsyn,1,PREVENTS_IMFTprevDSYN
C0021403,C0016627,PREVENTS,Influenza virus vaccine,Influenza in Birds,imft,dsyn,1,PREVENTS_IMFTprevDSYN
C0021403,C0021400,PREVENTS,Influenza virus vaccine,Influenza,imft,dsyn,8,PREVENTS_IMFTprevDSYN
C0021403,C0029342,PREVENTS,Influenza virus vaccine,Orthomyxoviridae Infections,imft,dsyn,1,PREVENTS_IMFTprevDSYN
C0021403,C0029882,PREVENTS,Influenza virus vaccine,Otitis Media,imft,dsyn,1,PREVENTS_IMFTprevDSYN
