cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004391,C0002795,PROCESS_OF,Autophagy,Anaplasmataceae,celf,bact,1,PROCESS_OF_CELFprcfBACT
C0004391,C0079488,PROCESS_OF,Autophagy,Helicobacter pylori,celf,bact,1,PROCESS_OF_CELFprcfBACT
C0004391,C0318329,PROCESS_OF,Autophagy,Anaplasma phagocytophilum,celf,bact,1,PROCESS_OF_CELFprcfBACT
C0007577,C0038410,PROCESS_OF,Cell Adhesion,Streptococcus pneumoniae,celf,bact,1,PROCESS_OF_CELFprcfBACT
C0007577,C0580797,PROCESS_OF,Cell Adhesion,Enterotoxigenic Escherichia coli,celf,bact,1,PROCESS_OF_CELFprcfBACT
C0007577,C0684060,PROCESS_OF,Cell Adhesion,prokaryote organisms,celf,bact,1,PROCESS_OF_CELFprcfBACT
C0007590,C0004611,PROCESS_OF,Cell division,Bacteria,celf,bact,1,PROCESS_OF_CELFprcfBACT
C0007590,C0014834,PROCESS_OF,Cell division,Escherichia coli,celf,bact,1,PROCESS_OF_CELFprcfBACT
C0007590,C1563018,PROCESS_OF,Cell division,Form-bacillus,celf,bact,1,PROCESS_OF_CELFprcfBACT
C0007595,C0004611,PROCESS_OF,cell growth,Bacteria,celf,bact,1,PROCESS_OF_CELFprcfBACT
C0031308,C0004587,PROCESS_OF,Phagocytosis,Bacillus <bacterium>,celf,bact,1,PROCESS_OF_CELFprcfBACT
C0031308,C0004611,PROCESS_OF,Phagocytosis,Bacteria,celf,bact,5,PROCESS_OF_CELFprcfBACT
C0031308,C0038410,PROCESS_OF,Phagocytosis,Streptococcus pneumoniae,celf,bact,1,PROCESS_OF_CELFprcfBACT
C0037083,C0004589,PROCESS_OF,Signal Transduction,Bacillus anthracis,celf,bact,1,PROCESS_OF_CELFprcfBACT
C0037083,C0004611,PROCESS_OF,Signal Transduction,Bacteria,celf,bact,1,PROCESS_OF_CELFprcfBACT
C0037083,C0043408,PROCESS_OF,Signal Transduction,Yersinia pestis,celf,bact,1,PROCESS_OF_CELFprcfBACT
C0040682,C0014834,PROCESS_OF,cell transformation,Escherichia coli,celf,bact,4,PROCESS_OF_CELFprcfBACT
C0162638,C0004611,PROCESS_OF,Apoptosis,Bacteria,celf,bact,1,PROCESS_OF_CELFprcfBACT
C0596144,C0004611,PROCESS_OF,auxotrophy,Bacteria,celf,bact,1,PROCESS_OF_CELFprcfBACT
C0596144,C0036111,PROCESS_OF,auxotrophy,Salmonella,celf,bact,1,PROCESS_OF_CELFprcfBACT
C0596144,C0036953,PROCESS_OF,auxotrophy,Shigella,celf,bact,1,PROCESS_OF_CELFprcfBACT
C0596144,C1265139,PROCESS_OF,auxotrophy,"Shigella flexneri, serovar 2a",celf,bact,1,PROCESS_OF_CELFprcfBACT
C0596897,C0014834,PROCESS_OF,membrane activity,Escherichia coli,celf,bact,1,PROCESS_OF_CELFprcfBACT
C1154599,C0004611,PROCESS_OF,quorum sensing,Bacteria,celf,bact,2,PROCESS_OF_CELFprcfBACT
C1154599,C0023237,PROCESS_OF,quorum sensing,Legionella,celf,bact,1,PROCESS_OF_CELFprcfBACT
C1154599,C0038408,PROCESS_OF,quorum sensing,Lactococcus lactis,celf,bact,2,PROCESS_OF_CELFprcfBACT
C1154599,C0038410,PROCESS_OF,quorum sensing,Streptococcus pneumoniae,celf,bact,2,PROCESS_OF_CELFprcfBACT
C1155336,C0004611,PROCESS_OF,stringent response,Bacteria,celf,bact,2,PROCESS_OF_CELFprcfBACT
C1155942,C0038410,PROCESS_OF,pilus assembly,Streptococcus pneumoniae,celf,bact,1,PROCESS_OF_CELFprcfBACT
C1156243,C0004589,PROCESS_OF,colony morphology,Bacillus anthracis,celf,bact,1,PROCESS_OF_CELFprcfBACT
