cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003272,C0006826,PROCESS_OF,Antibody-Dependent Cellular Cytotoxicity,Malignant Neoplasms,celf,neop,1,PROCESS_OF_CELFprcfNEOP
C0004391,C0007114,PROCESS_OF,Autophagy,Malignant neoplasm of skin,celf,neop,1,PROCESS_OF_CELFprcfNEOP
C0004391,C0017636,PROCESS_OF,Autophagy,Glioblastoma,celf,neop,1,PROCESS_OF_CELFprcfNEOP
C0004391,C0027651,PROCESS_OF,Autophagy,Neoplasms,celf,neop,1,PROCESS_OF_CELFprcfNEOP
C0004391,C0029463,PROCESS_OF,Autophagy,Osteosarcoma,celf,neop,1,PROCESS_OF_CELFprcfNEOP
C0004391,C0079772,PROCESS_OF,Autophagy,T-Cell Lymphoma,celf,neop,1,PROCESS_OF_CELFprcfNEOP
C0004391,C0178874,PROCESS_OF,Autophagy,Tumor Progression,celf,neop,1,PROCESS_OF_CELFprcfNEOP
C0004391,C0242379,PROCESS_OF,Autophagy,Malignant neoplasm of lung,celf,neop,1,PROCESS_OF_CELFprcfNEOP
C0004391,C2239176,PROCESS_OF,Autophagy,Liver carcinoma,celf,neop,2,PROCESS_OF_CELFprcfNEOP
C0007577,C0006142,PROCESS_OF,Cell Adhesion,Malignant neoplasm of breast,celf,neop,1,PROCESS_OF_CELFprcfNEOP
C0007577,C0006826,PROCESS_OF,Cell Adhesion,Malignant Neoplasms,celf,neop,2,PROCESS_OF_CELFprcfNEOP
C0007577,C0007102,PROCESS_OF,Cell Adhesion,Malignant tumor of colon,celf,neop,5,PROCESS_OF_CELFprcfNEOP
C0007577,C0029463,PROCESS_OF,Cell Adhesion,Osteosarcoma,celf,neop,1,PROCESS_OF_CELFprcfNEOP
C0007577,C0235974,PROCESS_OF,Cell Adhesion,Pancreatic carcinoma,celf,neop,2,PROCESS_OF_CELFprcfNEOP
C0007577,C0260037,PROCESS_OF,Cell Adhesion,Multiple tumors,celf,neop,1,PROCESS_OF_CELFprcfNEOP
C0007582,C0027651,PROCESS_OF,Cell Communication,Neoplasms,celf,neop,1,PROCESS_OF_CELFprcfNEOP
C0007582,C0699790,PROCESS_OF,Cell Communication,Colon Carcinoma,celf,neop,1,PROCESS_OF_CELFprcfNEOP
C0007586,C0006826,PROCESS_OF,Cell Cycle,Malignant Neoplasms,celf,neop,1,PROCESS_OF_CELFprcfNEOP
C0007586,C0017636,PROCESS_OF,Cell Cycle,Glioblastoma,celf,neop,1,PROCESS_OF_CELFprcfNEOP
C0007586,C0346429,PROCESS_OF,Cell Cycle,Multiple malignancy,celf,neop,1,PROCESS_OF_CELFprcfNEOP
C0007586,C0598934,PROCESS_OF,Cell Cycle,tumor growth,celf,neop,1,PROCESS_OF_CELFprcfNEOP
C0007587,C0006826,PROCESS_OF,Cell Death,Malignant Neoplasms,celf,neop,4,PROCESS_OF_CELFprcfNEOP
C0007587,C0007847,PROCESS_OF,Cell Death,Malignant tumor of cervix,celf,neop,1,PROCESS_OF_CELFprcfNEOP
C0007587,C0027627,PROCESS_OF,Cell Death,Neoplasm Metastasis,celf,neop,1,PROCESS_OF_CELFprcfNEOP
C0007587,C0027651,PROCESS_OF,Cell Death,Neoplasms,celf,neop,1,PROCESS_OF_CELFprcfNEOP
C0007587,C0206695,PROCESS_OF,Cell Death,"Carcinoma, Neuroendocrine",celf,neop,2,PROCESS_OF_CELFprcfNEOP
C0007587,C0235974,PROCESS_OF,Cell Death,Pancreatic carcinoma,celf,neop,1,PROCESS_OF_CELFprcfNEOP
C0007587,C0242379,PROCESS_OF,Cell Death,Malignant neoplasm of lung,celf,neop,1,PROCESS_OF_CELFprcfNEOP
C0007589,C0001418,PROCESS_OF,Cell Differentiation process,Adenocarcinoma,celf,neop,2,PROCESS_OF_CELFprcfNEOP
C0007589,C0007137,PROCESS_OF,Cell Differentiation process,Squamous cell carcinoma,celf,neop,1,PROCESS_OF_CELFprcfNEOP
C0007589,C0027651,PROCESS_OF,Cell Differentiation process,Neoplasms,celf,neop,2,PROCESS_OF_CELFprcfNEOP
C0007589,C0278861,PROCESS_OF,Cell Differentiation process,Recurrent Thyroid Carcinoma,celf,neop,2,PROCESS_OF_CELFprcfNEOP
C0007589,C0549473,PROCESS_OF,Cell Differentiation process,Thyroid carcinoma,celf,neop,7,PROCESS_OF_CELFprcfNEOP
C0007589,C3544175,PROCESS_OF,Cell Differentiation process,Nonkeratinizing carcinoma of the nasopharynx,celf,neop,1,PROCESS_OF_CELFprcfNEOP
C0007595,C0017636,PROCESS_OF,cell growth,Glioblastoma,celf,neop,1,PROCESS_OF_CELFprcfNEOP
C0007595,C0017638,PROCESS_OF,cell growth,Glioma,celf,neop,1,PROCESS_OF_CELFprcfNEOP
C0007595,C0023418,PROCESS_OF,cell growth,leukemia,celf,neop,1,PROCESS_OF_CELFprcfNEOP
C0007595,C0027651,PROCESS_OF,cell growth,Neoplasms,celf,neop,1,PROCESS_OF_CELFprcfNEOP
C0007595,C0079731,PROCESS_OF,cell growth,B-Cell Lymphomas,celf,neop,1,PROCESS_OF_CELFprcfNEOP
C0007595,C0206698,PROCESS_OF,cell growth,Cholangiocarcinoma,celf,neop,1,PROCESS_OF_CELFprcfNEOP
C0007595,C0343079,PROCESS_OF,cell growth,"Milia, Multiple Eruptive",celf,neop,1,PROCESS_OF_CELFprcfNEOP
C0007595,C0678222,PROCESS_OF,cell growth,Breast Carcinoma,celf,neop,1,PROCESS_OF_CELFprcfNEOP
C0007595,C1335302,PROCESS_OF,cell growth,Pancreatic Ductal Adenocarcinoma,celf,neop,1,PROCESS_OF_CELFprcfNEOP
C0007595,C2239176,PROCESS_OF,cell growth,Liver carcinoma,celf,neop,1,PROCESS_OF_CELFprcfNEOP
C0007595,C3539878,PROCESS_OF,cell growth,Triple Negative Breast Neoplasms,celf,neop,1,PROCESS_OF_CELFprcfNEOP
C0007613,C0006826,PROCESS_OF,Cell physiology,Malignant Neoplasms,celf,neop,1,PROCESS_OF_CELFprcfNEOP
C0007613,C0029925,PROCESS_OF,Cell physiology,Ovarian Carcinoma,celf,neop,1,PROCESS_OF_CELFprcfNEOP
C0007613,C0178874,PROCESS_OF,Cell physiology,Tumor Progression,celf,neop,1,PROCESS_OF_CELFprcfNEOP
C0007620,C0006826,PROCESS_OF,Cell Survival,Malignant Neoplasms,celf,neop,1,PROCESS_OF_CELFprcfNEOP
C0007620,C0007131,PROCESS_OF,Cell Survival,Non-Small Cell Lung Carcinoma,celf,neop,1,PROCESS_OF_CELFprcfNEOP
C0007620,C0007621,PROCESS_OF,Cell Survival,Neoplastic Cell Transformation,celf,neop,1,PROCESS_OF_CELFprcfNEOP
C0007620,C0009402,PROCESS_OF,Cell Survival,Colorectal Carcinoma,celf,neop,2,PROCESS_OF_CELFprcfNEOP
C0007620,C0017638,PROCESS_OF,Cell Survival,Glioma,celf,neop,1,PROCESS_OF_CELFprcfNEOP
