cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0005591,C1633987,PROCESS_OF,Bird Diseases,Flock,dsyn,grup,1,PROCESS_OF_DSYNprcfGRUP
C0006277,C1633987,PROCESS_OF,Bronchitis,Flock,dsyn,grup,8,PROCESS_OF_DSYNprcfGRUP
C0006309,C1633987,PROCESS_OF,Brucellosis,Flock,dsyn,grup,1,PROCESS_OF_DSYNprcfGRUP
C0014335,C1633987,PROCESS_OF,Enteritis,Flock,dsyn,grup,5,PROCESS_OF_DSYNprcfGRUP
C0014836,C1633987,PROCESS_OF,Escherichia coli Infections,Flock,dsyn,grup,2,PROCESS_OF_DSYNprcfGRUP
C0016627,C1633987,PROCESS_OF,Influenza in Birds,Flock,dsyn,grup,9,PROCESS_OF_DSYNprcfGRUP
C0018099,C1633987,PROCESS_OF,Gout,Flock,dsyn,grup,2,PROCESS_OF_DSYNprcfGRUP
C0019158,C1633987,PROCESS_OF,Hepatitis,Flock,dsyn,grup,1,PROCESS_OF_DSYNprcfGRUP
C0021313,C1633987,PROCESS_OF,Infection of kidney,Flock,dsyn,grup,1,PROCESS_OF_DSYNprcfGRUP
C0021400,C1633987,PROCESS_OF,Influenza,Flock,dsyn,grup,2,PROCESS_OF_DSYNprcfGRUP
C0021831,C1633987,PROCESS_OF,Intestinal Diseases,Flock,dsyn,grup,1,PROCESS_OF_DSYNprcfGRUP
C0027697,C1633987,PROCESS_OF,Nephritis,Flock,dsyn,grup,3,PROCESS_OF_DSYNprcfGRUP
C0032285,C2699414,PROCESS_OF,Pneumonia,Committee,dsyn,grup,1,PROCESS_OF_DSYNprcfGRUP
C0032371,C2699414,PROCESS_OF,Poliomyelitis,Committee,dsyn,grup,1,PROCESS_OF_DSYNprcfGRUP
C0035204,C1633987,PROCESS_OF,Respiration Disorders,Flock,dsyn,grup,2,PROCESS_OF_DSYNprcfGRUP
C0035243,C1633987,PROCESS_OF,Respiratory Tract Infections,Flock,dsyn,grup,4,PROCESS_OF_DSYNprcfGRUP
C0041296,C2699414,PROCESS_OF,Tuberculosis,Committee,dsyn,grup,1,PROCESS_OF_DSYNprcfGRUP
C0042769,C1633987,PROCESS_OF,Virus Diseases,Flock,dsyn,grup,2,PROCESS_OF_DSYNprcfGRUP
C0043528,C2699414,PROCESS_OF,Zoonoses,Committee,dsyn,grup,1,PROCESS_OF_DSYNprcfGRUP
C0175701,C1633987,PROCESS_OF,Aarskog syndrome,Flock,dsyn,grup,21,PROCESS_OF_DSYNprcfGRUP
C0270724,C2699414,PROCESS_OF,Infantile Neuroaxonal Dystrophy,Committee,dsyn,grup,3,PROCESS_OF_DSYNprcfGRUP
C0275518,C1633987,PROCESS_OF,Acute infectious disease,Flock,dsyn,grup,1,PROCESS_OF_DSYNprcfGRUP
C0275524,C1633987,PROCESS_OF,Coinfection,Flock,dsyn,grup,6,PROCESS_OF_DSYNprcfGRUP
C0276472,C1633987,PROCESS_OF,Avian infectious bronchitis,Flock,dsyn,grup,2,PROCESS_OF_DSYNprcfGRUP
C0442886,C1633987,PROCESS_OF,Secondary Infections,Flock,dsyn,grup,1,PROCESS_OF_DSYNprcfGRUP
C0451641,C1633987,PROCESS_OF,Urolithiasis,Flock,dsyn,grup,1,PROCESS_OF_DSYNprcfGRUP
C1096155,C1633987,PROCESS_OF,Macrophage Activation Syndrome,Flock,dsyn,grup,2,PROCESS_OF_DSYNprcfGRUP
C1175175,C2699414,PROCESS_OF,Severe Acute Respiratory Syndrome,Committee,dsyn,grup,1,PROCESS_OF_DSYNprcfGRUP
C3687182,C1633987,PROCESS_OF,Proventriculitis,Flock,dsyn,grup,1,PROCESS_OF_DSYNprcfGRUP
