cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0010366,C2936506,PROCESS_OF,"Crossing Over, Genetic",Livestock,genf,anim,1,PROCESS_OF_GENFprcfANIM
C0020202,C1554184,PROCESS_OF,Crossbreeding,Dual,genf,anim,1,PROCESS_OF_GENFprcfANIM
C0026882,C0012656,PROCESS_OF,Mutation,Disease Vectors,genf,anim,1,PROCESS_OF_GENFprcfANIM
C0034865,C0012656,PROCESS_OF,"Recombination, Genetic",Disease Vectors,genf,anim,10,PROCESS_OF_GENFprcfANIM
C0034865,C0162318,PROCESS_OF,"Recombination, Genetic",Farm Animals,genf,anim,1,PROCESS_OF_GENFprcfANIM
C0040649,C0012656,PROCESS_OF,"Transcription, Genetic",Disease Vectors,genf,anim,1,PROCESS_OF_GENFprcfANIM
C0079870,C0012656,PROCESS_OF,"Mutagenesis, Site-Directed",Disease Vectors,genf,anim,1,PROCESS_OF_GENFprcfANIM
C0079870,C0683949,PROCESS_OF,"Mutagenesis, Site-Directed",animal study,genf,anim,1,PROCESS_OF_GENFprcfANIM
C0162735,C0012656,PROCESS_OF,Point Mutation,Disease Vectors,genf,anim,2,PROCESS_OF_GENFprcfANIM
C0525038,C1554184,PROCESS_OF,Amino Acid Substitution,Dual,genf,anim,1,PROCESS_OF_GENFprcfANIM
C0598496,C1554184,PROCESS_OF,Gene Silencing,Dual,genf,anim,1,PROCESS_OF_GENFprcfANIM
C0599773,C0012656,PROCESS_OF,Homologous Recombination,Disease Vectors,genf,anim,1,PROCESS_OF_GENFprcfANIM
C0887912,C0562691,PROCESS_OF,"Gene Transfer, Horizontal",Herbivory,genf,anim,1,PROCESS_OF_GENFprcfANIM
C1136031,C0012656,PROCESS_OF,RNA Interference,Disease Vectors,genf,anim,3,PROCESS_OF_GENFprcfANIM
C1136031,C0599779,PROCESS_OF,RNA Interference,Animal Model,genf,anim,1,PROCESS_OF_GENFprcfANIM
C1136031,C0920312,PROCESS_OF,RNA Interference,Chordata,genf,anim,2,PROCESS_OF_GENFprcfANIM
C1152412,C0599779,PROCESS_OF,RNA-directed RNA polymerase activity,Animal Model,genf,anim,1,PROCESS_OF_GENFprcfANIM
C1157894,C0003070,PROCESS_OF,DNA catabolic process,"Animals, Wild",genf,anim,1,PROCESS_OF_GENFprcfANIM
C1171362,C0012656,PROCESS_OF,protein expression,Disease Vectors,genf,anim,4,PROCESS_OF_GENFprcfANIM
C1515670,C0598744,PROCESS_OF,mRNA Expression,juvenile animal,genf,anim,1,PROCESS_OF_GENFprcfANIM
C1565556,C0012656,PROCESS_OF,Gene Flow,Disease Vectors,genf,anim,1,PROCESS_OF_GENFprcfANIM
