cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004936,C0034693,PROCESS_OF,Mental disorders,Rattus norvegicus,mobd,mamm,1,PROCESS_OF_MOBDprcfMAMM
C0006370,C0025921,PROCESS_OF,Bulimia,"Mice, Inbred C57BL",mobd,mamm,2,PROCESS_OF_MOBDprcfMAMM
C0007370,C0324547,PROCESS_OF,Catalepsy,New Zealand Rabbits,mobd,mamm,1,PROCESS_OF_MOBDprcfMAMM
C0008073,C0026809,PROCESS_OF,Developmental Disabilities,Mus,mobd,mamm,1,PROCESS_OF_MOBDprcfMAMM
C0008073,C0034693,PROCESS_OF,Developmental Disabilities,Rattus norvegicus,mobd,mamm,1,PROCESS_OF_MOBDprcfMAMM
C0009241,C0026809,PROCESS_OF,Cognition Disorders,Mus,mobd,mamm,1,PROCESS_OF_MOBDprcfMAMM
C0009241,C1520150,PROCESS_OF,Cognition Disorders,Wild Type Mouse,mobd,mamm,1,PROCESS_OF_MOBDprcfMAMM
C0009676,C1095823,PROCESS_OF,Confusion,Physeter catodon,mobd,mamm,1,PROCESS_OF_MOBDprcfMAMM
C0011581,C0007450,PROCESS_OF,Depressive disorder,Felis catus,mobd,mamm,3,PROCESS_OF_MOBDprcfMAMM
C0011581,C0007452,PROCESS_OF,Depressive disorder,Cattle,mobd,mamm,1,PROCESS_OF_MOBDprcfMAMM
C0011581,C0039005,PROCESS_OF,Depressive disorder,Family suidae,mobd,mamm,4,PROCESS_OF_MOBDprcfMAMM
C0026552,C0034693,PROCESS_OF,Morphine Dependence,Rattus norvegicus,mobd,mamm,1,PROCESS_OF_MOBDprcfMAMM
C0031873,C0034693,PROCESS_OF,Pica Disease,Rattus norvegicus,mobd,mamm,2,PROCESS_OF_MOBDprcfMAMM
C0031873,C1123019,PROCESS_OF,Pica Disease,Domestic Sheep,mobd,mamm,1,PROCESS_OF_MOBDprcfMAMM
C0033975,C0026809,PROCESS_OF,Psychotic Disorders,Mus,mobd,mamm,1,PROCESS_OF_MOBDprcfMAMM
C0038441,C0007896,PROCESS_OF,"Stress Disorders, Traumatic",Cetacea,mobd,mamm,1,PROCESS_OF_MOBDprcfMAMM
C0085281,C0026809,PROCESS_OF,Addictive Behavior,Mus,mobd,mamm,1,PROCESS_OF_MOBDprcfMAMM
C0086168,C0007450,PROCESS_OF,Dissociation,Felis catus,mobd,mamm,2,PROCESS_OF_MOBDprcfMAMM
C0086168,C0012984,PROCESS_OF,Dissociation,Canis familiaris,mobd,mamm,1,PROCESS_OF_MOBDprcfMAMM
C0086168,C0026809,PROCESS_OF,Dissociation,Mus,mobd,mamm,2,PROCESS_OF_MOBDprcfMAMM
C0233494,C0324889,PROCESS_OF,Tension,Old World rabbit,mobd,mamm,1,PROCESS_OF_MOBDprcfMAMM
C0233514,C0007450,PROCESS_OF,Abnormal behavior,Felis catus,mobd,mamm,1,PROCESS_OF_MOBDprcfMAMM
C0233514,C0008139,PROCESS_OF,Abnormal behavior,Chiroptera,mobd,mamm,3,PROCESS_OF_MOBDprcfMAMM
C0233514,C0015859,PROCESS_OF,Abnormal behavior,Ferrets,mobd,mamm,1,PROCESS_OF_MOBDprcfMAMM
C0233514,C0026809,PROCESS_OF,Abnormal behavior,Mus,mobd,mamm,7,PROCESS_OF_MOBDprcfMAMM
C0233514,C0034500,PROCESS_OF,Abnormal behavior,Raccoons,mobd,mamm,1,PROCESS_OF_MOBDprcfMAMM
C0233514,C0034693,PROCESS_OF,Abnormal behavior,Rattus norvegicus,mobd,mamm,1,PROCESS_OF_MOBDprcfMAMM
C0233514,C0324768,PROCESS_OF,Abnormal behavior,Family Pteropodidae,mobd,mamm,1,PROCESS_OF_MOBDprcfMAMM
C0233514,C0999464,PROCESS_OF,Abnormal behavior,Tupaia glis,mobd,mamm,1,PROCESS_OF_MOBDprcfMAMM
C0233514,C3687630,PROCESS_OF,Abnormal behavior,Adult horse,mobd,mamm,1,PROCESS_OF_MOBDprcfMAMM
C0233794,C0026809,PROCESS_OF,Memory impairment,Mus,mobd,mamm,1,PROCESS_OF_MOBDprcfMAMM
C0241845,C0007450,PROCESS_OF,combative,Felis catus,mobd,mamm,1,PROCESS_OF_MOBDprcfMAMM
C0278080,C0034693,PROCESS_OF,Physical addiction,Rattus norvegicus,mobd,mamm,1,PROCESS_OF_MOBDprcfMAMM
C0349231,C0026809,PROCESS_OF,Phobic anxiety disorder,Mus,mobd,mamm,1,PROCESS_OF_MOBDprcfMAMM
C0391976,C0019944,PROCESS_OF,Pain Disorder,Equus caballus,mobd,mamm,1,PROCESS_OF_MOBDprcfMAMM
C0395005,C0007450,PROCESS_OF,Psychogenic polydipsia,Felis catus,mobd,mamm,1,PROCESS_OF_MOBDprcfMAMM
C0395005,C0012984,PROCESS_OF,Psychogenic polydipsia,Canis familiaris,mobd,mamm,1,PROCESS_OF_MOBDprcfMAMM
C0424605,C0026809,PROCESS_OF,Developmental delay (disorder),Mus,mobd,mamm,1,PROCESS_OF_MOBDprcfMAMM
C0497327,C0007450,PROCESS_OF,Dementia,Felis catus,mobd,mamm,1,PROCESS_OF_MOBDprcfMAMM
C0588006,C0325005,PROCESS_OF,Mild depression,Coyotes,mobd,mamm,1,PROCESS_OF_MOBDprcfMAMM
C0599909,C0007450,PROCESS_OF,stress related disorder,Felis catus,mobd,mamm,1,PROCESS_OF_MOBDprcfMAMM
C0850602,C0007452,PROCESS_OF,Chronic stress disorder,Cattle,mobd,mamm,1,PROCESS_OF_MOBDprcfMAMM
C0850602,C0325156,PROCESS_OF,Chronic stress disorder,Loxodonta africana,mobd,mamm,1,PROCESS_OF_MOBDprcfMAMM
C0858952,C0026179,PROCESS_OF,silence,Mink,mobd,mamm,2,PROCESS_OF_MOBDprcfMAMM
C0858952,C0026809,PROCESS_OF,silence,Mus,mobd,mamm,3,PROCESS_OF_MOBDprcfMAMM
C0858952,C0524753,PROCESS_OF,silence,Monodon,mobd,mamm,1,PROCESS_OF_MOBDprcfMAMM
C0871388,C0024400,PROCESS_OF,social stress,Macaca mulatta,mobd,mamm,1,PROCESS_OF_MOBDprcfMAMM
C0871388,C0041390,PROCESS_OF,social stress,Tupaiidae,mobd,mamm,1,PROCESS_OF_MOBDprcfMAMM
C0935572,C0015859,PROCESS_OF,Stalking (behavior),Ferrets,mobd,mamm,1,PROCESS_OF_MOBDprcfMAMM
C0935572,C0026809,PROCESS_OF,Stalking (behavior),Mus,mobd,mamm,1,PROCESS_OF_MOBDprcfMAMM
C0948853,C0026809,PROCESS_OF,euthymia,Mus,mobd,mamm,1,PROCESS_OF_MOBDprcfMAMM
C3668948,C0034704,PROCESS_OF,Circling behavior,"Rats, Inbred Lew",mobd,mamm,1,PROCESS_OF_MOBDprcfMAMM
