cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001418,C2986594,PROCESS_OF,Adenocarcinoma,Mouse Model,neop,emod,1,PROCESS_OF_NEOPprcfEMOD
C0004565,C2986594,PROCESS_OF,"Melanoma, B16",Mouse Model,neop,emod,6,PROCESS_OF_NEOPprcfEMOD
C0006826,C1519606,PROCESS_OF,Malignant Neoplasms,Transgenic Model,neop,emod,1,PROCESS_OF_NEOPprcfEMOD
C0006826,C2986594,PROCESS_OF,Malignant Neoplasms,Mouse Model,neop,emod,4,PROCESS_OF_NEOPprcfEMOD
C0007102,C3898998,PROCESS_OF,Malignant tumor of colon,HCT-116,neop,emod,2,PROCESS_OF_NEOPprcfEMOD
C0007134,C2986594,PROCESS_OF,Renal Cell Carcinoma,Mouse Model,neop,emod,1,PROCESS_OF_NEOPprcfEMOD
C0007621,C2986594,PROCESS_OF,Neoplastic Cell Transformation,Mouse Model,neop,emod,1,PROCESS_OF_NEOPprcfEMOD
C0009402,C2986594,PROCESS_OF,Colorectal Carcinoma,Mouse Model,neop,emod,1,PROCESS_OF_NEOPprcfEMOD
C0016057,C2986594,PROCESS_OF,Fibrosarcoma,Mouse Model,neop,emod,1,PROCESS_OF_NEOPprcfEMOD
C0017636,C0012644,PROCESS_OF,Glioblastoma,Animal Disease Models,neop,emod,1,PROCESS_OF_NEOPprcfEMOD
C0017636,C2986594,PROCESS_OF,Glioblastoma,Mouse Model,neop,emod,1,PROCESS_OF_NEOPprcfEMOD
C0017638,C0012644,PROCESS_OF,Glioma,Animal Disease Models,neop,emod,1,PROCESS_OF_NEOPprcfEMOD
C0017638,C2986594,PROCESS_OF,Glioma,Mouse Model,neop,emod,2,PROCESS_OF_NEOPprcfEMOD
C0023470,C2986594,PROCESS_OF,Myeloid Leukemia,Mouse Model,neop,emod,1,PROCESS_OF_NEOPprcfEMOD
C0024121,C2986594,PROCESS_OF,Lung Neoplasms,Mouse Model,neop,emod,1,PROCESS_OF_NEOPprcfEMOD
C0024667,C2986594,PROCESS_OF,Animal Mammary Neoplasms,Mouse Model,neop,emod,1,PROCESS_OF_NEOPprcfEMOD
C0025202,C1520166,PROCESS_OF,melanoma,Xenograft Model,neop,emod,1,PROCESS_OF_NEOPprcfEMOD
C0025202,C2986594,PROCESS_OF,melanoma,Mouse Model,neop,emod,8,PROCESS_OF_NEOPprcfEMOD
C0025202,C3897041,PROCESS_OF,melanoma,M14,neop,emod,1,PROCESS_OF_NEOPprcfEMOD
C0027627,C0887898,PROCESS_OF,Neoplasm Metastasis,Experimental Lung Inflammation,neop,emod,1,PROCESS_OF_NEOPprcfEMOD
C0027651,C1511291,PROCESS_OF,Neoplasms,Breast Cancer Model,neop,emod,2,PROCESS_OF_NEOPprcfEMOD
C0027651,C1516211,PROCESS_OF,Neoplasms,Cancer Model,neop,emod,1,PROCESS_OF_NEOPprcfEMOD
C0027651,C1519606,PROCESS_OF,Neoplasms,Transgenic Model,neop,emod,1,PROCESS_OF_NEOPprcfEMOD
C0027651,C1520166,PROCESS_OF,Neoplasms,Xenograft Model,neop,emod,5,PROCESS_OF_NEOPprcfEMOD
C0027651,C2986594,PROCESS_OF,Neoplasms,Mouse Model,neop,emod,25,PROCESS_OF_NEOPprcfEMOD
C0032463,C2986594,PROCESS_OF,Polycythemia Vera,Mouse Model,neop,emod,1,PROCESS_OF_NEOPprcfEMOD
C0153676,C2986594,PROCESS_OF,Secondary malignant neoplasm of lung,Mouse Model,neop,emod,1,PROCESS_OF_NEOPprcfEMOD
C0153690,C2986594,PROCESS_OF,Secondary malignant neoplasm of bone,Mouse Model,neop,emod,2,PROCESS_OF_NEOPprcfEMOD
C0242379,C0012644,PROCESS_OF,Malignant neoplasm of lung,Animal Disease Models,neop,emod,2,PROCESS_OF_NEOPprcfEMOD
C0242379,C2986594,PROCESS_OF,Malignant neoplasm of lung,Mouse Model,neop,emod,4,PROCESS_OF_NEOPprcfEMOD
C0280100,C1520166,PROCESS_OF,Solid Neoplasm,Xenograft Model,neop,emod,1,PROCESS_OF_NEOPprcfEMOD
C0334044,C1522222,PROCESS_OF,Dysplasia,Genetically Engineered Mouse,neop,emod,1,PROCESS_OF_NEOPprcfEMOD
C0376358,C1520166,PROCESS_OF,Malignant neoplasm of prostate,Xenograft Model,neop,emod,1,PROCESS_OF_NEOPprcfEMOD
C0376358,C2986594,PROCESS_OF,Malignant neoplasm of prostate,Mouse Model,neop,emod,2,PROCESS_OF_NEOPprcfEMOD
C0431109,C2986594,PROCESS_OF,Choroid Plexus Carcinoma,Mouse Model,neop,emod,1,PROCESS_OF_NEOPprcfEMOD
C0596263,C1519606,PROCESS_OF,Carcinogenesis,Transgenic Model,neop,emod,1,PROCESS_OF_NEOPprcfEMOD
C0596263,C2986594,PROCESS_OF,Carcinogenesis,Mouse Model,neop,emod,1,PROCESS_OF_NEOPprcfEMOD
C0598934,C1516211,PROCESS_OF,tumor growth,Cancer Model,neop,emod,1,PROCESS_OF_NEOPprcfEMOD
C0598934,C1520166,PROCESS_OF,tumor growth,Xenograft Model,neop,emod,5,PROCESS_OF_NEOPprcfEMOD
C0598934,C2986594,PROCESS_OF,tumor growth,Mouse Model,neop,emod,14,PROCESS_OF_NEOPprcfEMOD
C0599725,C2986594,PROCESS_OF,colon growth,Mouse Model,neop,emod,1,PROCESS_OF_NEOPprcfEMOD
C0677932,C2986594,PROCESS_OF,Progressive Neoplastic Disease,Mouse Model,neop,emod,1,PROCESS_OF_NEOPprcfEMOD
C0699790,C2986594,PROCESS_OF,Colon Carcinoma,Mouse Model,neop,emod,1,PROCESS_OF_NEOPprcfEMOD
C0699790,C3898998,PROCESS_OF,Colon Carcinoma,HCT-116,neop,emod,1,PROCESS_OF_NEOPprcfEMOD
C0740457,C3900171,PROCESS_OF,Malignant neoplasm of kidney,A498,neop,emod,1,PROCESS_OF_NEOPprcfEMOD
C0920616,C1520166,PROCESS_OF,neoplasm regression,Xenograft Model,neop,emod,1,PROCESS_OF_NEOPprcfEMOD
C0920618,C2986594,PROCESS_OF,neoplasm remission,Mouse Model,neop,emod,1,PROCESS_OF_NEOPprcfEMOD
C1333782,C2986594,PROCESS_OF,Gastric Mucosa-Associated Lymphoid Tissue Lymphoma,Mouse Model,neop,emod,1,PROCESS_OF_NEOPprcfEMOD
C1458155,C2986594,PROCESS_OF,Mammary Neoplasms,Mouse Model,neop,emod,1,PROCESS_OF_NEOPprcfEMOD
