cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0006826,C0998170,PROCESS_OF,Malignant Neoplasms,Mya,neop,euka,1,PROCESS_OF_NEOPprcfEUKA
C0006826,C3741593,PROCESS_OF,Malignant Neoplasms,Obama,neop,euka,1,PROCESS_OF_NEOPprcfEUKA
C0027627,C0030498,PROCESS_OF,Neoplasm Metastasis,Parasites,neop,euka,1,PROCESS_OF_NEOPprcfEUKA
C0027651,C0162610,PROCESS_OF,Neoplasms,Caenorhabditis elegans,neop,euka,1,PROCESS_OF_NEOPprcfEUKA
C0027651,C0542270,PROCESS_OF,Neoplasms,Class Bivalvia,neop,euka,1,PROCESS_OF_NEOPprcfEUKA
C0032580,C0013139,PROCESS_OF,Adenomatous Polyposis Coli,Drosophila melanogaster,neop,euka,2,PROCESS_OF_NEOPprcfEUKA
C0032580,C0162610,PROCESS_OF,Adenomatous Polyposis Coli,Caenorhabditis elegans,neop,euka,1,PROCESS_OF_NEOPprcfEUKA
C0206656,C0021585,PROCESS_OF,Embryonal Rhabdomyosarcoma,Insecta,neop,euka,2,PROCESS_OF_NEOPprcfEUKA
C0206656,C0027581,PROCESS_OF,Embryonal Rhabdomyosarcoma,Phylum Nematoda,neop,euka,1,PROCESS_OF_NEOPprcfEUKA
C1292780,C1017315,PROCESS_OF,Therapy-related myelodysplastic syndrome,Helice,neop,euka,1,PROCESS_OF_NEOPprcfEUKA
C1842010,C1645259,PROCESS_OF,"Glioma of Brain, Familial",Subfamily Streblinae,neop,euka,1,PROCESS_OF_NEOPprcfEUKA
