cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0232338,C0003842,PROCESS_OF,Blood flow,Arteries,orgf,bpoc,1,PROCESS_OF_ORGFprcfBPOC
C0232338,C0005847,PROCESS_OF,Blood flow,Blood Vessel,orgf,bpoc,1,PROCESS_OF_ORGFprcfBPOC
C0232338,C0006104,PROCESS_OF,Blood flow,Brain,orgf,bpoc,1,PROCESS_OF_ORGFprcfBPOC
C0232338,C0015813,PROCESS_OF,Blood flow,Head of femur,orgf,bpoc,1,PROCESS_OF_ORGFprcfBPOC
C0232338,C0018787,PROCESS_OF,Blood flow,Heart,orgf,bpoc,1,PROCESS_OF_ORGFprcfBPOC
C0232338,C0022378,PROCESS_OF,Blood flow,Jejunum,orgf,bpoc,1,PROCESS_OF_ORGFprcfBPOC
C0232338,C0022646,PROCESS_OF,Blood flow,Kidney,orgf,bpoc,1,PROCESS_OF_ORGFprcfBPOC
C0232338,C0023884,PROCESS_OF,Blood flow,Liver,orgf,bpoc,2,PROCESS_OF_ORGFprcfBPOC
C0232338,C0024109,PROCESS_OF,Blood flow,Lung,orgf,bpoc,12,PROCESS_OF_ORGFprcfBPOC
C0232338,C0026639,PROCESS_OF,Blood flow,Oral mucous membrane structure,orgf,bpoc,1,PROCESS_OF_ORGFprcfBPOC
C0232338,C0037993,PROCESS_OF,Blood flow,Spleen,orgf,bpoc,1,PROCESS_OF_ORGFprcfBPOC
C0232338,C0178784,PROCESS_OF,Blood flow,Organ,orgf,bpoc,2,PROCESS_OF_ORGFprcfBPOC
C0232338,C0459962,PROCESS_OF,Blood flow,Systemic vascular structure,orgf,bpoc,1,PROCESS_OF_ORGFprcfBPOC
C0232338,C1508661,PROCESS_OF,Blood flow,Pulmonary vessels,orgf,bpoc,1,PROCESS_OF_ORGFprcfBPOC
C0678209,C0015731,PROCESS_OF,Adaptive Immunity,Feathers,orgf,bpoc,2,PROCESS_OF_ORGFprcfBPOC
C0678209,C0021853,PROCESS_OF,Adaptive Immunity,Intestines,orgf,bpoc,1,PROCESS_OF_ORGFprcfBPOC
C0678209,C0023884,PROCESS_OF,Adaptive Immunity,Liver,orgf,bpoc,3,PROCESS_OF_ORGFprcfBPOC
C0678209,C0024109,PROCESS_OF,Adaptive Immunity,Lung,orgf,bpoc,1,PROCESS_OF_ORGFprcfBPOC
C0678209,C0024204,PROCESS_OF,Adaptive Immunity,lymph nodes,orgf,bpoc,1,PROCESS_OF_ORGFprcfBPOC
C0678209,C0040578,PROCESS_OF,Adaptive Immunity,Trachea,orgf,bpoc,1,PROCESS_OF_ORGFprcfBPOC
C0678209,C0178784,PROCESS_OF,Adaptive Immunity,Organ,orgf,bpoc,1,PROCESS_OF_ORGFprcfBPOC
C0678209,C0736268,PROCESS_OF,Adaptive Immunity,Liver parenchyma,orgf,bpoc,1,PROCESS_OF_ORGFprcfBPOC
C1154988,C0037993,PROCESS_OF,defense response,Spleen,orgf,bpoc,1,PROCESS_OF_ORGFprcfBPOC
