cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001117,C0019944,PROCESS_OF,Acid-Base Equilibrium,Equus caballus,ortf,mamm,1,PROCESS_OF_ORTFprcfMAMM
C0004048,C0012984,PROCESS_OF,Inspiration function,Canis familiaris,ortf,mamm,1,PROCESS_OF_ORTFprcfMAMM
C0004048,C0019944,PROCESS_OF,Inspiration function,Equus caballus,ortf,mamm,1,PROCESS_OF_ORTFprcfMAMM
C0004048,C0025914,PROCESS_OF,Inspiration function,House mice,ortf,mamm,3,PROCESS_OF_ORTFprcfMAMM
C0004048,C0025919,PROCESS_OF,Inspiration function,"Mice, Inbred BALB C",ortf,mamm,1,PROCESS_OF_ORTFprcfMAMM
C0004048,C0026809,PROCESS_OF,Inspiration function,Mus,ortf,mamm,11,PROCESS_OF_ORTFprcfMAMM
C0004048,C0034693,PROCESS_OF,Inspiration function,Rattus norvegicus,ortf,mamm,6,PROCESS_OF_ORTFprcfMAMM
C0004048,C0324889,PROCESS_OF,Inspiration function,Old World rabbit,ortf,mamm,1,PROCESS_OF_ORTFprcfMAMM
C0004048,C2698297,PROCESS_OF,Inspiration function,B6C3 Mouse,ortf,mamm,1,PROCESS_OF_ORTFprcfMAMM
C0005778,C0012984,PROCESS_OF,Blood coagulation,Canis familiaris,ortf,mamm,1,PROCESS_OF_ORTFprcfMAMM
C0005778,C0034693,PROCESS_OF,Blood coagulation,Rattus norvegicus,ortf,mamm,1,PROCESS_OF_ORTFprcfMAMM
C0005972,C0324889,PROCESS_OF,Bone Regeneration,Old World rabbit,ortf,mamm,1,PROCESS_OF_ORTFprcfMAMM
C0006660,C0006764,PROCESS_OF,Physiologic calcification,Callithrix,ortf,mamm,2,PROCESS_OF_ORTFprcfMAMM
C0006660,C0012984,PROCESS_OF,Physiologic calcification,Canis familiaris,ortf,mamm,3,PROCESS_OF_ORTFprcfMAMM
C0006660,C0015859,PROCESS_OF,Physiologic calcification,Ferrets,ortf,mamm,1,PROCESS_OF_ORTFprcfMAMM
C0006660,C0018019,PROCESS_OF,Physiologic calcification,Capra hircus,ortf,mamm,2,PROCESS_OF_ORTFprcfMAMM
C0006660,C0026809,PROCESS_OF,Physiologic calcification,Mus,ortf,mamm,1,PROCESS_OF_ORTFprcfMAMM
C0006660,C0034693,PROCESS_OF,Physiologic calcification,Rattus norvegicus,ortf,mamm,1,PROCESS_OF_ORTFprcfMAMM
C0006660,C0035804,PROCESS_OF,Physiologic calcification,Rodent,ortf,mamm,1,PROCESS_OF_ORTFprcfMAMM
C0006660,C0036945,PROCESS_OF,Physiologic calcification,Sheep,ortf,mamm,1,PROCESS_OF_ORTFprcfMAMM
C0006660,C0325089,PROCESS_OF,Physiologic calcification,Family Felidae,ortf,mamm,1,PROCESS_OF_ORTFprcfMAMM
C0006660,C0325115,PROCESS_OF,Physiologic calcification,Tigers,ortf,mamm,1,PROCESS_OF_ORTFprcfMAMM
C0006660,C1513684,PROCESS_OF,Physiologic calcification,Mouse Strains,ortf,mamm,1,PROCESS_OF_ORTFprcfMAMM
C0007227,C0012984,PROCESS_OF,Cardiovascular Physiological Phenomena,Canis familiaris,ortf,mamm,1,PROCESS_OF_ORTFprcfMAMM
C0011382,C0008139,PROCESS_OF,Dental Occlusion,Chiroptera,ortf,mamm,15,PROCESS_OF_ORTFprcfMAMM
C0011382,C0012984,PROCESS_OF,Dental Occlusion,Canis familiaris,ortf,mamm,2,PROCESS_OF_ORTFprcfMAMM
C0011382,C0025914,PROCESS_OF,Dental Occlusion,House mice,ortf,mamm,1,PROCESS_OF_ORTFprcfMAMM
C0011382,C0033147,PROCESS_OF,Dental Occlusion,Primates,ortf,mamm,1,PROCESS_OF_ORTFprcfMAMM
C0011382,C0035804,PROCESS_OF,Dental Occlusion,Rodent,ortf,mamm,1,PROCESS_OF_ORTFprcfMAMM
C0011382,C0324765,PROCESS_OF,Dental Occlusion,Desmodus rotundus,ortf,mamm,1,PROCESS_OF_ORTFprcfMAMM
C0011382,C1512658,PROCESS_OF,Dental Occlusion,Immunodeficient Mouse,ortf,mamm,1,PROCESS_OF_ORTFprcfMAMM
C0012797,C0019944,PROCESS_OF,Diuresis,Equus caballus,ortf,mamm,1,PROCESS_OF_ORTFprcfMAMM
C0013936,C0025914,PROCESS_OF,Embryonic Development,House mice,ortf,mamm,5,PROCESS_OF_ORTFprcfMAMM
C0013936,C0026809,PROCESS_OF,Embryonic Development,Mus,ortf,mamm,5,PROCESS_OF_ORTFprcfMAMM
C0013936,C0039005,PROCESS_OF,Embryonic Development,Family suidae,ortf,mamm,1,PROCESS_OF_ORTFprcfMAMM
C0014362,C0034693,PROCESS_OF,Enterohepatic Circulation,Rattus norvegicus,ortf,mamm,1,PROCESS_OF_ORTFprcfMAMM
C0015215,C0007450,PROCESS_OF,Auditory Evoked Potentials,Felis catus,ortf,mamm,1,PROCESS_OF_ORTFprcfMAMM
C0017127,C0007450,PROCESS_OF,Gastric Emptying,Felis catus,ortf,mamm,1,PROCESS_OF_ORTFprcfMAMM
