cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000833,C0007452,PROCESS_OF,Abscess,Cattle,patf,mamm,1,PROCESS_OF_PATFprcfMAMM
C0000833,C0008139,PROCESS_OF,Abscess,Chiroptera,patf,mamm,1,PROCESS_OF_PATFprcfMAMM
C0000833,C0017462,PROCESS_OF,Abscess,Gerbils,patf,mamm,1,PROCESS_OF_PATFprcfMAMM
C0000833,C0018019,PROCESS_OF,Abscess,Capra hircus,patf,mamm,1,PROCESS_OF_PATFprcfMAMM
C0000833,C0175925,PROCESS_OF,Abscess,Cattle for milk production,patf,mamm,1,PROCESS_OF_PATFprcfMAMM
C0000833,C1135183,PROCESS_OF,Abscess,Sus scrofa,patf,mamm,1,PROCESS_OF_PATFprcfMAMM
C0001122,C0019944,PROCESS_OF,Acidosis,Equus caballus,patf,mamm,1,PROCESS_OF_PATFprcfMAMM
C0001349,C0007450,PROCESS_OF,Acute-Phase Reaction,Felis catus,patf,mamm,2,PROCESS_OF_PATFprcfMAMM
C0001349,C0012984,PROCESS_OF,Acute-Phase Reaction,Canis familiaris,patf,mamm,1,PROCESS_OF_PATFprcfMAMM
C0001349,C0599885,PROCESS_OF,Acute-Phase Reaction,marine Mammalia,patf,mamm,1,PROCESS_OF_PATFprcfMAMM
C0002170,C0007450,PROCESS_OF,Alopecia,Felis catus,patf,mamm,1,PROCESS_OF_PATFprcfMAMM
C0002170,C0025936,PROCESS_OF,Alopecia,"Mice, Transgenic",patf,mamm,3,PROCESS_OF_PATFprcfMAMM
C0002170,C0026809,PROCESS_OF,Alopecia,Mus,patf,mamm,4,PROCESS_OF_PATFprcfMAMM
C0002170,C0324183,PROCESS_OF,Alopecia,Quarter horse,patf,mamm,1,PROCESS_OF_PATFprcfMAMM
C0002170,C0325111,PROCESS_OF,Alopecia,Puma yagouaroundi,patf,mamm,1,PROCESS_OF_PATFprcfMAMM
C0002792,C0007450,PROCESS_OF,anaphylaxis,Felis catus,patf,mamm,1,PROCESS_OF_PATFprcfMAMM
C0002792,C0025914,PROCESS_OF,anaphylaxis,House mice,patf,mamm,1,PROCESS_OF_PATFprcfMAMM
C0002792,C0026809,PROCESS_OF,anaphylaxis,Mus,patf,mamm,1,PROCESS_OF_PATFprcfMAMM
C0002792,C3669731,PROCESS_OF,anaphylaxis,Horse under one year old,patf,mamm,1,PROCESS_OF_PATFprcfMAMM
C0003130,C0026809,PROCESS_OF,Anoxia,Mus,patf,mamm,1,PROCESS_OF_PATFprcfMAMM
C0003130,C0085979,PROCESS_OF,Anoxia,Cavia,patf,mamm,1,PROCESS_OF_PATFprcfMAMM
C0003811,C0012984,PROCESS_OF,Cardiac Arrhythmia,Canis familiaris,patf,mamm,1,PROCESS_OF_PATFprcfMAMM
C0003860,C0012984,PROCESS_OF,Arteritis,Canis familiaris,patf,mamm,2,PROCESS_OF_PATFprcfMAMM
C0003860,C0019944,PROCESS_OF,Arteritis,Equus caballus,patf,mamm,1,PROCESS_OF_PATFprcfMAMM
C0003860,C0025914,PROCESS_OF,Arteritis,House mice,patf,mamm,1,PROCESS_OF_PATFprcfMAMM
C0003860,C0026809,PROCESS_OF,Arteritis,Mus,patf,mamm,1,PROCESS_OF_PATFprcfMAMM
C0004144,C0006764,PROCESS_OF,Atelectasis,Callithrix,patf,mamm,4,PROCESS_OF_PATFprcfMAMM
C0004238,C0007450,PROCESS_OF,Atrial Fibrillation,Felis catus,patf,mamm,7,PROCESS_OF_PATFprcfMAMM
C0004238,C0012984,PROCESS_OF,Atrial Fibrillation,Canis familiaris,patf,mamm,10,PROCESS_OF_PATFprcfMAMM
C0004238,C0019944,PROCESS_OF,Atrial Fibrillation,Equus caballus,patf,mamm,7,PROCESS_OF_PATFprcfMAMM
C0004238,C0324382,PROCESS_OF,Atrial Fibrillation,Irish wolfhound,patf,mamm,6,PROCESS_OF_PATFprcfMAMM
C0004239,C0019944,PROCESS_OF,Atrial Flutter,Equus caballus,patf,mamm,1,PROCESS_OF_PATFprcfMAMM
C0005417,C0004897,PROCESS_OF,Biliary Fistula,Ursidae Family,patf,mamm,1,PROCESS_OF_PATFprcfMAMM
C0006114,C0034693,PROCESS_OF,Cerebral Edema,Rattus norvegicus,patf,mamm,1,PROCESS_OF_PATFprcfMAMM
C0006119,C0025914,PROCESS_OF,Brain Pathology,House mice,patf,mamm,1,PROCESS_OF_PATFprcfMAMM
C0006119,C0026809,PROCESS_OF,Brain Pathology,Mus,patf,mamm,3,PROCESS_OF_PATFprcfMAMM
C0006119,C1512658,PROCESS_OF,Brain Pathology,Immunodeficient Mouse,patf,mamm,1,PROCESS_OF_PATFprcfMAMM
C0007820,C0007450,PROCESS_OF,Cerebrovascular Disorders,Felis catus,patf,mamm,1,PROCESS_OF_PATFprcfMAMM
C0007820,C0012984,PROCESS_OF,Cerebrovascular Disorders,Canis familiaris,patf,mamm,1,PROCESS_OF_PATFprcfMAMM
C0009814,C0007450,PROCESS_OF,Acquired stenosis,Felis catus,patf,mamm,3,PROCESS_OF_PATFprcfMAMM
C0010828,C0012984,PROCESS_OF,Cytopenia,Canis familiaris,patf,mamm,2,PROCESS_OF_PATFprcfMAMM
C0011164,C0034693,PROCESS_OF,Abnormal degeneration,Rattus norvegicus,patf,mamm,1,PROCESS_OF_PATFprcfMAMM
C0011164,C0034703,PROCESS_OF,Abnormal degeneration,"Rats, Inbred F344",patf,mamm,1,PROCESS_OF_PATFprcfMAMM
C0011164,C0035804,PROCESS_OF,Abnormal degeneration,Rodent,patf,mamm,1,PROCESS_OF_PATFprcfMAMM
C0011164,C0325089,PROCESS_OF,Abnormal degeneration,Family Felidae,patf,mamm,1,PROCESS_OF_PATFprcfMAMM
C0011304,C0012984,PROCESS_OF,Demyelination,Canis familiaris,patf,mamm,1,PROCESS_OF_PATFprcfMAMM
C0011304,C0025914,PROCESS_OF,Demyelination,House mice,patf,mamm,1,PROCESS_OF_PATFprcfMAMM
C0011304,C0025919,PROCESS_OF,Demyelination,"Mice, Inbred BALB C",patf,mamm,2,PROCESS_OF_PATFprcfMAMM
C0011304,C0025932,PROCESS_OF,Demyelination,"Mice, Nude",patf,mamm,1,PROCESS_OF_PATFprcfMAMM
C0011304,C0025936,PROCESS_OF,Demyelination,"Mice, Transgenic",patf,mamm,2,PROCESS_OF_PATFprcfMAMM
C0011304,C0026809,PROCESS_OF,Demyelination,Mus,patf,mamm,69,PROCESS_OF_PATFprcfMAMM
C0011304,C0033147,PROCESS_OF,Demyelination,Primates,patf,mamm,1,PROCESS_OF_PATFprcfMAMM
C0011304,C0034693,PROCESS_OF,Demyelination,Rattus norvegicus,patf,mamm,2,PROCESS_OF_PATFprcfMAMM
C0011304,C0085979,PROCESS_OF,Demyelination,Cavia,patf,mamm,1,PROCESS_OF_PATFprcfMAMM
C0011304,C0206745,PROCESS_OF,Demyelination,"Mice, Knockout",patf,mamm,1,PROCESS_OF_PATFprcfMAMM
C0011304,C1514714,PROCESS_OF,Demyelination,Rag1 Mouse,patf,mamm,1,PROCESS_OF_PATFprcfMAMM
C0011304,C1520150,PROCESS_OF,Demyelination,Wild Type Mouse,patf,mamm,1,PROCESS_OF_PATFprcfMAMM
C0011304,C1521751,PROCESS_OF,Demyelination,C57BL/6 Mouse,patf,mamm,1,PROCESS_OF_PATFprcfMAMM
C0011304,C3669723,PROCESS_OF,Demyelination,Female cattle prior to birth of first calf,patf,mamm,1,PROCESS_OF_PATFprcfMAMM
C0011560,C0026809,PROCESS_OF,Amyloid deposition,Mus,patf,mamm,1,PROCESS_OF_PATFprcfMAMM
