cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0005775,C0041401,PROCESS_OF,Blood Circulation,Meleagridinae,phsf,bird,1,PROCESS_OF_PHSFprcfBIRD
C0018767,C0005595,PROCESS_OF,Hearing,Aves,phsf,bird,1,PROCESS_OF_PHSFprcfBIRD
C0020964,C0005595,PROCESS_OF,Immunity,Aves,phsf,bird,8,PROCESS_OF_PHSFprcfBIRD
C0020964,C0008051,PROCESS_OF,Immunity,Chickens,phsf,bird,13,PROCESS_OF_PHSFprcfBIRD
C0020964,C0032850,PROCESS_OF,Immunity,"Fowls, Domestic",phsf,bird,4,PROCESS_OF_PHSFprcfBIRD
C0020964,C3669677,PROCESS_OF,Immunity,Young chicken,phsf,bird,1,PROCESS_OF_PHSFprcfBIRD
C0020964,C3669679,PROCESS_OF,Immunity,Chicken for meat production,phsf,bird,1,PROCESS_OF_PHSFprcfBIRD
C0035203,C0005595,PROCESS_OF,Respiration,Aves,phsf,bird,1,PROCESS_OF_PHSFprcfBIRD
C0035203,C0008051,PROCESS_OF,Respiration,Chickens,phsf,bird,1,PROCESS_OF_PHSFprcfBIRD
C0149784,C0032850,PROCESS_OF,biological adaptation to stress,"Fowls, Domestic",phsf,bird,1,PROCESS_OF_PHSFprcfBIRD
C0221102,C0013268,PROCESS_OF,Excretory function,Ducks,phsf,bird,1,PROCESS_OF_PHSFprcfBIRD
C0221102,C0325503,PROCESS_OF,Excretory function,Anas penelope,phsf,bird,1,PROCESS_OF_PHSFprcfBIRD
C0221102,C1260943,PROCESS_OF,Excretory function,Anas platyrhynchos,phsf,bird,1,PROCESS_OF_PHSFprcfBIRD
C0221102,C1265553,PROCESS_OF,Excretory function,Aythya,phsf,bird,1,PROCESS_OF_PHSFprcfBIRD
C0242732,C0005595,PROCESS_OF,Tropism,Aves,phsf,bird,5,PROCESS_OF_PHSFprcfBIRD
C0242732,C0008051,PROCESS_OF,Tropism,Chickens,phsf,bird,4,PROCESS_OF_PHSFprcfBIRD
C0242732,C0013268,PROCESS_OF,Tropism,Ducks,phsf,bird,4,PROCESS_OF_PHSFprcfBIRD
C0242732,C0032850,PROCESS_OF,Tropism,"Fowls, Domestic",phsf,bird,1,PROCESS_OF_PHSFprcfBIRD
C0242732,C0325589,PROCESS_OF,Tropism,Galliformes,phsf,bird,1,PROCESS_OF_PHSFprcfBIRD
C0242732,C3669677,PROCESS_OF,Tropism,Young chicken,phsf,bird,1,PROCESS_OF_PHSFprcfBIRD
C0870935,C1201272,PROCESS_OF,Napping,Monarcha axillaris,phsf,bird,1,PROCESS_OF_PHSFprcfBIRD
C1328821,C0005595,PROCESS_OF,tissue tropism,Aves,phsf,bird,1,PROCESS_OF_PHSFprcfBIRD
C1328821,C0008051,PROCESS_OF,tissue tropism,Chickens,phsf,bird,7,PROCESS_OF_PHSFprcfBIRD
C1328821,C0013268,PROCESS_OF,tissue tropism,Ducks,phsf,bird,1,PROCESS_OF_PHSFprcfBIRD
C1328821,C0325609,PROCESS_OF,tissue tropism,Family Numididae,phsf,bird,1,PROCESS_OF_PHSFprcfBIRD
C1328821,C1260943,PROCESS_OF,tissue tropism,Anas platyrhynchos,phsf,bird,1,PROCESS_OF_PHSFprcfBIRD
C1514892,C0005595,PROCESS_OF,Resistance Process,Aves,phsf,bird,20,PROCESS_OF_PHSFprcfBIRD
C1514892,C0008051,PROCESS_OF,Resistance Process,Chickens,phsf,bird,5,PROCESS_OF_PHSFprcfBIRD
C1514892,C0013268,PROCESS_OF,Resistance Process,Ducks,phsf,bird,3,PROCESS_OF_PHSFprcfBIRD
C1514892,C0032850,PROCESS_OF,Resistance Process,"Fowls, Domestic",phsf,bird,1,PROCESS_OF_PHSFprcfBIRD
C1514892,C0324556,PROCESS_OF,Resistance Process,Domestic avian species,phsf,bird,1,PROCESS_OF_PHSFprcfBIRD
C2717994,C0005595,PROCESS_OF,Bacterial Shedding,Aves,phsf,bird,1,PROCESS_OF_PHSFprcfBIRD
