cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0005775,C0001675,PROCESS_OF,Blood Circulation,Adult,phsf,humn,2,PROCESS_OF_PHSFprcfHUMN
C0005775,C0008059,PROCESS_OF,Blood Circulation,Child,phsf,humn,1,PROCESS_OF_PHSFprcfHUMN
C0005775,C0086418,PROCESS_OF,Blood Circulation,Homo sapiens,phsf,humn,6,PROCESS_OF_PHSFprcfHUMN
C0005775,C1709854,PROCESS_OF,Blood Circulation,Recipient,phsf,humn,1,PROCESS_OF_PHSFprcfHUMN
C0014272,C0150775,PROCESS_OF,Energy Metabolism,Social Networks,phsf,humn,1,PROCESS_OF_PHSFprcfHUMN
C0014272,C0206194,PROCESS_OF,Energy Metabolism,Survivors,phsf,humn,1,PROCESS_OF_PHSFprcfHUMN
C0014272,C0870869,PROCESS_OF,Energy Metabolism,medical patients,phsf,humn,1,PROCESS_OF_PHSFprcfHUMN
C0018767,C0008059,PROCESS_OF,Hearing,Child,phsf,humn,1,PROCESS_OF_PHSFprcfHUMN
C0018767,C0038492,PROCESS_OF,Hearing,student,phsf,humn,2,PROCESS_OF_PHSFprcfHUMN
C0018767,C0080103,PROCESS_OF,Hearing,Relative (related person),phsf,humn,1,PROCESS_OF_PHSFprcfHUMN
C0018767,C0086418,PROCESS_OF,Hearing,Homo sapiens,phsf,humn,2,PROCESS_OF_PHSFprcfHUMN
C0018767,C0282122,PROCESS_OF,Hearing,Respondents,phsf,humn,22,PROCESS_OF_PHSFprcfHUMN
C0018767,C0871489,PROCESS_OF,Hearing,teams,phsf,humn,1,PROCESS_OF_PHSFprcfHUMN
C0020964,C0001675,PROCESS_OF,Immunity,Adult,phsf,humn,17,PROCESS_OF_PHSFprcfHUMN
C0020964,C0008059,PROCESS_OF,Immunity,Child,phsf,humn,13,PROCESS_OF_PHSFprcfHUMN
C0020964,C0015576,PROCESS_OF,Immunity,Family,phsf,humn,1,PROCESS_OF_PHSFprcfHUMN
C0020964,C0020052,PROCESS_OF,Immunity,Households,phsf,humn,7,PROCESS_OF_PHSFprcfHUMN
C0020964,C0021270,PROCESS_OF,Immunity,Infant,phsf,humn,8,PROCESS_OF_PHSFprcfHUMN
C0020964,C0021289,PROCESS_OF,Immunity,"Infant, Newborn",phsf,humn,14,PROCESS_OF_PHSFprcfHUMN
C0020964,C0025266,PROCESS_OF,Immunity,Male population group,phsf,humn,1,PROCESS_OF_PHSFprcfHUMN
C0020964,C0026093,PROCESS_OF,Immunity,Migrants,phsf,humn,1,PROCESS_OF_PHSFprcfHUMN
C0020964,C0026753,PROCESS_OF,Immunity,Multiple Birth Offspring,phsf,humn,1,PROCESS_OF_PHSFprcfHUMN
C0020964,C0030551,PROCESS_OF,Immunity,parent,phsf,humn,1,PROCESS_OF_PHSFprcfHUMN
C0020964,C0033011,PROCESS_OF,Immunity,Pregnant Women,phsf,humn,3,PROCESS_OF_PHSFprcfHUMN
C0020964,C0034961,PROCESS_OF,Immunity,Refugees,phsf,humn,1,PROCESS_OF_PHSFprcfHUMN
C0020964,C0037179,PROCESS_OF,Immunity,Unmarried person,phsf,humn,2,PROCESS_OF_PHSFprcfHUMN
C0020964,C0038492,PROCESS_OF,Immunity,student,phsf,humn,1,PROCESS_OF_PHSFprcfHUMN
C0020964,C0039309,PROCESS_OF,Immunity,Target Population,phsf,humn,1,PROCESS_OF_PHSFprcfHUMN
C0020964,C0040704,PROCESS_OF,Immunity,Transient Population Group,phsf,humn,3,PROCESS_OF_PHSFprcfHUMN
C0020964,C0041935,PROCESS_OF,Immunity,Urban Population,phsf,humn,1,PROCESS_OF_PHSFprcfHUMN
C0020964,C0042960,PROCESS_OF,Immunity,Voluntary Workers,phsf,humn,1,PROCESS_OF_PHSFprcfHUMN
C0020964,C0043210,PROCESS_OF,Immunity,Woman,phsf,humn,5,PROCESS_OF_PHSFprcfHUMN
C0020964,C0079891,PROCESS_OF,Immunity,Indigenous Population (Natives),phsf,humn,2,PROCESS_OF_PHSFprcfHUMN
C0020964,C0080105,PROCESS_OF,Immunity,Research Subject,phsf,humn,1,PROCESS_OF_PHSFprcfHUMN
C0020964,C0085537,PROCESS_OF,Immunity,Caregiver,phsf,humn,1,PROCESS_OF_PHSFprcfHUMN
C0020964,C0086418,PROCESS_OF,Immunity,Homo sapiens,phsf,humn,88,PROCESS_OF_PHSFprcfHUMN
C0020964,C0150775,PROCESS_OF,Immunity,Social Networks,phsf,humn,9,PROCESS_OF_PHSFprcfHUMN
C0020964,C0206194,PROCESS_OF,Immunity,Survivors,phsf,humn,2,PROCESS_OF_PHSFprcfHUMN
C0020964,C0238598,PROCESS_OF,Immunity,Young Adult,phsf,humn,1,PROCESS_OF_PHSFprcfHUMN
C0020964,C0242444,PROCESS_OF,Immunity,Population at Risk,phsf,humn,2,PROCESS_OF_PHSFprcfHUMN
C0020964,C0282163,PROCESS_OF,Immunity,Immigrant (person),phsf,humn,1,PROCESS_OF_PHSFprcfHUMN
C0020964,C0337810,PROCESS_OF,Immunity,Italians,phsf,humn,1,PROCESS_OF_PHSFprcfHUMN
C0020964,C0683626,PROCESS_OF,Immunity,human group,phsf,humn,20,PROCESS_OF_PHSFprcfHUMN
C0020964,C0687759,PROCESS_OF,Immunity,traveler,phsf,humn,6,PROCESS_OF_PHSFprcfHUMN
C0020964,C0949366,PROCESS_OF,Immunity,Vulnerable Populations,phsf,humn,2,PROCESS_OF_PHSFprcfHUMN
