cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004120,C1633987,PROCESS_OF,Astrovirus,Flock,virs,grup,7,PROCESS_OF_VIRSprcfGRUP
C0004419,C1633987,PROCESS_OF,Infectious bronchitis virus,Flock,virs,grup,9,PROCESS_OF_VIRSprcfGRUP
C0004422,C1633987,PROCESS_OF,Avian leukosis virus,Flock,virs,grup,3,PROCESS_OF_VIRSprcfGRUP
C0010233,C1633987,PROCESS_OF,Cowpox virus,Flock,virs,grup,1,PROCESS_OF_VIRSprcfGRUP
C0014338,C1633987,PROCESS_OF,"Coronavirus, Turkey",Flock,virs,grup,1,PROCESS_OF_VIRSprcfGRUP
C0014383,C1633987,PROCESS_OF,Enterovirus,Flock,virs,grup,5,PROCESS_OF_VIRSprcfGRUP
C0021338,C1633987,PROCESS_OF,Infectious bursal disease virus,Flock,virs,grup,1,PROCESS_OF_VIRSprcfGRUP
C0027984,C1633987,PROCESS_OF,Newcastle disease virus,Flock,virs,grup,11,PROCESS_OF_VIRSprcfGRUP
C0029347,C1633987,PROCESS_OF,Influenza A virus,Flock,virs,grup,3,PROCESS_OF_VIRSprcfGRUP
C0035870,C1633987,PROCESS_OF,Rotavirus,Flock,virs,grup,5,PROCESS_OF_VIRSprcfGRUP
C0042776,C1633987,PROCESS_OF,Virus,Flock,virs,grup,19,PROCESS_OF_VIRSprcfGRUP
C0085391,C1633987,PROCESS_OF,Reassortant Viruses,Flock,virs,grup,1,PROCESS_OF_VIRSprcfGRUP
C0086776,C1633987,PROCESS_OF,Parvovirus,Flock,virs,grup,6,PROCESS_OF_VIRSprcfGRUP
C0206388,C1633987,PROCESS_OF,Leviviridae,Flock,virs,grup,1,PROCESS_OF_VIRSprcfGRUP
C0206409,C2699414,PROCESS_OF,Mastadenovirus,Committee,virs,grup,1,PROCESS_OF_VIRSprcfGRUP
C0206419,C1633987,PROCESS_OF,Genus: Coronavirus,Flock,virs,grup,1,PROCESS_OF_VIRSprcfGRUP
C0206540,C1633987,PROCESS_OF,Avulavirus,Flock,virs,grup,1,PROCESS_OF_VIRSprcfGRUP
C0318725,C1633987,PROCESS_OF,Rotavirus D,Flock,virs,grup,1,PROCESS_OF_VIRSprcfGRUP
C0376473,C1633987,PROCESS_OF,Astroviridae,Flock,virs,grup,1,PROCESS_OF_VIRSprcfGRUP
C0597363,C1633987,PROCESS_OF,recombinant virus,Flock,virs,grup,1,PROCESS_OF_VIRSprcfGRUP
C0597404,C1633987,PROCESS_OF,Respiratory viruses,Flock,virs,grup,8,PROCESS_OF_VIRSprcfGRUP
C1050028,C1633987,PROCESS_OF,Avian nephritis virus,Flock,virs,grup,1,PROCESS_OF_VIRSprcfGRUP
C1093940,C1633987,PROCESS_OF,Turkey astrovirus,Flock,virs,grup,1,PROCESS_OF_VIRSprcfGRUP
C1300302,C1633987,PROCESS_OF,"Avian influenza virus, low pathogenic",Flock,virs,grup,1,PROCESS_OF_VIRSprcfGRUP
C1300303,C1633987,PROCESS_OF,"Avian influenza virus, highly pathogenic",Flock,virs,grup,1,PROCESS_OF_VIRSprcfGRUP
C1517745,C1633987,PROCESS_OF,Latent Virus,Flock,virs,grup,1,PROCESS_OF_VIRSprcfGRUP
C1612293,C1633987,PROCESS_OF,"Influenza A Virus, H9N2 Subtype",Flock,virs,grup,1,PROCESS_OF_VIRSprcfGRUP
C1613950,C1633987,PROCESS_OF,"Influenza A Virus, H5N1 Subtype",Flock,virs,grup,1,PROCESS_OF_VIRSprcfGRUP
C2806461,C1633987,PROCESS_OF,Avian coronavirus,Flock,virs,grup,2,PROCESS_OF_VIRSprcfGRUP
C3698360,C2699414,PROCESS_OF,Middle East Respiratory Syndrome Coronavirus,Committee,virs,grup,1,PROCESS_OF_VIRSprcfGRUP
