cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0005953,C1550101,PRODUCES,Bone Marrow,Supernatant,bpoc,bdsu,1,PRODUCES_BPOCprodBDSU
C0006104,C0007806,PRODUCES,Brain,Cerebrospinal Fluid,bpoc,bdsu,1,PRODUCES_BPOCprodBDSU
C0022646,C0042036,PRODUCES,Kidney,Urine,bpoc,bdsu,1,PRODUCES_BPOCprodBDSU
C0022907,C1959692,PRODUCES,Lacrimal gland structure,Lacrimal fluid,bpoc,bdsu,1,PRODUCES_BPOCprodBDSU
C0030274,C0030296,PRODUCES,Pancreas,pancreatic juice,bpoc,bdsu,1,PRODUCES_BPOCprodBDSU
C0036505,C0036511,PRODUCES,Sebaceous Glands,Sebum,bpoc,bdsu,1,PRODUCES_BPOCprodBDSU
C0038445,C0014166,PRODUCES,Stria Vascularis,Endolymph,bpoc,bdsu,1,PRODUCES_BPOCprodBDSU
C0040578,C0006279,PRODUCES,Trachea,Bronchoalveolar Lavage Fluid,bpoc,bdsu,1,PRODUCES_BPOCprodBDSU
C0178784,C0015733,PRODUCES,Organ,Feces,bpoc,bdsu,1,PRODUCES_BPOCprodBDSU
C0225587,C0026727,PRODUCES,Structure of tracheal gland,Mucous body substance,bpoc,bdsu,1,PRODUCES_BPOCprodBDSU
C0227286,C0036087,PRODUCES,Duodenal epithelium,saliva,bpoc,bdsu,1,PRODUCES_BPOCprodBDSU
C0262304,C0229671,PRODUCES,pars postrema of the ventral lateral nucleus,Serum,bpoc,bdsu,1,PRODUCES_BPOCprodBDSU
C0262304,C1550101,PRODUCES,pars postrema of the ventral lateral nucleus,Supernatant,bpoc,bdsu,2,PRODUCES_BPOCprodBDSU
C0262304,C1550661,PRODUCES,pars postrema of the ventral lateral nucleus,Specimen Type - Stool = Fecal,bpoc,bdsu,1,PRODUCES_BPOCprodBDSU
C0458578,C0444159,PRODUCES,Upper respiratory tract,Sputum specimen,bpoc,bdsu,1,PRODUCES_BPOCprodBDSU
C1186280,C0005889,PRODUCES,Utricular duct,Body Fluids,bpoc,bdsu,1,PRODUCES_BPOCprodBDSU
C1285092,C0026727,PRODUCES,Gland,Mucous body substance,bpoc,bdsu,1,PRODUCES_BPOCprodBDSU
C1285092,C0225392,PRODUCES,Gland,Nasal mucus,bpoc,bdsu,1,PRODUCES_BPOCprodBDSU
