cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0006104,C0007158,PRODUCES,Brain,Cardiac Glycosides,bpoc,orch,1,PRODUCES_BPOCprodORCH
C0006104,C0029904,PRODUCES,Brain,Ouabain,bpoc,orch,1,PRODUCES_BPOCprodORCH
C0006104,C0073591,PRODUCES,Brain,rosoxacin,bpoc,orch,2,PRODUCES_BPOCprodORCH
C0022131,C0073591,PRODUCES,Islets of Langerhans,rosoxacin,bpoc,orch,1,PRODUCES_BPOCprodORCH
C0022907,C2350439,PRODUCES,Lacrimal gland structure,Volatile Organic Compounds,bpoc,orch,1,PRODUCES_BPOCprodORCH
C0024109,C0022924,PRODUCES,Lung,Lactates,bpoc,orch,2,PRODUCES_BPOCprodORCH
C0030274,C0525678,PRODUCES,Pancreas,rasagiline,bpoc,orch,1,PRODUCES_BPOCprodORCH
C0034051,C0023776,PRODUCES,Pulmonary alveolar structure,Lipid Peroxides,bpoc,orch,1,PRODUCES_BPOCprodORCH
C0037949,C0520481,PRODUCES,Vertebral column,Saponin,bpoc,orch,1,PRODUCES_BPOCprodORCH
C0037993,C0023810,PRODUCES,Spleen,Lipopolysaccharides,bpoc,orch,1,PRODUCES_BPOCprodORCH
C0175518,C0655249,PRODUCES,Nucleus solitarius,chlorotriphenylsilane,bpoc,orch,2,PRODUCES_BPOCprodORCH
C0282335,C0369760,PRODUCES,Respiratory tract structure,Organic acid (substance),bpoc,orch,1,PRODUCES_BPOCprodORCH
C0819757,C0073591,PRODUCES,Structure of parenchyma of lung,rosoxacin,bpoc,orch,1,PRODUCES_BPOCprodORCH
C1182707,C0596577,PRODUCES,hair root,Flavonoids,bpoc,orch,2,PRODUCES_BPOCprodORCH
C1552115,C3180220,PRODUCES,Supernumerary maxillary right third molar,STF 083010,bpoc,orch,1,PRODUCES_BPOCprodORCH
