cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004461,C0120285,PRODUCES,Axon,Green Fluorescent Proteins,celc,aapp,1,PRODUCES_CELCprodAAPP
C0007592,C0960939,PRODUCES,Cell Extracts,fluorescent protein 583,celc,aapp,1,PRODUCES_CELCprodAAPP
C0007592,C1414270,PRODUCES,Cell Extracts,EEF1A1 gene,celc,aapp,2,PRODUCES_CELCprodAAPP
C0007592,C1421638,PRODUCES,Cell Extracts,TRIM25 gene,celc,aapp,5,PRODUCES_CELCprodAAPP
C0007592,C1539487,PRODUCES,Cell Extracts,FBXL20 gene,celc,aapp,1,PRODUCES_CELCprodAAPP
C0007603,C0021699,PRODUCES,Plasma membrane,Integral Membrane Proteins,celc,aapp,1,PRODUCES_CELCprodAAPP
C0007603,C0042736,PRODUCES,Plasma membrane,Viral Proteins,celc,aapp,2,PRODUCES_CELCprodAAPP
C0007603,C0086376,PRODUCES,Plasma membrane,GTP-Binding Proteins,celc,aapp,1,PRODUCES_CELCprodAAPP
C0007603,C0178774,PRODUCES,Plasma membrane,Nucleocapsid,celc,aapp,1,PRODUCES_CELCprodAAPP
C0007603,C0674917,PRODUCES,Plasma membrane,"NCR1 protein, human",celc,aapp,1,PRODUCES_CELCprodAAPP
C0007623,C0023820,PRODUCES,Cell Wall,Lipoproteins,celc,aapp,1,PRODUCES_CELCprodAAPP
C0007623,C1421554,PRODUCES,Cell Wall,YME1L1 gene,celc,aapp,1,PRODUCES_CELCprodAAPP
C0007625,C0003250,PRODUCES,Cell-Free System,Monoclonal Antibodies,celc,aapp,2,PRODUCES_CELCprodAAPP
C0007625,C0025252,PRODUCES,Cell-Free System,Membrane Proteins,celc,aapp,1,PRODUCES_CELCprodAAPP
C0007637,C1413584,PRODUCES,Inclusion Bodies,COL4A3BP gene,celc,aapp,1,PRODUCES_CELCprodAAPP
C0008266,C4084937,PRODUCES,Chloroplasts,Antimicrobial Peptide,celc,aapp,1,PRODUCES_CELCprodAAPP
C0008661,C1413306,PRODUCES,"Chromosomes, Human, Pair 19",CEACAM1 gene,celc,aapp,1,PRODUCES_CELCprodAAPP
C0008778,C1428701,PRODUCES,Cilia,ENKUR gene,celc,aapp,1,PRODUCES_CELCprodAAPP
C0010834,C0017360,PRODUCES,Cytoplasm,pol genes,celc,aapp,1,PRODUCES_CELCprodAAPP
C0010834,C0042736,PRODUCES,Cytoplasm,Viral Proteins,celc,aapp,2,PRODUCES_CELCprodAAPP
C0010834,C0582263,PRODUCES,Cytoplasm,Structural protein,celc,aapp,1,PRODUCES_CELCprodAAPP
C0010834,C1333198,PRODUCES,Cytoplasm,Cytoplasmic Protein,celc,aapp,1,PRODUCES_CELCprodAAPP
C0010834,C1335240,PRODUCES,Cytoplasm,PPP1CA gene,celc,aapp,2,PRODUCES_CELCprodAAPP
C0010834,C1413504,PRODUCES,Cytoplasm,CLPP gene,celc,aapp,1,PRODUCES_CELCprodAAPP
C0010834,C1415782,PRODUCES,Cytoplasm,HSPD1 gene,celc,aapp,1,PRODUCES_CELCprodAAPP
C0010834,C1425942,PRODUCES,Cytoplasm,SCARA3 gene,celc,aapp,1,PRODUCES_CELCprodAAPP
