cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0010834,C0035736,PRODUCES,Cytoplasm,"RNA, Viral",celc,nnon,2,PRODUCES_CELCprodNNON
C0031310,C0035692,PRODUCES,Phagosomes,"RNA, Bacterial",celc,nnon,1,PRODUCES_CELCprodNNON
C0034850,C0035736,PRODUCES,Endosomes,"RNA, Viral",celc,nnon,1,PRODUCES_CELCprodNNON
C0042760,C0023978,PRODUCES,Virion,Long Terminal Repeat,celc,nnon,1,PRODUCES_CELCprodNNON
C0042760,C0035736,PRODUCES,Virion,"RNA, Viral",celc,nnon,2,PRODUCES_CELCprodNNON
C0162771,C1519595,PRODUCES,Spliceosomes,Transcript,celc,nnon,1,PRODUCES_CELCprodNNON
C0175996,C0035736,PRODUCES,Protoplasm,"RNA, Viral",celc,nnon,2,PRODUCES_CELCprodNNON
C0175996,C2930586,PRODUCES,Protoplasm,Short Hairpin RNA,celc,nnon,1,PRODUCES_CELCprodNNON
C0230770,C0035736,PRODUCES,"Endoplasmic reticulum, membrane","RNA, Viral",celc,nnon,1,PRODUCES_CELCprodNNON
C0596901,C0035736,PRODUCES,Membrane,"RNA, Viral",celc,nnon,1,PRODUCES_CELCprodNNON
C1179907,C0035736,PRODUCES,Wall of endosome,"RNA, Viral",celc,nnon,2,PRODUCES_CELCprodNNON
C1268456,C1519595,PRODUCES,Viral Components,Transcript,celc,nnon,1,PRODUCES_CELCprodNNON
C1268457,C1510800,PRODUCES,Viral core,Adenoviral Vector,celc,nnon,1,PRODUCES_CELCprodNNON
C1383501,C0045143,PRODUCES,Cytoplasmic matrix,"2',5'-oligoadenylate",celc,nnon,1,PRODUCES_CELCprodNNON
C1819995,C0035736,PRODUCES,Host Cell,"RNA, Viral",celc,nnon,3,PRODUCES_CELCprodNNON
C1819995,C2982391,PRODUCES,Host Cell,Long Intergenic Non-Protein Coding RNA,celc,nnon,2,PRODUCES_CELCprodNNON
C2350307,C1514152,PRODUCES,Cell-Derived Microparticles,Plasmid Cloning Vector,celc,nnon,1,PRODUCES_CELCprodNNON
C2350332,C0084380,PRODUCES,Exosomes,"RNA, ribosomal, 25S",celc,nnon,1,PRODUCES_CELCprodNNON
C2611777,C1519595,PRODUCES,RNA polymerase II complex,Transcript,celc,nnon,1,PRODUCES_CELCprodNNON
C2754944,C1514152,PRODUCES,IgG1 antibody,Plasmid Cloning Vector,celc,nnon,1,PRODUCES_CELCprodNNON
