cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003261,C0003241,PRODUCES,Antibody Formation,Antibodies,celf,aapp,3,PRODUCES_CELFprodAAPP
C0003261,C0020960,PRODUCES,Antibody Formation,Immune Sera,celf,aapp,1,PRODUCES_CELFprodAAPP
C0003261,C0025248,PRODUCES,Antibody Formation,Membrane Glycoproteins,celf,aapp,2,PRODUCES_CELFprodAAPP
C0003261,C0057256,PRODUCES,Antibody Formation,Defensins,celf,aapp,1,PRODUCES_CELFprodAAPP
C0003261,C0301850,PRODUCES,Antibody Formation,B cell antibody,celf,aapp,1,PRODUCES_CELFprodAAPP
C0003261,C0443640,PRODUCES,Antibody Formation,Specific antibody,celf,aapp,1,PRODUCES_CELFprodAAPP
C0003261,C0475463,PRODUCES,Antibody Formation,"Antibodies, Neutralizing",celf,aapp,2,PRODUCES_CELFprodAAPP
C0003272,C0003241,PRODUCES,Antibody-Dependent Cellular Cytotoxicity,Antibodies,celf,aapp,1,PRODUCES_CELFprodAAPP
C0003272,C0034805,PRODUCES,Antibody-Dependent Cellular Cytotoxicity,Fc Receptor,celf,aapp,1,PRODUCES_CELFprodAAPP
C0003272,C0079189,PRODUCES,Antibody-Dependent Cellular Cytotoxicity,cytokine,celf,aapp,1,PRODUCES_CELFprodAAPP
C0004391,C0002199,PRODUCES,Autophagy,Interferon-alpha,celf,aapp,1,PRODUCES_CELFprodAAPP
C0004391,C0002520,PRODUCES,Autophagy,Amino Acids,celf,aapp,1,PRODUCES_CELFprodAAPP
C0004391,C0017797,PRODUCES,Autophagy,Glutamine,celf,aapp,1,PRODUCES_CELFprodAAPP
C0004391,C0042736,PRODUCES,Autophagy,Viral Proteins,celf,aapp,1,PRODUCES_CELFprodAAPP
C0004391,C0061472,PRODUCES,Autophagy,Glutamic Acid,celf,aapp,1,PRODUCES_CELFprodAAPP
C0004391,C0079189,PRODUCES,Autophagy,cytokine,celf,aapp,1,PRODUCES_CELFprodAAPP
C0004391,C2744579,PRODUCES,Autophagy,"ATP8A2 protein, human",celf,aapp,2,PRODUCES_CELFprodAAPP
C0007582,C0003241,PRODUCES,Cell Communication,Antibodies,celf,aapp,1,PRODUCES_CELFprodAAPP
C0007582,C0623362,PRODUCES,Cell Communication,Matrix Metalloproteinases,celf,aapp,2,PRODUCES_CELFprodAAPP
C0007582,C1448177,PRODUCES,Cell Communication,"TNF protein, human",celf,aapp,1,PRODUCES_CELFprodAAPP
C0007587,C0012881,PRODUCES,Cell Death,DNA Nucleotidylexotransferase,celf,aapp,1,PRODUCES_CELFprodAAPP
C0007587,C0079189,PRODUCES,Cell Death,cytokine,celf,aapp,2,PRODUCES_CELFprodAAPP
C0007587,C3887634,PRODUCES,Cell Death,"DNA Nucleotidylexotransferase, human",celf,aapp,1,PRODUCES_CELFprodAAPP
C0007590,C0597357,PRODUCES,Cell division,receptor,celf,aapp,2,PRODUCES_CELFprodAAPP
C0007590,C0670896,PRODUCES,Cell division,Toll-like receptors,celf,aapp,2,PRODUCES_CELFprodAAPP
