cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0004623,C2753459,PRODUCES,Bacterial Infections,mucus layer,dsyn,bdsu,2,PRODUCES_DSYNprodBDSU
C0009443,C0225378,PRODUCES,Common Cold,Upper respiratory tract mucus,dsyn,bdsu,1,PRODUCES_DSYNprodBDSU
C0011175,C0032105,PRODUCES,Dehydration,Plasma,dsyn,bdsu,1,PRODUCES_DSYNprodBDSU
C0012546,C0229671,PRODUCES,Diphtheria,Serum,dsyn,bdsu,1,PRODUCES_DSYNprodBDSU
C0018572,C0036087,PRODUCES,"Hand, Foot and Mouth Disease",saliva,dsyn,bdsu,1,PRODUCES_DSYNprodBDSU
C0019338,C0036087,PRODUCES,Herpangina,saliva,dsyn,bdsu,1,PRODUCES_DSYNprodBDSU
C0024449,C0034161,PRODUCES,Mycetoma,Pus,dsyn,bdsu,1,PRODUCES_DSYNprodBDSU
C0038454,C1550101,PRODUCES,Cerebrovascular accident,Supernatant,dsyn,bdsu,1,PRODUCES_DSYNprodBDSU
C0039614,C0229671,PRODUCES,Tetanus,Serum,dsyn,bdsu,1,PRODUCES_DSYNprodBDSU
C0042769,C0005889,PRODUCES,Virus Diseases,Body Fluids,dsyn,bdsu,1,PRODUCES_DSYNprodBDSU
C0042769,C1550101,PRODUCES,Virus Diseases,Supernatant,dsyn,bdsu,4,PRODUCES_DSYNprodBDSU
C0043528,C0032105,PRODUCES,Zoonoses,Plasma,dsyn,bdsu,1,PRODUCES_DSYNprodBDSU
C0206750,C0229671,PRODUCES,Coronavirus Infections,Serum,dsyn,bdsu,1,PRODUCES_DSYNprodBDSU
C0340427,C1550101,PRODUCES,Familial dilated cardiomyopathy,Supernatant,dsyn,bdsu,1,PRODUCES_DSYNprodBDSU
C0521530,C0225378,PRODUCES,Lung consolidation,Upper respiratory tract mucus,dsyn,bdsu,1,PRODUCES_DSYNprodBDSU
C4505456,C0444159,PRODUCES,HIV Coinfection,Sputum specimen,dsyn,bdsu,1,PRODUCES_DSYNprodBDSU
