cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0014072,C0034790,PRODUCES,Experimental Autoimmune Encephalomyelitis,T-Cell Receptor,emod,aapp,1,PRODUCES_EMODprodAAPP
C1519606,C0022709,PRODUCES,Transgenic Model,Peptidyl-Dipeptidase A,emod,aapp,1,PRODUCES_EMODprodAAPP
C1519606,C0034790,PRODUCES,Transgenic Model,T-Cell Receptor,emod,aapp,1,PRODUCES_EMODprodAAPP
C1519606,C0081937,PRODUCES,Transgenic Model,Dipeptidyl-Peptidase IV,emod,aapp,1,PRODUCES_EMODprodAAPP
C1519606,C1449159,PRODUCES,Transgenic Model,"CCL2 protein, human",emod,aapp,2,PRODUCES_EMODprodAAPP
C1519606,C1610422,PRODUCES,Transgenic Model,"ACE2 protein, human",emod,aapp,1,PRODUCES_EMODprodAAPP
C2986594,C0003250,PRODUCES,Mouse Model,Monoclonal Antibodies,emod,aapp,2,PRODUCES_EMODprodAAPP
C2986594,C0028612,PRODUCES,Mouse Model,Nucleoproteins,emod,aapp,1,PRODUCES_EMODprodAAPP
C2986594,C0081937,PRODUCES,Mouse Model,Dipeptidyl-Peptidase IV,emod,aapp,1,PRODUCES_EMODprodAAPP
C2986594,C0475463,PRODUCES,Mouse Model,"Antibodies, Neutralizing",emod,aapp,1,PRODUCES_EMODprodAAPP
