cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0017374,C2930586,PRODUCES,Synthetic Genes,Short Hairpin RNA,gngm,nnon,1,PRODUCES_GNGMprodNNON
C0017374,C3272453,PRODUCES,Synthetic Genes,Genomic DNA,gngm,nnon,1,PRODUCES_GNGMprodNNON
C0042720,C0035736,PRODUCES,Viral Genome,"RNA, Viral",gngm,nnon,1,PRODUCES_GNGMprodNNON
C0079941,C0032400,PRODUCES,Open Reading Frames,Poly A,gngm,nnon,1,PRODUCES_GNGMprodNNON
C0079941,C1519595,PRODUCES,Open Reading Frames,Transcript,gngm,nnon,1,PRODUCES_GNGMprodNNON
C0282641,C1510800,PRODUCES,Transgenes,Adenoviral Vector,gngm,nnon,1,PRODUCES_GNGMprodNNON
C0282641,C1519595,PRODUCES,Transgenes,Transcript,gngm,nnon,1,PRODUCES_GNGMprodNNON
C1333949,C3272453,PRODUCES,Helicase Gene,Genomic DNA,gngm,nnon,1,PRODUCES_GNGMprodNNON
C1334043,C0206415,PRODUCES,Homologous Gene,Oligonucleotide Primers,gngm,nnon,2,PRODUCES_GNGMprodNNON
C1334043,C1519595,PRODUCES,Homologous Gene,Transcript,gngm,nnon,1,PRODUCES_GNGMprodNNON
C1420257,C1519595,PRODUCES,SMN1 gene,Transcript,gngm,nnon,1,PRODUCES_GNGMprodNNON
C1537704,C3884166,PRODUCES,MIR9-1 gene,"MIRN9 microRNA, human",gngm,nnon,1,PRODUCES_GNGMprodNNON
C1537705,C3884166,PRODUCES,MIR9-2 gene,"MIRN9 microRNA, human",gngm,nnon,1,PRODUCES_GNGMprodNNON
C1537706,C3884166,PRODUCES,MIR9-3 gene,"MIRN9 microRNA, human",gngm,nnon,1,PRODUCES_GNGMprodNNON
C3469830,C1519595,PRODUCES,SLC35G5 gene,Transcript,gngm,nnon,2,PRODUCES_GNGMprodNNON
