cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0008059,C1706912,PRODUCES,Child,BARRIER,humn,medd,1,PRODUCES_HUMNprodMEDD
C0009932,C0027524,PRODUCES,Control Groups,Nebulizers,humn,medd,1,PRODUCES_HUMNprodMEDD
C0015535,C0042497,PRODUCES,Faculty,Mechanical Ventilator,humn,medd,1,PRODUCES_HUMNprodMEDD
C0015576,C1706912,PRODUCES,Family,BARRIER,humn,medd,1,PRODUCES_HUMNprodMEDD
C0020155,C2720748,PRODUCES,Human Volunteers,Hoods,humn,medd,1,PRODUCES_HUMNprodMEDD
C0402112,C0085104,PRODUCES,Scientist,Drug Delivery Systems,humn,medd,1,PRODUCES_HUMNprodMEDD
C0680063,C0728990,PRODUCES,Offspring,Clinical Use Template,humn,medd,1,PRODUCES_HUMNprodMEDD
C0870134,C0179302,PRODUCES,ancestors,"Binder, device",humn,medd,1,PRODUCES_HUMNprodMEDD
C1706077,C0728990,PRODUCES,user - individual,Clinical Use Template,humn,medd,1,PRODUCES_HUMNprodMEDD
C1708335,C0184348,PRODUCES,Healthy Volunteers,"Warmer, device",humn,medd,1,PRODUCES_HUMNprodMEDD
C2700280,C1314650,PRODUCES,World,"SUPPLY, NOT OTHERWISE SPECIFIED",humn,medd,1,PRODUCES_HUMNprodMEDD
C3812881,C0728990,PRODUCES,Author,Clinical Use Template,humn,medd,1,PRODUCES_HUMNprodMEDD
C3826770,C1706912,PRODUCES,Older people,BARRIER,humn,medd,1,PRODUCES_HUMNprodMEDD
