cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001618,C1420304,PRODUCES,Tumors of Adrenal Cortex,SOAT1 gene,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0006142,C0007082,PRODUCES,Malignant neoplasm of breast,Carcinoembryonic Antigen,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0006142,C0056997,PRODUCES,Malignant neoplasm of breast,Cytosine deaminase,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0006142,C0242957,PRODUCES,Malignant neoplasm of breast,ERBB2 gene,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0006826,C0007082,PRODUCES,Malignant Neoplasms,Carcinoembryonic Antigen,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0006826,C0021760,PRODUCES,Malignant Neoplasms,Interleukin-6,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0006826,C0042736,PRODUCES,Malignant Neoplasms,Viral Proteins,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0006826,C0069515,PRODUCES,Malignant Neoplasms,erbB-2 Receptor,neop,aapp,3,PRODUCES_NEOPprodAAPP
C0006826,C0085295,PRODUCES,Malignant Neoplasms,Interleukin-10,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0006826,C0250501,PRODUCES,Malignant Neoplasms,CXCR4 Receptors,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0006826,C0282554,PRODUCES,Malignant Neoplasms,chemokine,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0006826,C0919428,PRODUCES,Malignant Neoplasms,NQO1 gene,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0006826,C1335676,PRODUCES,Malignant Neoplasms,Recombinant Antibody,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0006826,C1423633,PRODUCES,Malignant Neoplasms,TLR9 gene,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0006826,C1453836,PRODUCES,Malignant Neoplasms,dimethylarginine,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0006826,C1512511,PRODUCES,Malignant Neoplasms,Human Papilloma Virus Vaccine,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0007097,C0965245,PRODUCES,Carcinoma,"CD274 protein, human",neop,aapp,1,PRODUCES_NEOPprodAAPP
C0007134,C0378910,PRODUCES,Renal Cell Carcinoma,Lymphocyte antigen CD66A,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0007134,C4039583,PRODUCES,Renal Cell Carcinoma,Chimeric antigen receptor,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0007137,C0057256,PRODUCES,Squamous cell carcinoma,Defensins,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0007621,C0378910,PRODUCES,Neoplastic Cell Transformation,Lymphocyte antigen CD66A,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0009402,C1425029,PRODUCES,Colorectal Carcinoma,PTBP2 gene,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0019829,C0002520,PRODUCES,Hodgkin Disease,Amino Acids,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0019829,C0121453,PRODUCES,Hodgkin Disease,Hepatic Asialoglycoprotein Receptor,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0019829,C0162768,PRODUCES,Hodgkin Disease,Fusion protein,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0019829,C1427812,PRODUCES,Hodgkin Disease,PDLIM7 gene,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0023418,C0378910,PRODUCES,leukemia,Lymphocyte antigen CD66A,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0023434,C0796385,PRODUCES,Chronic Lymphocytic Leukemia,Fc-Gamma Receptor II,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0023443,C0003241,PRODUCES,Hairy Cell Leukemia,Antibodies,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0023470,C0378910,PRODUCES,Myeloid Leukemia,Lymphocyte antigen CD66A,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0023485,C0069139,PRODUCES,Precursor B-Cell Lymphoblastic Leukemia-Lymphoma,nucleolin,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0024299,C0069906,PRODUCES,Lymphoma,P-Glycoproteins,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0024299,C0378910,PRODUCES,Lymphoma,Lymphocyte antigen CD66A,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0025202,C0378910,PRODUCES,melanoma,Lymphocyte antigen CD66A,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0025202,C3811629,PRODUCES,melanoma,Anti-Drug Antibody,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0027627,C0023823,PRODUCES,Neoplasm Metastasis,Low-Density Lipoproteins,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0027651,C0017890,PRODUCES,Neoplasms,Glycine,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0027651,C0021027,PRODUCES,Neoplasms,Immunoglobulins,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0027651,C0041485,PRODUCES,Neoplasms,Tyrosine,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0027651,C0069515,PRODUCES,Neoplasms,erbB-2 Receptor,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0027651,C0079189,PRODUCES,Neoplasms,cytokine,neop,aapp,2,PRODUCES_NEOPprodAAPP
C0027651,C0085295,PRODUCES,Neoplasms,Interleukin-10,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0027651,C0242957,PRODUCES,Neoplasms,ERBB2 gene,neop,aapp,2,PRODUCES_NEOPprodAAPP
C0027651,C0378910,PRODUCES,Neoplasms,Lymphocyte antigen CD66A,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0027651,C0965245,PRODUCES,Neoplasms,"CD274 protein, human",neop,aapp,2,PRODUCES_NEOPprodAAPP
C0027651,C1332821,PRODUCES,Neoplasms,CXCL9 gene,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0027651,C1565860,PRODUCES,Neoplasms,"PTGS2 protein, human",neop,aapp,1,PRODUCES_NEOPprodAAPP
C0027651,C1883559,PRODUCES,Neoplasms,Wild Type,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0027708,C0082584,PRODUCES,Nephroblastoma,Tacrolimus Binding Proteins,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0031511,C0021755,PRODUCES,Pheochromocytoma,Interleukin-1,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0031511,C0079189,PRODUCES,Pheochromocytoma,cytokine,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0032131,C0003241,PRODUCES,Plasmacytoma,Antibodies,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0032131,C1420192,PRODUCES,Plasmacytoma,SLC3A2 gene,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0032463,C1176244,PRODUCES,Polycythemia Vera,"DARC protein, human",neop,aapp,1,PRODUCES_NEOPprodAAPP
C0032463,C1708010,PRODUCES,Polycythemia Vera,FES wt Allele,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0032580,C0123759,PRODUCES,Adenomatous Polyposis Coli,Interleukin-12,neop,aapp,2,PRODUCES_NEOPprodAAPP
C0032580,C1414609,PRODUCES,Adenomatous Polyposis Coli,FGL2 gene,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0032580,C3540818,PRODUCES,Adenomatous Polyposis Coli,LAMP1 wt Allele,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0035335,C0146462,PRODUCES,Retinoblastoma,E2F transcription factors,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0205770,C0002520,PRODUCES,Choroid Plexus Papilloma,Amino Acids,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0206655,C1825562,PRODUCES,Alveolar rhabdomyosarcoma,IFITM5 gene,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0206695,C0282554,PRODUCES,"Carcinoma, Neuroendocrine",chemokine,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0206695,C1336641,PRODUCES,"Carcinoma, Neuroendocrine",TMPRSS2 gene,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0206695,C1366565,PRODUCES,"Carcinoma, Neuroendocrine",SLPI gene,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0238198,C3853650,PRODUCES,Gastrointestinal Stromal Tumors,"Mast/Stem Cell Growth Factor Receptor Kit, human",neop,aapp,1,PRODUCES_NEOPprodAAPP
C0242647,C0020838,PRODUCES,Mucosa-Associated Lymphoid Tissue Lymphoma,Secretory Immunoglobulin A,neop,aapp,2,PRODUCES_NEOPprodAAPP
C0279702,C0258855,PRODUCES,Conventional (Clear Cell) Renal Cell Carcinoma,"CA9 protein, human",neop,aapp,1,PRODUCES_NEOPprodAAPP
C0279734,C0074830,PRODUCES,pituitary eosinophilic adenoma,Somatostatin Receptor,neop,aapp,2,PRODUCES_NEOPprodAAPP
C0279734,C0299636,PRODUCES,pituitary eosinophilic adenoma,somatostatin receptor 5,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0279734,C0529155,PRODUCES,pituitary eosinophilic adenoma,somatostatin receptor 1,neop,aapp,2,PRODUCES_NEOPprodAAPP
C0279734,C0534283,PRODUCES,pituitary eosinophilic adenoma,somatostatin receptor 3,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0280100,C0034790,PRODUCES,Solid Neoplasm,T-Cell Receptor,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0280100,C0919428,PRODUCES,Solid Neoplasm,NQO1 gene,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0280100,C1412515,PRODUCES,Solid Neoplasm,ARG1 gene,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0334634,C0174680,PRODUCES,"Malignant lymphoma, lymphocytic, intermediate differentiation, diffuse",Cyclin D1,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0334701,C0021756,PRODUCES,Equine sarcoid,Interleukin-2,neop,aapp,2,PRODUCES_NEOPprodAAPP
C0456844,C0041243,PRODUCES,Light chain myeloma,Trypsinogen,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0699790,C0007082,PRODUCES,Colon Carcinoma,Carcinoembryonic Antigen,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0699790,C0250400,PRODUCES,Colon Carcinoma,occludin,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0699790,C1420744,PRODUCES,Colon Carcinoma,TJP1 gene,neop,aapp,1,PRODUCES_NEOPprodAAPP
C0699791,C1419019,PRODUCES,Stomach Carcinoma,PSMB9 gene,neop,aapp,1,PRODUCES_NEOPprodAAPP
C1276146,C0069906,PRODUCES,Cutaneous lymphoma,P-Glycoproteins,neop,aapp,1,PRODUCES_NEOPprodAAPP
C1336521,C1826969,PRODUCES,Submandibular Gland Adenocarcinoma,SAMD4B gene,neop,aapp,1,PRODUCES_NEOPprodAAPP
C1337013,C0040123,PRODUCES,Differentiated Thyroid Gland Carcinoma,Thyroglobulin,neop,aapp,1,PRODUCES_NEOPprodAAPP
C1512694,C0021758,PRODUCES,Increased Cellularity Present,Interleukin-4,neop,aapp,1,PRODUCES_NEOPprodAAPP
C1512694,C0960939,PRODUCES,Increased Cellularity Present,fluorescent protein 583,neop,aapp,1,PRODUCES_NEOPprodAAPP
C1512694,C0971226,PRODUCES,Increased Cellularity Present,EBV-encoded nuclear antigen 1,neop,aapp,1,PRODUCES_NEOPprodAAPP
C1516857,C0582263,PRODUCES,Serous Endometrial Intraepithelial Carcinoma,Structural protein,neop,aapp,1,PRODUCES_NEOPprodAAPP
C1835664,C1336763,PRODUCES,TYLOSIS WITH ESOPHAGEAL CANCER,Toll-Like Receptor Family Gene,neop,aapp,1,PRODUCES_NEOPprodAAPP
C1882062,C0206492,PRODUCES,Neoplastic disease,"Antibodies, Bispecific",neop,aapp,1,PRODUCES_NEOPprodAAPP
C2239176,C0010762,PRODUCES,Liver carcinoma,Cytochrome P450,neop,aapp,1,PRODUCES_NEOPprodAAPP
C3899716,C0242957,PRODUCES,Canine Osteosarcoma,ERBB2 gene,neop,aapp,1,PRODUCES_NEOPprodAAPP
C4525220,C0021756,PRODUCES,Feline Fibrosarcoma,Interleukin-2,neop,aapp,1,PRODUCES_NEOPprodAAPP
