cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0005775,C0016006,PRODUCES,Blood Circulation,Fibrinogen,phsf,aapp,1,PRODUCES_PHSFprodAAPP
C0014272,C2744579,PRODUCES,Energy Metabolism,"ATP8A2 protein, human",phsf,aapp,1,PRODUCES_PHSFprodAAPP
C0020964,C0003241,PRODUCES,Immunity,Antibodies,phsf,aapp,1,PRODUCES_PHSFprodAAPP
C0020964,C0017764,PRODUCES,Immunity,GLUCOSIDASE,phsf,aapp,1,PRODUCES_PHSFprodAAPP
C0020964,C0028612,PRODUCES,Immunity,Nucleoproteins,phsf,aapp,1,PRODUCES_PHSFprodAAPP
C0020964,C0079189,PRODUCES,Immunity,cytokine,phsf,aapp,3,PRODUCES_PHSFprodAAPP
C0020964,C0085295,PRODUCES,Immunity,Interleukin-10,phsf,aapp,1,PRODUCES_PHSFprodAAPP
C0020964,C0282554,PRODUCES,Immunity,chemokine,phsf,aapp,1,PRODUCES_PHSFprodAAPP
C0020964,C0305052,PRODUCES,Immunity,Gamma globulin serum,phsf,aapp,1,PRODUCES_PHSFprodAAPP
C0020964,C0475463,PRODUCES,Immunity,"Antibodies, Neutralizing",phsf,aapp,2,PRODUCES_PHSFprodAAPP
C0035203,C1448177,PRODUCES,Respiration,"TNF protein, human",phsf,aapp,1,PRODUCES_PHSFprodAAPP
C0242599,C0079189,PRODUCES,Neutrophil Activation,cytokine,phsf,aapp,1,PRODUCES_PHSFprodAAPP
C0242599,C0282554,PRODUCES,Neutrophil Activation,chemokine,phsf,aapp,1,PRODUCES_PHSFprodAAPP
C0243144,C0021747,PRODUCES,Uptake,Interferons,phsf,aapp,1,PRODUCES_PHSFprodAAPP
C0243144,C0021755,PRODUCES,Uptake,Interleukin-1,phsf,aapp,1,PRODUCES_PHSFprodAAPP
C0243144,C1143976,PRODUCES,Uptake,"TREM2 protein, human",phsf,aapp,1,PRODUCES_PHSFprodAAPP
C0597170,C0079189,PRODUCES,paracrine,cytokine,phsf,aapp,4,PRODUCES_PHSFprodAAPP
C0868946,C0443640,PRODUCES,digest,Specific antibody,phsf,aapp,1,PRODUCES_PHSFprodAAPP
C1326962,C0002520,PRODUCES,ion homeostasis,Amino Acids,phsf,aapp,1,PRODUCES_PHSFprodAAPP
C1512827,C0042736,PRODUCES,Interferon Signaling Process,Viral Proteins,phsf,aapp,1,PRODUCES_PHSFprodAAPP
C1514892,C0069304,PRODUCES,Resistance Process,"POU5F1 protein, human",phsf,aapp,1,PRODUCES_PHSFprodAAPP
C1514892,C0913092,PRODUCES,Resistance Process,DC-specific ICAM-3 grabbing nonintegrin,phsf,aapp,1,PRODUCES_PHSFprodAAPP
C1514892,C1335439,PRODUCES,Resistance Process,Polymerase,phsf,aapp,1,PRODUCES_PHSFprodAAPP
C1514892,C2945614,PRODUCES,Resistance Process,lactamase,phsf,aapp,2,PRODUCES_PHSFprodAAPP
C1704520,C0002520,PRODUCES,Primary Respiratory Mechanism,Amino Acids,phsf,aapp,1,PRODUCES_PHSFprodAAPP
C1704520,C0599561,PRODUCES,Primary Respiratory Mechanism,e protein,phsf,aapp,1,PRODUCES_PHSFprodAAPP
C1704520,C0700271,PRODUCES,Primary Respiratory Mechanism,"M Protein, multiple myeloma",phsf,aapp,1,PRODUCES_PHSFprodAAPP
C3714584,C0003250,PRODUCES,"Transformation, function",Monoclonal Antibodies,phsf,aapp,1,PRODUCES_PHSFprodAAPP
C3714584,C0072480,PRODUCES,"Transformation, function",Proto-Oncogene Proteins c-sis,phsf,aapp,2,PRODUCES_PHSFprodAAPP
C3714584,C2744535,PRODUCES,"Transformation, function","CD69 protein, human",phsf,aapp,1,PRODUCES_PHSFprodAAPP
