cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000578,C3887958,STIMULATES,5-Hydroxytryptophan,"Indoleamine 2,3-Dioxygenase, human",aapp,aapp,1,STIMULATES_AAPPstimAAPP
C0001022,C0015683,STIMULATES,Acetyl-CoA Carboxylase,Fatty-acid synthase,aapp,aapp,1,STIMULATES_AAPPstimAAPP
C0001044,C0002716,STIMULATES,Acetylcholinesterase,Amyloid,aapp,aapp,1,STIMULATES_AAPPstimAAPP
C0001060,C0475463,STIMULATES,Acetylmuramyl-Alanyl-Isoglutamine,"Antibodies, Neutralizing",aapp,aapp,1,STIMULATES_AAPPstimAAPP
C0001060,C1336763,STIMULATES,Acetylmuramyl-Alanyl-Isoglutamine,Toll-Like Receptor Family Gene,aapp,aapp,1,STIMULATES_AAPPstimAAPP
C0001068,C1333908,STIMULATES,Acetyltransferase,HMGB1 gene,aapp,aapp,1,STIMULATES_AAPPstimAAPP
C0001271,C0027096,STIMULATES,Actins,Myosin ATPase,aapp,aapp,1,STIMULATES_AAPPstimAAPP
C0001271,C0030940,STIMULATES,Actins,Peptide Hydrolases,aapp,aapp,2,STIMULATES_AAPPstimAAPP
C0001271,C0074785,STIMULATES,Actins,Sodium-Hydrogen Antiporter,aapp,aapp,1,STIMULATES_AAPPstimAAPP
C0001271,C0081939,STIMULATES,Actins,CD31 Antigens,aapp,aapp,1,STIMULATES_AAPPstimAAPP
C0001271,C0243041,STIMULATES,Actins,Molecular Chaperones,aapp,aapp,1,STIMULATES_AAPPstimAAPP
C0001271,C0377800,STIMULATES,Actins,protein B,aapp,aapp,1,STIMULATES_AAPPstimAAPP
C0001271,C0887901,STIMULATES,Actins,Caveolins,aapp,aapp,1,STIMULATES_AAPPstimAAPP
C0001271,C1416373,STIMULATES,Actins,CADM1 gene,aapp,aapp,1,STIMULATES_AAPPstimAAPP
C0001347,C0006560,STIMULATES,Acute-Phase Proteins,C-reactive protein,aapp,aapp,1,STIMULATES_AAPPstimAAPP
C0001347,C0021756,STIMULATES,Acute-Phase Proteins,Interleukin-2,aapp,aapp,1,STIMULATES_AAPPstimAAPP
C0001347,C0021760,STIMULATES,Acute-Phase Proteins,Interleukin-6,aapp,aapp,3,STIMULATES_AAPPstimAAPP
C0001347,C0079189,STIMULATES,Acute-Phase Proteins,cytokine,aapp,aapp,1,STIMULATES_AAPPstimAAPP
C0001347,C0085295,STIMULATES,Acute-Phase Proteins,Interleukin-10,aapp,aapp,1,STIMULATES_AAPPstimAAPP
C0001473,C0006685,STIMULATES,Adenosine Triphosphatases,Calcium Channel,aapp,aapp,1,STIMULATES_AAPPstimAAPP
C0001473,C0035685,STIMULATES,Adenosine Triphosphatases,RNA-Directed RNA Polymerase,aapp,aapp,1,STIMULATES_AAPPstimAAPP
C0001473,C0084378,STIMULATES,Adenosine Triphosphatases,RNA Helicase,aapp,aapp,1,STIMULATES_AAPPstimAAPP
C0001473,C0162768,STIMULATES,Adenosine Triphosphatases,Fusion protein,aapp,aapp,1,STIMULATES_AAPPstimAAPP
C0001473,C0751973,STIMULATES,Adenosine Triphosphatases,Proteome,aapp,aapp,1,STIMULATES_AAPPstimAAPP
C0001473,C1310468,STIMULATES,Adenosine Triphosphatases,"DDX58 protein, human",aapp,aapp,1,STIMULATES_AAPPstimAAPP
C0001473,C3890397,STIMULATES,Adenosine Triphosphatases,PRKAA1 wt Allele,aapp,aapp,1,STIMULATES_AAPPstimAAPP
