cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003993,C0001963,STIMULATES,ASPARAGINASE,Methanol,aapp,hops,1,STIMULATES_AAPPstimHOPS
C0010287,C0116567,STIMULATES,Creatine Kinase,"pydrin, (S-(R*,R*))-isomer",aapp,hops,1,STIMULATES_AAPPstimHOPS
C0017278,C0039654,STIMULATES,"Gene Products, env",Tetradecanoylphorbol Acetate,aapp,hops,1,STIMULATES_AAPPstimHOPS
C0021699,C0054282,STIMULATES,Integral Membrane Proteins,butyl phosphorotrithioate,aapp,hops,1,STIMULATES_AAPPstimHOPS
C0021758,C0039654,STIMULATES,Interleukin-4,Tetradecanoylphorbol Acetate,aapp,hops,1,STIMULATES_AAPPstimHOPS
C0104203,C0039635,STIMULATES,Aryl Hydrocarbon Receptor Nuclear Translocator,Tetrachlorodibenzodioxin,aapp,hops,1,STIMULATES_AAPPstimHOPS
C0120285,C0076374,STIMULATES,Green Fluorescent Proteins,Thapsigargin,aapp,hops,1,STIMULATES_AAPPstimHOPS
C0123263,C0039654,STIMULATES,"Receptors, IgG",Tetradecanoylphorbol Acetate,aapp,hops,1,STIMULATES_AAPPstimHOPS
C0162768,C0001963,STIMULATES,Fusion protein,Methanol,aapp,hops,1,STIMULATES_AAPPstimHOPS
C0164786,C0007090,STIMULATES,Proto-Oncogene Proteins c-akt,Carcinogens,aapp,hops,1,STIMULATES_AAPPstimHOPS
C0287990,C0015309,STIMULATES,paired basic amino acid cleaving enzyme,Exotoxins,aapp,hops,1,STIMULATES_AAPPstimHOPS
C0669372,C0014264,STIMULATES,"NOS2A protein, human",Endotoxins,aapp,hops,1,STIMULATES_AAPPstimHOPS
C1332656,C0039654,STIMULATES,C3 gene,Tetradecanoylphorbol Acetate,aapp,hops,1,STIMULATES_AAPPstimHOPS
C1332700,C0039654,STIMULATES,CCR5 gene,Tetradecanoylphorbol Acetate,aapp,hops,2,STIMULATES_AAPPstimHOPS
C1334346,C0007090,STIMULATES,LMP1 EBV latent membrane protein,Carcinogens,aapp,hops,1,STIMULATES_AAPPstimHOPS
C1367307,C0007090,STIMULATES,STAT3 gene,Carcinogens,aapp,hops,1,STIMULATES_AAPPstimHOPS
C1415181,C0014264,STIMULATES,GOT1 gene,Endotoxins,aapp,hops,1,STIMULATES_AAPPstimHOPS
C1415273,C0014264,STIMULATES,TECR gene,Endotoxins,aapp,hops,1,STIMULATES_AAPPstimHOPS
C1418582,C0014264,STIMULATES,PIN1 gene,Endotoxins,aapp,hops,1,STIMULATES_AAPPstimHOPS
C1427812,C0007090,STIMULATES,PDLIM7 gene,Carcinogens,aapp,hops,1,STIMULATES_AAPPstimHOPS
C1506697,C0059291,STIMULATES,"CD47 protein, human","endotoxin, Escherichia coli",aapp,hops,1,STIMULATES_AAPPstimHOPS
C3887647,C0007090,STIMULATES,"Lymphotoxin-Alpha, human",Carcinogens,aapp,hops,1,STIMULATES_AAPPstimHOPS
