cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001898,C0003316,STIMULATES,Alanine,Epitopes,aapp,imft,2,STIMULATES_AAPPstimIMFT
C0003241,C0003316,STIMULATES,Antibodies,Epitopes,aapp,imft,5,STIMULATES_AAPPstimIMFT
C0003241,C0042210,STIMULATES,Antibodies,Vaccines,aapp,imft,2,STIMULATES_AAPPstimIMFT
C0003241,C0282581,STIMULATES,Antibodies,"Epitopes, B-Lymphocyte",aapp,imft,1,STIMULATES_AAPPstimIMFT
C0003241,C1514218,STIMULATES,Antibodies,Polyvalent Vaccine,aapp,imft,1,STIMULATES_AAPPstimIMFT
C0003250,C0003316,STIMULATES,Monoclonal Antibodies,Epitopes,aapp,imft,6,STIMULATES_AAPPstimIMFT
C0003250,C0042210,STIMULATES,Monoclonal Antibodies,Vaccines,aapp,imft,2,STIMULATES_AAPPstimIMFT
C0003313,C0301838,STIMULATES,Immune complex,Soluble antigen,aapp,imft,1,STIMULATES_AAPPstimIMFT
C0010590,C2825347,STIMULATES,Cycloserine,"Immunoglobulin A, Human",aapp,imft,1,STIMULATES_AAPPstimIMFT
C0016006,C0008015,STIMULATES,Fibrinogen,Macrophage Chemotactic Factors,aapp,imft,1,STIMULATES_AAPPstimIMFT
C0017360,C1515333,STIMULATES,pol genes,tetanus toxoid helper peptide,aapp,imft,1,STIMULATES_AAPPstimIMFT
C0017968,C2986386,STIMULATES,Glycoproteins,Virus-neutralizing Antibody,aapp,imft,2,STIMULATES_AAPPstimIMFT
C0020858,C0042210,STIMULATES,IgG2B,Vaccines,aapp,imft,1,STIMULATES_AAPPstimIMFT
C0020960,C0002092,STIMULATES,Immune Sera,Allergens,aapp,imft,1,STIMULATES_AAPPstimIMFT
C0020960,C0003316,STIMULATES,Immune Sera,Epitopes,aapp,imft,1,STIMULATES_AAPPstimIMFT
C0020960,C0042210,STIMULATES,Immune Sera,Vaccines,aapp,imft,1,STIMULATES_AAPPstimIMFT
C0021032,C0042210,STIMULATES,Immunoglobulin Fc Fragments,Vaccines,aapp,imft,1,STIMULATES_AAPPstimIMFT
C0021740,C0026484,STIMULATES,Recombinant Interferon-gamma,Monokines,aapp,imft,2,STIMULATES_AAPPstimIMFT
C0021747,C0026484,STIMULATES,Interferons,Monokines,aapp,imft,2,STIMULATES_AAPPstimIMFT
C0021758,C2825347,STIMULATES,Interleukin-4,"Immunoglobulin A, Human",aapp,imft,1,STIMULATES_AAPPstimIMFT
C0021760,C0026484,STIMULATES,Interleukin-6,Monokines,aapp,imft,1,STIMULATES_AAPPstimIMFT
C0025252,C2825347,STIMULATES,Membrane Proteins,"Immunoglobulin A, Human",aapp,imft,1,STIMULATES_AAPPstimIMFT
C0028612,C0042210,STIMULATES,Nucleoproteins,Vaccines,aapp,imft,2,STIMULATES_AAPPstimIMFT
C0034800,C0042210,STIMULATES,"Receptors, Cell Surface",Vaccines,aapp,imft,1,STIMULATES_AAPPstimIMFT
C0034862,C0042210,STIMULATES,"Vaccines, Recombinant",Vaccines,aapp,imft,2,STIMULATES_AAPPstimIMFT
C0034862,C1291777,STIMULATES,"Vaccines, Recombinant",Protein antigen,aapp,imft,1,STIMULATES_AAPPstimIMFT
C0036734,C1545500,STIMULATES,Serine Endopeptidases,Influenza virus A hemagglutinin,aapp,imft,2,STIMULATES_AAPPstimIMFT
C0037492,C0521390,STIMULATES,Sodium Channel,neuronal,aapp,imft,1,STIMULATES_AAPPstimIMFT
C0040627,C1515333,STIMULATES,Trans-Activators,tetanus toxoid helper peptide,aapp,imft,2,STIMULATES_AAPPstimIMFT
C0041368,C0456981,STIMULATES,Tumor Necrosis Factors,Specific antigen,aapp,imft,1,STIMULATES_AAPPstimIMFT
C0042711,C0042210,STIMULATES,Viral Envelope Proteins,Vaccines,aapp,imft,1,STIMULATES_AAPPstimIMFT
C0042736,C4505399,STIMULATES,Viral Proteins,Universal Flu Vaccines,aapp,imft,1,STIMULATES_AAPPstimIMFT
C0051979,C0003316,STIMULATES,anti-IgG,Epitopes,aapp,imft,1,STIMULATES_AAPPstimIMFT
C0051979,C0042210,STIMULATES,anti-IgG,Vaccines,aapp,imft,1,STIMULATES_AAPPstimIMFT
C0055782,C0042210,STIMULATES,circumsporozoite protein,Vaccines,aapp,imft,1,STIMULATES_AAPPstimIMFT
C0072354,C1883036,STIMULATES,Protein Disulfide-Isomerases,Single-Chain Antibodies,aapp,imft,1,STIMULATES_AAPPstimIMFT
C0074785,C0003342,STIMULATES,Sodium-Hydrogen Antiporter,"Antigens, Viral",aapp,imft,1,STIMULATES_AAPPstimIMFT
C0074926,C2825347,STIMULATES,Soy Proteins,"Immunoglobulin A, Human",aapp,imft,1,STIMULATES_AAPPstimIMFT
C0079189,C0312555,STIMULATES,cytokine,Neoantigen,aapp,imft,1,STIMULATES_AAPPstimIMFT
C0079189,C2987378,STIMULATES,cytokine,"Anti-CEA BiTE Monoclonal Antibody MEDI-565, Human",aapp,imft,1,STIMULATES_AAPPstimIMFT
C0079633,C0026484,STIMULATES,Interleukin-8,Monokines,aapp,imft,1,STIMULATES_AAPPstimIMFT
C0080093,C0521390,STIMULATES,N-Methyl-D-Aspartate Receptors,neuronal,aapp,imft,1,STIMULATES_AAPPstimIMFT
C0087044,C0042210,STIMULATES,Synapsin I,Vaccines,aapp,imft,1,STIMULATES_AAPPstimIMFT
C0108801,C2986386,STIMULATES,"TFRC protein, human",Virus-neutralizing Antibody,aapp,imft,4,STIMULATES_AAPPstimIMFT
C0123759,C0456981,STIMULATES,Interleukin-12,Specific antigen,aapp,imft,1,STIMULATES_AAPPstimIMFT
C0128897,C0026484,STIMULATES,Monocyte Chemoattractant Protein-1,Monokines,aapp,imft,1,STIMULATES_AAPPstimIMFT
C0134235,C2825347,STIMULATES,OspA protein,"Immunoglobulin A, Human",aapp,imft,1,STIMULATES_AAPPstimIMFT
C0162768,C2986386,STIMULATES,Fusion protein,Virus-neutralizing Antibody,aapp,imft,1,STIMULATES_AAPPstimIMFT
C0166418,C0521390,STIMULATES,Peroxisome Proliferator-Activated Receptors,neuronal,aapp,imft,1,STIMULATES_AAPPstimIMFT
C0254610,C0456981,STIMULATES,Interleukin-15,Specific antigen,aapp,imft,1,STIMULATES_AAPPstimIMFT
C0282682,C0042210,STIMULATES,"Antibodies, Blocking",Vaccines,aapp,imft,1,STIMULATES_AAPPstimIMFT
C0305052,C1552907,STIMULATES,Gamma globulin serum,Adenovirus Vaccine,aapp,imft,1,STIMULATES_AAPPstimIMFT
C0443640,C0021403,STIMULATES,Specific antibody,Influenza virus vaccine,aapp,imft,1,STIMULATES_AAPPstimIMFT
C0475463,C0001551,STIMULATES,"Antibodies, Neutralizing",Immunologic Adjuvants,aapp,imft,1,STIMULATES_AAPPstimIMFT
C0475463,C0042210,STIMULATES,"Antibodies, Neutralizing",Vaccines,aapp,imft,1,STIMULATES_AAPPstimIMFT
C0475463,C0887892,STIMULATES,"Antibodies, Neutralizing","Vaccines, Subunit",aapp,imft,1,STIMULATES_AAPPstimIMFT
C0597357,C0003316,STIMULATES,receptor,Epitopes,aapp,imft,2,STIMULATES_AAPPstimIMFT
C0597357,C0003342,STIMULATES,receptor,"Antigens, Viral",aapp,imft,1,STIMULATES_AAPPstimIMFT
C0597357,C2986386,STIMULATES,receptor,Virus-neutralizing Antibody,aapp,imft,1,STIMULATES_AAPPstimIMFT
C0599220,C2825347,STIMULATES,Protein Subunits,"Immunoglobulin A, Human",aapp,imft,1,STIMULATES_AAPPstimIMFT
C0599220,C2986386,STIMULATES,Protein Subunits,Virus-neutralizing Antibody,aapp,imft,1,STIMULATES_AAPPstimIMFT
C0700271,C2825347,STIMULATES,"M Protein, multiple myeloma","Immunoglobulin A, Human",aapp,imft,1,STIMULATES_AAPPstimIMFT
C0751973,C0206255,STIMULATES,Proteome,Malaria Vaccines,aapp,imft,1,STIMULATES_AAPPstimIMFT
C0754727,C2825347,STIMULATES,"TLR2 protein, human","Immunoglobulin A, Human",aapp,imft,1,STIMULATES_AAPPstimIMFT
C0808901,C0042210,STIMULATES,EWSR1 gene,Vaccines,aapp,imft,1,STIMULATES_AAPPstimIMFT
C0812309,C2825347,STIMULATES,LTB gene,"Immunoglobulin A, Human",aapp,imft,4,STIMULATES_AAPPstimIMFT
C0913092,C0018911,STIMULATES,DC-specific ICAM-3 grabbing nonintegrin,"Hemagglutinins, Viral",aapp,imft,1,STIMULATES_AAPPstimIMFT
C0916194,C2825347,STIMULATES,dectin 1,"Immunoglobulin A, Human",aapp,imft,1,STIMULATES_AAPPstimIMFT
C0946139,C1291845,STIMULATES,Monoclonal IgG,Erythrocyte antigen,aapp,imft,1,STIMULATES_AAPPstimIMFT
C0950373,C0002092,STIMULATES,Eosinophil cationic protein,Allergens,aapp,imft,2,STIMULATES_AAPPstimIMFT
C1136102,C0003316,STIMULATES,Capsid Proteins,Epitopes,aapp,imft,1,STIMULATES_AAPPstimIMFT
C1321386,C2825347,STIMULATES,"Gliadin antibody, IgG","Immunoglobulin A, Human",aapp,imft,1,STIMULATES_AAPPstimIMFT
C1332669,C0368675,STIMULATES,CAV1 gene,antibody antigen,aapp,imft,1,STIMULATES_AAPPstimIMFT
C1412030,C1883036,STIMULATES,Immunoglobulin binding proteins,Single-Chain Antibodies,aapp,imft,1,STIMULATES_AAPPstimIMFT
C1414174,C0376613,STIMULATES,DSPP gene,"Vaccines, DNA",aapp,imft,1,STIMULATES_AAPPstimIMFT
C1415619,C0166049,STIMULATES,HMOX1 gene,Hepatitis C Antibodies,aapp,imft,1,STIMULATES_AAPPstimIMFT
C1415888,C2825347,STIMULATES,IFI30 gene,"Immunoglobulin A, Human",aapp,imft,1,STIMULATES_AAPPstimIMFT
C1417154,C0521390,STIMULATES,MIA gene,neuronal,aapp,imft,1,STIMULATES_AAPPstimIMFT
C1417635,C0003316,STIMULATES,NDUFB3 gene,Epitopes,aapp,imft,1,STIMULATES_AAPPstimIMFT
C1420816,C2825347,STIMULATES,TNFSF13B gene,"Immunoglobulin A, Human",aapp,imft,1,STIMULATES_AAPPstimIMFT
C1424242,C0076533,STIMULATES,CARD9 gene,Thomsen-Friedenreich antibodies,aapp,imft,1,STIMULATES_AAPPstimIMFT
C1512511,C0003316,STIMULATES,Human Papilloma Virus Vaccine,Epitopes,aapp,imft,1,STIMULATES_AAPPstimIMFT
C1522002,C0001551,STIMULATES,RNA Recognition Motif,Immunologic Adjuvants,aapp,imft,1,STIMULATES_AAPPstimIMFT
C1522002,C2986386,STIMULATES,RNA Recognition Motif,Virus-neutralizing Antibody,aapp,imft,1,STIMULATES_AAPPstimIMFT
C1701790,C2825347,STIMULATES,"IL17A protein, human","Immunoglobulin A, Human",aapp,imft,1,STIMULATES_AAPPstimIMFT
C1705504,C2986386,STIMULATES,HTATIP wt Allele,Virus-neutralizing Antibody,aapp,imft,1,STIMULATES_AAPPstimIMFT
C1708130,C0042210,STIMULATES,GNAI1 wt Allele,Vaccines,aapp,imft,2,STIMULATES_AAPPstimIMFT
C1823491,C0021403,STIMULATES,TRIM69 gene,Influenza virus vaccine,aapp,imft,1,STIMULATES_AAPPstimIMFT
C1825598,C0042210,STIMULATES,IMPACT gene,Vaccines,aapp,imft,1,STIMULATES_AAPPstimIMFT
C1826560,C0221114,STIMULATES,PDPN gene,Antigen recognition site,aapp,imft,1,STIMULATES_AAPPstimIMFT
C1883559,C0042210,STIMULATES,Wild Type,Vaccines,aapp,imft,1,STIMULATES_AAPPstimIMFT
C2744535,C0042210,STIMULATES,"CD69 protein, human",Vaccines,aapp,imft,1,STIMULATES_AAPPstimIMFT
C3540595,C0042211,STIMULATES,CD8A wt Allele,"Vaccines, Attenuated",aapp,imft,1,STIMULATES_AAPPstimIMFT
C3814443,C0002092,STIMULATES,DUSP5 wt Allele,Allergens,aapp,imft,1,STIMULATES_AAPPstimIMFT
C3849701,C0456981,STIMULATES,"interleukin 18 protein, human",Specific antigen,aapp,imft,1,STIMULATES_AAPPstimIMFT
C4048280,C0003316,STIMULATES,"T-Cell Surface Glycoprotein CD4, human",Epitopes,aapp,imft,25,STIMULATES_AAPPstimIMFT
C4082333,C0521390,STIMULATES,"Proto-Oncogene c-Fos, human",neuronal,aapp,imft,1,STIMULATES_AAPPstimIMFT
C4281807,C0042210,STIMULATES,"Vitronectin, human",Vaccines,aapp,imft,2,STIMULATES_AAPPstimIMFT
C4281807,C2986386,STIMULATES,"Vitronectin, human",Virus-neutralizing Antibody,aapp,imft,3,STIMULATES_AAPPstimIMFT
