cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0003009,C0043047,STIMULATES,angiotensin II,Water,aapp,inch,1,STIMULATES_AAPPstimINCH
C0003241,C0051522,STIMULATES,Antibodies,aluminum sulfate,aapp,inch,1,STIMULATES_AAPPstimINCH
C0003241,C0074773,STIMULATES,Antibodies,sodium thiocyanate,aapp,inch,1,STIMULATES_AAPPstimINCH
C0010531,C0021966,STIMULATES,Cyclic AMP-Dependent Protein Kinases,Iodides,aapp,inch,1,STIMULATES_AAPPstimINCH
C0010592,C0043047,STIMULATES,Cyclosporine,Water,aapp,inch,1,STIMULATES_AAPPstimINCH
C0017360,C0025552,STIMULATES,pol genes,Metals,aapp,inch,1,STIMULATES_AAPPstimINCH
C0017735,C0020281,STIMULATES,GLUCOSE OXIDASE,Hydrogen Peroxide,aapp,inch,1,STIMULATES_AAPPstimINCH
C0019602,C0043047,STIMULATES,Histidine,Water,aapp,inch,1,STIMULATES_AAPPstimINCH
C0021755,C0008203,STIMULATES,Interleukin-1,Chlorides,aapp,inch,1,STIMULATES_AAPPstimINCH
C0022009,C0008203,STIMULATES,Ion Channel,Chlorides,aapp,inch,1,STIMULATES_AAPPstimINCH
C0025543,C0043047,STIMULATES,Metalloproteases,Water,aapp,inch,1,STIMULATES_AAPPstimINCH
C0078989,C0043047,STIMULATES,Aspartic Acid Endopeptidases,Water,aapp,inch,1,STIMULATES_AAPPstimINCH
C0079189,C0043047,STIMULATES,cytokine,Water,aapp,inch,1,STIMULATES_AAPPstimINCH
C0085845,C0043047,STIMULATES,Aspartate,Water,aapp,inch,1,STIMULATES_AAPPstimINCH
C0256421,C0043047,STIMULATES,aquaporin 3,Water,aapp,inch,1,STIMULATES_AAPPstimINCH
C0443640,C0051522,STIMULATES,Specific antibody,aluminum sulfate,aapp,inch,1,STIMULATES_AAPPstimINCH
C0475463,C0733770,STIMULATES,"Antibodies, Neutralizing",Alhydrogel,aapp,inch,1,STIMULATES_AAPPstimINCH
C0599635,C0043047,STIMULATES,water channel,Water,aapp,inch,1,STIMULATES_AAPPstimINCH
C0684287,C0043047,STIMULATES,aldehyde dehydrogenases,Water,aapp,inch,1,STIMULATES_AAPPstimINCH
C1412785,C0146894,STIMULATES,BECN1 gene,triphosphate,aapp,inch,1,STIMULATES_AAPPstimINCH
C1448177,C0051522,STIMULATES,"TNF protein, human",aluminum sulfate,aapp,inch,1,STIMULATES_AAPPstimINCH
C1539099,C0008838,STIMULATES,CLEC4M gene,Cisplatin,aapp,inch,5,STIMULATES_AAPPstimINCH
C1564907,C0021966,STIMULATES,"Receptors, Pattern Recognition",Iodides,aapp,inch,1,STIMULATES_AAPPstimINCH
C1825598,C4505224,STIMULATES,IMPACT gene,Greenhouse Gases,aapp,inch,1,STIMULATES_AAPPstimINCH
C2744579,C0008203,STIMULATES,"ATP8A2 protein, human",Chlorides,aapp,inch,1,STIMULATES_AAPPstimINCH
