cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001271,C0016277,STIMULATES,Actins,Fluconazole,aapp,orch,1,STIMULATES_AAPPstimORCH
C0002003,C0005802,STIMULATES,Aldehyde Reductase,Blood Glucose,aapp,orch,1,STIMULATES_AAPPstimORCH
C0002199,C0023810,STIMULATES,Interferon-alpha,Lipopolysaccharides,aapp,orch,2,STIMULATES_AAPPstimORCH
C0002199,C0165032,STIMULATES,Interferon-alpha,imiquimod,aapp,orch,1,STIMULATES_AAPPstimORCH
C0002712,C0031923,STIMULATES,Amylases,Pilocarpine,aapp,orch,1,STIMULATES_AAPPstimORCH
C0003017,C0525678,STIMULATES,Angiotensinogen,rasagiline,aapp,orch,1,STIMULATES_AAPPstimORCH
C0003241,C0076836,STIMULATES,Antibodies,Toremifene,aapp,orch,2,STIMULATES_AAPPstimORCH
C0003241,C0376637,STIMULATES,Antibodies,Indinavir,aapp,orch,1,STIMULATES_AAPPstimORCH
C0003241,C4549197,STIMULATES,Antibodies,1-ethyl-3-(3-dimethylaminopropyl)carbodiimide N-hydroxysuccinimide,aapp,orch,1,STIMULATES_AAPPstimORCH
C0003250,C0049042,STIMULATES,Monoclonal Antibodies,5-amino-5-deoxymannopyranoside,aapp,orch,1,STIMULATES_AAPPstimORCH
C0003250,C0172217,STIMULATES,Monoclonal Antibodies,arsenal,aapp,orch,1,STIMULATES_AAPPstimORCH
C0003323,C0007004,STIMULATES,CD4 Antigens,Carbohydrates,aapp,orch,1,STIMULATES_AAPPstimORCH
C0003765,C0003030,STIMULATES,Arginine,Anhydrides,aapp,orch,1,STIMULATES_AAPPstimORCH
C0003765,C0032433,STIMULATES,Arginine,Polyamines,aapp,orch,1,STIMULATES_AAPPstimORCH
C0009630,C0023810,STIMULATES,Concanavalin A,Lipopolysaccharides,aapp,orch,3,STIMULATES_AAPPstimORCH
C0010590,C0023810,STIMULATES,Cycloserine,Lipopolysaccharides,aapp,orch,2,STIMULATES_AAPPstimORCH
C0010590,C0965594,STIMULATES,Cycloserine,resiquimod,aapp,orch,1,STIMULATES_AAPPstimORCH
C0010656,C0083632,STIMULATES,caspase,N-acetylsphingosine,aapp,orch,1,STIMULATES_AAPPstimORCH
C0010746,C0208308,STIMULATES,Cytochromes b5,artemisic acid,aapp,orch,1,STIMULATES_AAPPstimORCH
C0010749,C0073591,STIMULATES,Cytochromes c,rosoxacin,aapp,orch,1,STIMULATES_AAPPstimORCH
C0013729,C0022239,STIMULATES,Eukaryotic Initiation Factor-2,Isopropyl Thiogalactoside,aapp,orch,1,STIMULATES_AAPPstimORCH
C0016026,C0672708,STIMULATES,Fibroblast Growth Factor,Vorinostat,aapp,orch,1,STIMULATES_AAPPstimORCH
C0017757,C0069717,STIMULATES,Glucosephosphate Dehydrogenase,oxaliplatin,aapp,orch,1,STIMULATES_AAPPstimORCH
C0017757,C0073591,STIMULATES,Glucosephosphate Dehydrogenase,rosoxacin,aapp,orch,1,STIMULATES_AAPPstimORCH
C0017789,C0039848,STIMULATES,Glutamates,Thiamine Pyrophosphate,aapp,orch,1,STIMULATES_AAPPstimORCH
C0019046,C0022239,STIMULATES,Hemoglobin,Isopropyl Thiogalactoside,aapp,orch,2,STIMULATES_AAPPstimORCH
C0020838,C0040845,STIMULATES,Secretory Immunoglobulin A,Tretinoin,aapp,orch,1,STIMULATES_AAPPstimORCH
C0020960,C3152857,STIMULATES,Immune Sera,Prevail,aapp,orch,1,STIMULATES_AAPPstimORCH
C0021088,C0034140,STIMULATES,IMP Dehydrogenase,Purines,aapp,orch,3,STIMULATES_AAPPstimORCH
C0021641,C0023810,STIMULATES,Insulin,Lipopolysaccharides,aapp,orch,1,STIMULATES_AAPPstimORCH
C0021665,C0038317,STIMULATES,Insulin-Like Growth Factor I,Steroids,aapp,orch,1,STIMULATES_AAPPstimORCH
C0021701,C0066776,STIMULATES,Integrins,monophosphoryl lipid A,aapp,orch,1,STIMULATES_AAPPstimORCH
C0021701,C0721062,STIMULATES,Integrins,InFed,aapp,orch,1,STIMULATES_AAPPstimORCH
C0021740,C0064030,STIMULATES,Recombinant Interferon-gamma,isopentenyl pyrophosphate,aapp,orch,1,STIMULATES_AAPPstimORCH
C0021747,C0073591,STIMULATES,Interferons,rosoxacin,aapp,orch,1,STIMULATES_AAPPstimORCH
C0021747,C1328819,STIMULATES,Interferons,Small Molecule,aapp,orch,1,STIMULATES_AAPPstimORCH
C0021753,C0023810,STIMULATES,Interleukin-1 beta,Lipopolysaccharides,aapp,orch,5,STIMULATES_AAPPstimORCH
C0021753,C3813211,STIMULATES,Interleukin-1 beta,Prostaglandin E2,aapp,orch,1,STIMULATES_AAPPstimORCH
C0021755,C0023810,STIMULATES,Interleukin-1,Lipopolysaccharides,aapp,orch,4,STIMULATES_AAPPstimORCH
C0021758,C0023810,STIMULATES,Interleukin-4,Lipopolysaccharides,aapp,orch,1,STIMULATES_AAPPstimORCH
C0021758,C0066350,STIMULATES,Interleukin-4,methylene dimethanesulfonate,aapp,orch,1,STIMULATES_AAPPstimORCH
C0021760,C0005802,STIMULATES,Interleukin-6,Blood Glucose,aapp,orch,1,STIMULATES_AAPPstimORCH
C0021760,C0023810,STIMULATES,Interleukin-6,Lipopolysaccharides,aapp,orch,10,STIMULATES_AAPPstimORCH
C0021760,C0039286,STIMULATES,Interleukin-6,Tamoxifen,aapp,orch,1,STIMULATES_AAPPstimORCH
C0021760,C0525678,STIMULATES,Interleukin-6,rasagiline,aapp,orch,1,STIMULATES_AAPPstimORCH
C0021760,C2744912,STIMULATES,Interleukin-6,gardiquimod,aapp,orch,1,STIMULATES_AAPPstimORCH
C0023204,C0028959,STIMULATES,"Receptors, Lectin",Oligosaccharides,aapp,orch,1,STIMULATES_AAPPstimORCH
C0024337,C0003030,STIMULATES,Lysine,Anhydrides,aapp,orch,1,STIMULATES_AAPPstimORCH
C0026682,C0525678,STIMULATES,Mucins,rasagiline,aapp,orch,1,STIMULATES_AAPPstimORCH
C0027803,C0037025,STIMULATES,Neuraminidase,Sialic Acids,aapp,orch,2,STIMULATES_AAPPstimORCH
C0028589,C0126884,STIMULATES,Nuclear Proteins,Malononitrile dimer,aapp,orch,1,STIMULATES_AAPPstimORCH
C0029282,C0032433,STIMULATES,Ornithine Decarboxylase,Polyamines,aapp,orch,1,STIMULATES_AAPPstimORCH
C0030016,C0012788,STIMULATES,Oxidoreductase,Dithionitrobenzoic Acid,aapp,orch,1,STIMULATES_AAPPstimORCH
C0030946,C0022239,STIMULATES,Endopeptidases,Isopropyl Thiogalactoside,aapp,orch,1,STIMULATES_AAPPstimORCH
C0030946,C0034266,STIMULATES,Endopeptidases,Pyridoxal Phosphate,aapp,orch,1,STIMULATES_AAPPstimORCH
C0031667,C0023779,STIMULATES,Phospholipases A2,Lipids,aapp,orch,2,STIMULATES_AAPPstimORCH
C0032350,C0023810,STIMULATES,Pokeweed Mitogens,Lipopolysaccharides,aapp,orch,1,STIMULATES_AAPPstimORCH
C0033551,C0003695,STIMULATES,Prostaglandin-Endoperoxide Synthase,Arachidonic Acid,aapp,orch,1,STIMULATES_AAPPstimORCH
C0034790,C0023810,STIMULATES,T-Cell Receptor,Lipopolysaccharides,aapp,orch,1,STIMULATES_AAPPstimORCH
C0034805,C0951233,STIMULATES,Fc Receptor,CETRIMONIUM BROMIDE,aapp,orch,1,STIMULATES_AAPPstimORCH
C0034861,C0022239,STIMULATES,Recombinant Proteins,Isopropyl Thiogalactoside,aapp,orch,2,STIMULATES_AAPPstimORCH
C0036774,C0073591,STIMULATES,"Serum Albumin, Bovine",rosoxacin,aapp,orch,1,STIMULATES_AAPPstimORCH
C0036883,C0039286,STIMULATES,Sex Hormone-Binding Globulin,Tamoxifen,aapp,orch,2,STIMULATES_AAPPstimORCH
C0040648,C0022020,STIMULATES,TRANSCRIPTION FACTOR,Ionomycin,aapp,orch,1,STIMULATES_AAPPstimORCH
C0040648,C0127400,STIMULATES,TRANSCRIPTION FACTOR,Mediator brand of benfluorex hydrochloride,aapp,orch,1,STIMULATES_AAPPstimORCH
C0040691,C0023810,STIMULATES,Transforming Growth Factors,Lipopolysaccharides,aapp,orch,1,STIMULATES_AAPPstimORCH
C0041368,C0023810,STIMULATES,Tumor Necrosis Factors,Lipopolysaccharides,aapp,orch,3,STIMULATES_AAPPstimORCH
C0042313,C0073591,STIMULATES,Vancomycin,rosoxacin,aapp,orch,1,STIMULATES_AAPPstimORCH
C0042736,C0032433,STIMULATES,Viral Proteins,Polyamines,aapp,orch,1,STIMULATES_AAPPstimORCH
C0042736,C0032594,STIMULATES,Viral Proteins,Polysaccharides,aapp,orch,1,STIMULATES_AAPPstimORCH
C0042736,C0073591,STIMULATES,Viral Proteins,rosoxacin,aapp,orch,1,STIMULATES_AAPPstimORCH
C0051214,C1435444,STIMULATES,allophycocyanin,darunavir,aapp,orch,1,STIMULATES_AAPPstimORCH
C0052193,C0023810,STIMULATES,apolipoprotein D,Lipopolysaccharides,aapp,orch,1,STIMULATES_AAPPstimORCH
C0055633,C0058272,STIMULATES,Chromogranin A,dimethylbusulfan,aapp,orch,2,STIMULATES_AAPPstimORCH
C0055673,C0525678,STIMULATES,Chymase,rasagiline,aapp,orch,1,STIMULATES_AAPPstimORCH
C0058988,C0013618,STIMULATES,Eukaryotic Initiation Factor-4E,Edetic Acid,aapp,orch,1,STIMULATES_AAPPstimORCH
C0061878,C0022020,STIMULATES,granzyme B,Ionomycin,aapp,orch,1,STIMULATES_AAPPstimORCH
C0064833,C0010467,STIMULATES,Leukocyte Elastane,Curcumin,aapp,orch,1,STIMULATES_AAPPstimORCH
C0067257,C0067365,STIMULATES,N(alpha)-fluorenylmethyloxycarbonylamino acids,"N,N-diisopropylethylamine",aapp,orch,1,STIMULATES_AAPPstimORCH
C0068355,C0073591,STIMULATES,NADPH Oxidase,rosoxacin,aapp,orch,1,STIMULATES_AAPPstimORCH
C0069304,C0525678,STIMULATES,"POU5F1 protein, human",rasagiline,aapp,orch,1,STIMULATES_AAPPstimORCH
C0072393,C0039286,STIMULATES,Protein S,Tamoxifen,aapp,orch,1,STIMULATES_AAPPstimORCH
C0079073,C0023810,STIMULATES,c-src Genes,Lipopolysaccharides,aapp,orch,1,STIMULATES_AAPPstimORCH
C0079189,C0023810,STIMULATES,cytokine,Lipopolysaccharides,aapp,orch,7,STIMULATES_AAPPstimORCH
C0079189,C0077938,STIMULATES,cytokine,ursolic acid,aapp,orch,1,STIMULATES_AAPPstimORCH
C0079189,C0127400,STIMULATES,cytokine,Mediator brand of benfluorex hydrochloride,aapp,orch,1,STIMULATES_AAPPstimORCH
C0079189,C0309049,STIMULATES,cytokine,favor,aapp,orch,1,STIMULATES_AAPPstimORCH
C0079189,C0525678,STIMULATES,cytokine,rasagiline,aapp,orch,1,STIMULATES_AAPPstimORCH
C0079189,C3813211,STIMULATES,cytokine,Prostaglandin E2,aapp,orch,1,STIMULATES_AAPPstimORCH
C0079405,C0603200,STIMULATES,"Gene Products, vpr","1,2-di-(4-sulfamidophenyl)-4-butylpyrazolidine-3,5-dione",aapp,orch,2,STIMULATES_AAPPstimORCH
C0079419,C2728259,STIMULATES,TP53 gene,Program,aapp,orch,2,STIMULATES_AAPPstimORCH
C0079460,C0073591,STIMULATES,Granulocyte-Macrophage Colony-Stimulating Factor,rosoxacin,aapp,orch,1,STIMULATES_AAPPstimORCH
C0079633,C0001962,STIMULATES,Interleukin-8,Ethanol,aapp,orch,1,STIMULATES_AAPPstimORCH
C0079633,C0023810,STIMULATES,Interleukin-8,Lipopolysaccharides,aapp,orch,1,STIMULATES_AAPPstimORCH
C0079904,C0023810,STIMULATES,NF-kappa B,Lipopolysaccharides,aapp,orch,1,STIMULATES_AAPPstimORCH
C0079904,C0127400,STIMULATES,NF-kappa B,Mediator brand of benfluorex hydrochloride,aapp,orch,1,STIMULATES_AAPPstimORCH
C0082731,C0034284,STIMULATES,Glycine dehydrogenase (decarboxylating),Pyrimidine,aapp,orch,1,STIMULATES_AAPPstimORCH
C0084692,C0023779,STIMULATES,Pulmonary Surfactant-Associated Protein D,Lipids,aapp,orch,1,STIMULATES_AAPPstimORCH
C0085249,C0007004,STIMULATES,glycosyltransferase,Carbohydrates,aapp,orch,1,STIMULATES_AAPPstimORCH
C0085249,C0242209,STIMULATES,glycosyltransferase,Sugars,aapp,orch,1,STIMULATES_AAPPstimORCH
C0085295,C0022020,STIMULATES,Interleukin-10,Ionomycin,aapp,orch,1,STIMULATES_AAPPstimORCH
C0085295,C0023810,STIMULATES,Interleukin-10,Lipopolysaccharides,aapp,orch,2,STIMULATES_AAPPstimORCH
C0085295,C0073591,STIMULATES,Interleukin-10,rosoxacin,aapp,orch,1,STIMULATES_AAPPstimORCH
C0085301,C0026549,STIMULATES,Proto-Oncogene Proteins c-fos,Morphine,aapp,orch,1,STIMULATES_AAPPstimORCH
C0085379,C0023810,STIMULATES,Muromonab-CD3,Lipopolysaccharides,aapp,orch,1,STIMULATES_AAPPstimORCH
C0103306,C0023810,STIMULATES,angiotensin I (1-7),Lipopolysaccharides,aapp,orch,1,STIMULATES_AAPPstimORCH
C0103306,C0525678,STIMULATES,angiotensin I (1-7),rasagiline,aapp,orch,1,STIMULATES_AAPPstimORCH
C0108401,C0007004,STIMULATES,carbohydrate-binding protein,Carbohydrates,aapp,orch,1,STIMULATES_AAPPstimORCH
C0120285,C0022239,STIMULATES,Green Fluorescent Proteins,Isopropyl Thiogalactoside,aapp,orch,2,STIMULATES_AAPPstimORCH
C0120285,C2926735,STIMULATES,Green Fluorescent Proteins,Duration,aapp,orch,1,STIMULATES_AAPPstimORCH
C0120465,C0525678,STIMULATES,Guanine Nucleotide Exchange Factors,rasagiline,aapp,orch,1,STIMULATES_AAPPstimORCH
C0123759,C0073591,STIMULATES,Interleukin-12,rosoxacin,aapp,orch,1,STIMULATES_AAPPstimORCH
C0123759,C0287130,STIMULATES,Interleukin-12,MS 28,aapp,orch,1,STIMULATES_AAPPstimORCH
C0123759,C2926735,STIMULATES,Interleukin-12,Duration,aapp,orch,1,STIMULATES_AAPPstimORCH
C0128897,C0005802,STIMULATES,Monocyte Chemoattractant Protein-1,Blood Glucose,aapp,orch,1,STIMULATES_AAPPstimORCH
C0143251,C0074992,STIMULATES,sphingosine-1-phosphate lyase,sphingosine 1-phosphate,aapp,orch,1,STIMULATES_AAPPstimORCH
C0162508,C2728259,STIMULATES,JUN gene,Program,aapp,orch,1,STIMULATES_AAPPstimORCH
C0169101,C0525678,STIMULATES,Mitogen-Activated Protein Kinase Kinases,rasagiline,aapp,orch,1,STIMULATES_AAPPstimORCH
C0169911,C2728259,STIMULATES,messenger protein,Program,aapp,orch,1,STIMULATES_AAPPstimORCH
C0174234,C0023810,STIMULATES,PTX3 protein,Lipopolysaccharides,aapp,orch,1,STIMULATES_AAPPstimORCH
C0214743,C0023810,STIMULATES,Interleukin-13,Lipopolysaccharides,aapp,orch,1,STIMULATES_AAPPstimORCH
C0215343,C1570187,STIMULATES,"MCL1 protein, human",ABT-737,aapp,orch,1,STIMULATES_AAPPstimORCH
C0243043,C0023810,STIMULATES,Heat-Shock Proteins 70,Lipopolysaccharides,aapp,orch,1,STIMULATES_AAPPstimORCH
C0282554,C0023810,STIMULATES,chemokine,Lipopolysaccharides,aapp,orch,2,STIMULATES_AAPPstimORCH
C0282554,C3813211,STIMULATES,chemokine,Prostaglandin E2,aapp,orch,1,STIMULATES_AAPPstimORCH
C0287531,C0023810,STIMULATES,"DUSP1 protein, human",Lipopolysaccharides,aapp,orch,1,STIMULATES_AAPPstimORCH
C0287750,C0021547,STIMULATES,Transcription Factor CHOP,Inositol,aapp,orch,1,STIMULATES_AAPPstimORCH
C0288250,C0083955,STIMULATES,Large-Conductance Calcium-Activated Potassium Channels,paxilline,aapp,orch,1,STIMULATES_AAPPstimORCH
C0295291,C0051796,STIMULATES,"ERG protein, human",amyrin,aapp,orch,1,STIMULATES_AAPPstimORCH
C0300824,C0023828,STIMULATES,SNAP receptor,Liposomes,aapp,orch,1,STIMULATES_AAPPstimORCH
C0378910,C0023779,STIMULATES,Lymphocyte antigen CD66A,Lipids,aapp,orch,2,STIMULATES_AAPPstimORCH
C0379214,C0073591,STIMULATES,"pros protein, Drosophila",rosoxacin,aapp,orch,1,STIMULATES_AAPPstimORCH
C0380051,C0023810,STIMULATES,stress-activated protein kinase 1,Lipopolysaccharides,aapp,orch,1,STIMULATES_AAPPstimORCH
