cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0000545,C0021740,STIMULATES,Eicosapentaenoic Acid,Recombinant Interferon-gamma,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0000545,C1366557,STIMULATES,Eicosapentaenoic Acid,TGFB1 gene,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0000702,C0003241,STIMULATES,"DNA, A-Form",Antibodies,bacs,aapp,2,STIMULATES_BACSstimAAPP
C0000702,C0055633,STIMULATES,"DNA, A-Form",Chromogranin A,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0000702,C4048280,STIMULATES,"DNA, A-Form","T-Cell Surface Glycoprotein CD4, human",bacs,aapp,1,STIMULATES_BACSstimAAPP
C0001026,C0040676,STIMULATES,Acetyl Coenzyme A,Transferase,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0001407,C0010132,STIMULATES,Adenine,Corticotropin-Releasing Hormone,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0001413,C0033640,STIMULATES,Adenine Nucleotides,Protein Kinases,bacs,aapp,5,STIMULATES_BACSstimAAPP
C0001413,C0597357,STIMULATES,Adenine Nucleotides,receptor,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0001443,C0001471,STIMULATES,Adenosine,"Receptors, Purinergic P1",bacs,aapp,1,STIMULATES_BACSstimAAPP
C0001443,C0071795,STIMULATES,Adenosine,2-5A-dependent ribonuclease,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0001455,C0010531,STIMULATES,Cyclic AMP,Cyclic AMP-Dependent Protein Kinases,bacs,aapp,4,STIMULATES_BACSstimAAPP
C0001455,C0034800,STIMULATES,Cyclic AMP,"Receptors, Cell Surface",bacs,aapp,1,STIMULATES_BACSstimAAPP
C0001455,C0040648,STIMULATES,Cyclic AMP,TRANSCRIPTION FACTOR,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0001455,C0086376,STIMULATES,Cyclic AMP,GTP-Binding Proteins,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0001455,C1412319,STIMULATES,Cyclic AMP,AKAP7 gene,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0001455,C1823437,STIMULATES,Cyclic AMP,TMEM173 gene,bacs,aapp,2,STIMULATES_BACSstimAAPP
C0001461,C1413514,STIMULATES,Adenosine Diphosphate Ribose,CLU gene,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0001468,C0041368,STIMULATES,Adenosine Phosphosulfate,Tumor Necrosis Factors,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0001468,C0252527,STIMULATES,Adenosine Phosphosulfate,Galectin 1,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0001480,C0011519,STIMULATES,Adenosine Triphosphate,Deoxyribonuclease I,bacs,aapp,2,STIMULATES_BACSstimAAPP
C0001480,C0011522,STIMULATES,Adenosine Triphosphate,Deoxyribonucleases,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0001480,C0084378,STIMULATES,Adenosine Triphosphate,RNA Helicase,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0001480,C0534519,STIMULATES,Adenosine Triphosphate,Caspase-1,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0001480,C1414444,STIMULATES,Adenosine Triphosphate,ERN1 gene,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0001480,C2936529,STIMULATES,Adenosine Triphosphate,Inflammasomes,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0002607,C0812198,STIMULATES,Ammonia,BAX gene,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0002976,C1824728,STIMULATES,Angiogenesis Factor,CFB gene,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0003320,C0003241,STIMULATES,Antigens,Antibodies,bacs,aapp,22,STIMULATES_BACSstimAAPP
C0003320,C0003242,STIMULATES,Antigens,"Antibodies, Anti-Idiotypic",bacs,aapp,2,STIMULATES_BACSstimAAPP
C0003320,C0003250,STIMULATES,Antigens,Monoclonal Antibodies,bacs,aapp,2,STIMULATES_BACSstimAAPP
C0003320,C0003253,STIMULATES,Antigens,"Antibodies, Viral",bacs,aapp,2,STIMULATES_BACSstimAAPP
C0003320,C0007428,STIMULATES,Antigens,Cathepsins,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0003320,C0007578,STIMULATES,Antigens,Cell Adhesion Molecules,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0003320,C0009498,STIMULATES,Antigens,Complement System Proteins,bacs,aapp,2,STIMULATES_BACSstimAAPP
C0003320,C0010590,STIMULATES,Antigens,Cycloserine,bacs,aapp,3,STIMULATES_BACSstimAAPP
C0003320,C0016194,STIMULATES,Antigens,Flagellin,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0003320,C0019683,STIMULATES,Antigens,HIV Antibodies,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0003320,C0021756,STIMULATES,Antigens,Interleukin-2,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0003320,C0021758,STIMULATES,Antigens,Interleukin-4,bacs,aapp,2,STIMULATES_BACSstimAAPP
C0003320,C0030940,STIMULATES,Antigens,Peptide Hydrolases,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0003320,C0034790,STIMULATES,Antigens,T-Cell Receptor,bacs,aapp,5,STIMULATES_BACSstimAAPP
C0003320,C0051979,STIMULATES,Antigens,anti-IgG,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0003320,C0079189,STIMULATES,Antigens,cytokine,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0003320,C0079460,STIMULATES,Antigens,Granulocyte-Macrophage Colony-Stimulating Factor,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0003320,C0085151,STIMULATES,Antigens,Amyloid beta-Protein Precursor,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0003320,C0085295,STIMULATES,Antigens,Interleukin-10,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0003320,C0282682,STIMULATES,Antigens,"Antibodies, Blocking",bacs,aapp,2,STIMULATES_BACSstimAAPP
C0003320,C0369247,STIMULATES,Antigens,G Ab,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0003320,C0443640,STIMULATES,Antigens,Specific antibody,bacs,aapp,2,STIMULATES_BACSstimAAPP
C0003320,C0475463,STIMULATES,Antigens,"Antibodies, Neutralizing",bacs,aapp,18,STIMULATES_BACSstimAAPP
C0003320,C0670749,STIMULATES,Antigens,OVA-8,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0003320,C0699919,STIMULATES,Antigens,Cathepsins B,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0003320,C1141628,STIMULATES,Antigens,CD103,bacs,aapp,2,STIMULATES_BACSstimAAPP
C0003320,C1336763,STIMULATES,Antigens,Toll-Like Receptor Family Gene,bacs,aapp,5,STIMULATES_BACSstimAAPP
C0003320,C1415898,STIMULATES,Antigens,IFITM3 gene,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0003320,C1416373,STIMULATES,Antigens,CADM1 gene,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0003320,C1420697,STIMULATES,Antigens,TFAP4 gene,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0003320,C1423842,STIMULATES,Antigens,NELFCD gene,bacs,aapp,2,STIMULATES_BACSstimAAPP
C0003320,C1539221,STIMULATES,Antigens,DCLK3 gene,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0003320,C1539835,STIMULATES,Antigens,SPEN gene,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0003320,C1624602,STIMULATES,Antigens,Anti-Antibodies,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0003320,C1701790,STIMULATES,Antigens,"IL17A protein, human",bacs,aapp,1,STIMULATES_BACSstimAAPP
C0003320,C1823437,STIMULATES,Antigens,TMEM173 gene,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0003320,C3540595,STIMULATES,Antigens,CD8A wt Allele,bacs,aapp,5,STIMULATES_BACSstimAAPP
C0003320,C3541895,STIMULATES,Antigens,FCGR1A wt Allele,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0003320,C3816168,STIMULATES,Antigens,B-Cell Receptor Complex,bacs,aapp,2,STIMULATES_BACSstimAAPP
C0003320,C4048280,STIMULATES,Antigens,"T-Cell Surface Glycoprotein CD4, human",bacs,aapp,11,STIMULATES_BACSstimAAPP
C0003320,C4049611,STIMULATES,Antigens,CD48 wt Allele,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0003682,C0243041,STIMULATES,Arabinose,Molecular Chaperones,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0003682,C0305058,STIMULATES,Arabinose,"Tetanus immune globulin, human",bacs,aapp,1,STIMULATES_BACSstimAAPP
C0004409,C0017837,STIMULATES,Auxins,Glutathione S-Transferase,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0004630,C0079189,STIMULATES,Bacterial Toxins,cytokine,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0004630,C1538577,STIMULATES,Bacterial Toxins,PARP1 gene,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0005390,C0061355,STIMULATES,Bile Acids,Glucagon-Like Peptide 1,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0005437,C0002059,STIMULATES,Bilirubin,Alkaline Phosphatase,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0005437,C1412801,STIMULATES,Bilirubin,BLVRA gene,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0006353,C1414134,STIMULATES,Buffers,DPEP1 gene,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0006353,C2678549,STIMULATES,Buffers,P4HTM gene,bacs,aapp,2,STIMULATES_BACSstimAAPP
C0006675,C0003250,STIMULATES,Calcium,Monoclonal Antibodies,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0006675,C0006784,STIMULATES,Calcium,Calpain,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0006675,C0009325,STIMULATES,Calcium,Collagen,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0006675,C0054450,STIMULATES,Calcium,Calcineurin,bacs,aapp,2,STIMULATES_BACSstimAAPP
C0006675,C0055363,STIMULATES,Calcium,Chloride Channels,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0006675,C0065827,STIMULATES,Calcium,Measles Virus Nucleoprotein,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0006675,C0378910,STIMULATES,Calcium,Lymphocyte antigen CD66A,bacs,aapp,2,STIMULATES_BACSstimAAPP
C0006675,C0383017,STIMULATES,Calcium,CaM kinase I activator,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0006675,C0597094,STIMULATES,Calcium,nuclease,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0006675,C1335879,STIMULATES,Calcium,STIM1 gene,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0006675,C1424250,STIMULATES,Calcium,NLRP3 gene,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0006675,C2936529,STIMULATES,Calcium,Inflammasomes,bacs,aapp,2,STIMULATES_BACSstimAAPP
C0006675,C3890397,STIMULATES,Calcium,PRKAA1 wt Allele,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0007745,C0031686,STIMULATES,Ceramides,Protein phosphatase,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0007745,C0033640,STIMULATES,Ceramides,Protein Kinases,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0007745,C2936529,STIMULATES,Ceramides,Inflammasomes,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0008013,C0009498,STIMULATES,Chemotactic Factors,Complement System Proteins,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0008013,C1333574,STIMULATES,Chemotactic Factors,FPR1 gene,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0008141,C0021758,STIMULATES,Chitin,Interleukin-4,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0008141,C0079189,STIMULATES,Chitin,cytokine,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0008377,C0001271,STIMULATES,Cholesterol,Actins,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0008377,C0001924,STIMULATES,Cholesterol,Albumins,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0008377,C0010287,STIMULATES,Cholesterol,Creatine Kinase,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0008377,C0017040,STIMULATES,Cholesterol,Gamma-glutamyl transferase,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0008377,C0021747,STIMULATES,Cholesterol,Interferons,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0008377,C0042717,STIMULATES,Cholesterol,Viral Fusion Proteins,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0008377,C0052451,STIMULATES,Cholesterol,Arylesterase,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0008377,C0071313,STIMULATES,Cholesterol,"plY protein, Streptococcus pneumoniae",bacs,aapp,3,STIMULATES_BACSstimAAPP
C0008377,C0074785,STIMULATES,Cholesterol,Sodium-Hydrogen Antiporter,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0008377,C0206588,STIMULATES,Cholesterol,"Receptors, Nuclear",bacs,aapp,1,STIMULATES_BACSstimAAPP
C0008377,C0254653,STIMULATES,Cholesterol,interferon alpha-beta receptor,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0008377,C0537474,STIMULATES,Cholesterol,Sterol Regulatory Element Binding Protein 1c,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0008377,C1415897,STIMULATES,Cholesterol,IFITM2 gene,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0008377,C1415912,STIMULATES,Cholesterol,IFNB1 gene,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0008377,C1417196,STIMULATES,Cholesterol,MLYCD gene,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0008377,C1419212,STIMULATES,Cholesterol,RAB5A gene,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0008377,C1421170,STIMULATES,Cholesterol,TRPC3 gene,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0008377,C1705590,STIMULATES,Cholesterol,PIK3CB wt Allele,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0008377,C1826758,STIMULATES,Cholesterol,RAB7A gene,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0008377,C3890397,STIMULATES,Cholesterol,PRKAA1 wt Allele,bacs,aapp,2,STIMULATES_BACSstimAAPP
C0008405,C0041199,STIMULATES,Choline,Troponin,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0009148,C0282554,STIMULATES,Cobalt,chemokine,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0009221,C1414860,STIMULATES,Codon (nucleotide sequence),FUS gene,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0010294,C0027078,STIMULATES,Creatinine,Myoglobin,bacs,aapp,1,STIMULATES_BACSstimAAPP
C0010294,C0067305,STIMULATES,Creatinine,"N,N'-dimethylarginine",bacs,aapp,1,STIMULATES_BACSstimAAPP
