cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0017376,C0300205,STIMULATES,"Genes, Viral",ulipristal,gngm,orch,1,STIMULATES_GNGMstimORCH
C0022959,C0049081,STIMULATES,LacZ Genes,5-bromo-4-chloro-3-indolyl beta-galactoside,gngm,orch,1,STIMULATES_GNGMstimORCH
C0042720,C0070621,STIMULATES,Viral Genome,phenylacetic dipalmitate,gngm,orch,1,STIMULATES_GNGMstimORCH
C0079941,C0030125,STIMULATES,Open Reading Frames,aminosalicylic acid,gngm,orch,1,STIMULATES_GNGMstimORCH
C0751608,C0023810,STIMULATES,cDNA Library,Lipopolysaccharides,gngm,orch,1,STIMULATES_GNGMstimORCH
C1332114,C0023810,STIMULATES,MANF gene,Lipopolysaccharides,gngm,orch,1,STIMULATES_GNGMstimORCH
C1332858,C0023810,STIMULATES,Caspase Gene,Lipopolysaccharides,gngm,orch,1,STIMULATES_GNGMstimORCH
C1414407,C0023810,STIMULATES,ENPP1 gene,Lipopolysaccharides,gngm,orch,1,STIMULATES_GNGMstimORCH
C1416886,C0002403,STIMULATES,LMOD1 gene,Amantadine,gngm,orch,1,STIMULATES_GNGMstimORCH
C1416886,C2713885,STIMULATES,LMOD1 gene,oseltamivir carboxylate,gngm,orch,1,STIMULATES_GNGMstimORCH
C1420713,C3486801,STIMULATES,TGM1 gene,Sus scrofa lung preparation,gngm,orch,1,STIMULATES_GNGMstimORCH
C1423063,C0064280,STIMULATES,SIRT3 gene,kaempferol,gngm,orch,1,STIMULATES_GNGMstimORCH
C1425348,C2728259,STIMULATES,TNFRSF12A gene,Program,gngm,orch,1,STIMULATES_GNGMstimORCH
C3890284,C0023810,STIMULATES,PTPRJ-AS1 gene,Lipopolysaccharides,gngm,orch,2,STIMULATES_GNGMstimORCH
