cui1,cui2,relation,name1,name2,type1,type2,weight,predicate
C0001551,C0080225,STIMULATES,Immunologic Adjuvants,Thymopentin,imft,bacs,1,STIMULATES_IMFTstimBACS
C0003316,C0003320,STIMULATES,Epitopes,Antigens,imft,bacs,1,STIMULATES_IMFTstimBACS
C0016712,C0003320,STIMULATES,Freund's Adjuvant,Antigens,imft,bacs,1,STIMULATES_IMFTstimBACS
C0019168,C0003320,STIMULATES,Hepatitis B Surface Antigens,Antigens,imft,bacs,1,STIMULATES_IMFTstimBACS
C0021084,C0040549,STIMULATES,Immunotoxins,Toxin,imft,bacs,2,STIMULATES_IMFTstimBACS
C0021403,C0035142,STIMULATES,Influenza virus vaccine,Replicon,imft,bacs,1,STIMULATES_IMFTstimBACS
C0042210,C0003320,STIMULATES,Vaccines,Antigens,imft,bacs,7,STIMULATES_IMFTstimBACS
C0042210,C0038071,STIMULATES,Vaccines,Squalene,imft,bacs,1,STIMULATES_IMFTstimBACS
C0042742,C0068527,STIMULATES,Viral Vaccines,Neopterin,imft,bacs,1,STIMULATES_IMFTstimBACS
C0301838,C0041942,STIMULATES,Soluble antigen,Urea,imft,bacs,1,STIMULATES_IMFTstimBACS
C0376613,C0003320,STIMULATES,"Vaccines, DNA",Antigens,imft,bacs,2,STIMULATES_IMFTstimBACS
C0376613,C0032136,STIMULATES,"Vaccines, DNA",Plasmids,imft,bacs,1,STIMULATES_IMFTstimBACS
C0521390,C0070939,STIMULATES,neuronal,phosphoethanolamine,imft,bacs,1,STIMULATES_IMFTstimBACS
C0887892,C0003320,STIMULATES,"Vaccines, Subunit",Antigens,imft,bacs,1,STIMULATES_IMFTstimBACS
